Date,L
2015-07-01,36.927520751953125
2015-07-02,36.77543640136719
2015-07-06,36.68988800048828
2015-07-07,36.93703079223633
2015-07-08,36.319190979003906
2015-07-09,36.49979782104492
2015-07-10,36.90851974487305
2015-07-13,37.231685638427734
2015-07-14,37.0225715637207
2015-07-15,36.95603942871094
2015-07-16,37.04159164428711
2015-07-17,36.661376953125
2015-07-20,36.51879119873047
2015-07-21,36.4522705078125
2015-07-22,36.224143981933594
2015-07-23,35.919986724853516
2015-07-24,35.948486328125
2015-07-27,35.891456604003906
2015-07-28,36.26216506958008
2015-07-29,36.40473937988281
2015-07-30,36.41425323486328
2015-07-31,36.224143981933594
2015-08-03,35.25462341308594
2015-08-04,35.65382385253906
2015-08-05,35.83441925048828
2015-08-06,36.09107208251953
2015-08-07,36.06255340576172
2015-08-10,37.11763000488281
2015-08-11,37.09860610961914
2015-08-12,36.87999725341797
2015-08-13,36.88949203491211
2015-08-14,37.06059646606445
2015-08-17,36.89900207519531
2015-08-18,36.85148620605469
2015-08-19,36.54731369018555
2015-08-20,35.919986724853516
2015-08-21,35.2451057434082
2015-08-24,34.32310485839844
2015-08-25,33.610225677490234
2015-08-26,34.01893997192383
2015-08-27,34.77404022216797
2015-08-28,34.783565521240234
2015-08-31,34.707393646240234
2015-09-01,34.01228713989258
2015-09-02,34.33604049682617
2015-09-03,34.73594284057617
2015-09-04,34.364593505859375
2015-09-08,34.8597297668457
2015-09-09,34.364593505859375
2015-09-10,34.50741958618164
2015-09-11,34.57405090332031
2015-09-14,34.374114990234375
2015-09-15,34.63120651245117
2015-09-16,34.812103271484375
2015-09-17,34.535987854003906
2015-09-18,34.09798049926758
2015-09-21,34.49787902832031
2015-09-22,34.164615631103516
2015-09-23,33.98371505737305
2015-09-24,34.01228713989258
2015-09-25,34.250328063964844
2015-09-28,33.707576751708984
2015-09-29,33.945613861083984
2015-09-30,34.41220474243164
2015-10-01,33.67900466918945
2015-10-02,33.850406646728516
2015-10-05,34.888301849365234
2015-10-06,34.983524322509766
2015-10-07,34.80259704589844
2015-10-08,35.021602630615234
2015-10-09,34.55502700805664
2015-10-12,34.593116760253906
2015-10-13,34.30747604370117
2015-10-14,33.93610382080078
2015-10-15,34.28840637207031
2015-10-16,34.45028305053711
2015-10-19,34.38363265991211
2015-10-20,34.6883430480957
2015-10-21,34.516937255859375
2015-10-22,34.84068298339844
2015-10-23,34.9454345703125
2015-10-26,34.86923599243164
2015-10-27,34.39316177368164
2015-10-28,35.08824920654297
2015-10-29,35.040645599365234
2015-10-30,34.71691131591797
2015-11-02,35.78335189819336
2015-11-03,35.48817825317383
2015-11-04,35.2501220703125
2015-11-05,35.45961380004883
2015-11-06,35.99283218383789
2015-11-09,35.830963134765625
2015-11-10,36.02139663696289
2015-11-11,35.735740661621094
2015-11-12,35.259666442871094
2015-11-13,35.19300842285156
2015-11-16,35.773826599121094
2015-11-17,35.69765090942383
2015-11-18,36.15470504760742
2015-11-19,36.04996109008789
2015-11-20,36.097591400146484
2015-11-23,35.954750061035156
2015-11-24,36.04996109008789
2015-11-25,36.02421188354492
2015-11-27,35.97651290893555
2015-11-30,36.13868713378906
2015-12-01,36.539268493652344
2015-12-02,36.48202133178711
2015-12-03,35.766700744628906
2015-12-04,36.6346435546875
2015-12-07,36.55834197998047
2015-12-08,36.262664794921875
2015-12-09,35.48056411743164
2015-12-10,36.05282974243164
2015-12-11,35.213504791259766
2015-12-14,35.0704460144043
2015-12-15,35.680850982666016
2015-12-16,36.014678955078125
2015-12-17,35.25167465209961
2015-12-18,34.98460006713867
2015-12-21,35.32795715332031
2015-12-22,36.05282974243164
2015-12-23,36.69187545776367
2015-12-24,36.69187545776367
2015-12-28,36.567874908447266
2015-12-29,37.006614685058594
2015-12-30,36.73000717163086
2015-12-31,36.6251106262207
2016-01-04,36.03374099731445
2016-01-05,36.13868713378906
2016-01-06,35.33749771118164
2016-01-07,34.48863220214844
2016-01-08,34.24066162109375
2016-01-11,34.192962646484375
2016-01-12,34.24066162109375
2016-01-13,33.553932189941406
2016-01-14,34.126190185546875
2016-01-15,33.81144714355469
2016-01-19,33.44902420043945
2016-01-20,32.685997009277344
2016-01-21,32.79090881347656
2016-01-22,33.382259368896484
2016-01-25,32.628753662109375
2016-01-26,33.02935028076172
2016-01-27,33.89729309082031
2016-01-28,34.307430267333984
2016-01-29,35.29936218261719
2016-02-01,35.27072525024414
2016-02-02,34.545875549316406
2016-02-03,34.62216567993164
2016-02-04,34.86060333251953
2016-02-05,34.61262512207031
2016-02-08,34.641239166259766
2016-02-09,34.69847106933594
2016-02-10,34.603092193603516
2016-02-11,33.89729309082031
2016-02-12,34.202510833740234
2016-02-16,34.8415412902832
2016-02-17,35.66177749633789
2016-02-18,35.50918197631836
2016-02-19,35.213504791259766
2016-02-22,35.71900939941406
2016-02-23,34.81291198730469
2016-02-24,34.5077018737793
2016-02-25,34.75569152832031
2016-02-26,34.98785400390625
2016-02-29,34.729896545410156
2016-03-01,35.59933853149414
2016-03-02,35.7140007019043
2016-03-03,36.000614166259766
2016-03-04,36.18215560913086
2016-03-07,35.72354507446289
2016-03-08,35.03563690185547
2016-03-09,34.74898910522461
2016-03-10,34.959205627441406
2016-03-11,36.038822174072266
2016-03-14,35.95284652709961
2016-03-15,35.933746337890625
2016-03-16,36.086605072021484
2016-03-17,37.032466888427734
2016-03-18,37.61528778076172
