Date,ES
2015-07-01,45.56999969482422
2015-07-02,46.5099983215332
2015-07-06,46.310001373291016
2015-07-07,47.380001068115234
2015-07-08,47.130001068115234
2015-07-09,46.72999954223633
2015-07-10,46.88999938964844
2015-07-13,47.040000915527344
2015-07-14,47.29999923706055
2015-07-15,47.720001220703125
2015-07-16,48.29999923706055
2015-07-17,47.91999816894531
2015-07-20,47.58000183105469
2015-07-21,47.52000045776367
2015-07-22,47.83000183105469
2015-07-23,47.349998474121094
2015-07-24,47.209999084472656
2015-07-27,47.869998931884766
2015-07-28,48.119998931884766
2015-07-29,48.290000915527344
2015-07-30,48.77000045776367
2015-07-31,49.720001220703125
2015-08-03,49.849998474121094
2015-08-04,49.099998474121094
2015-08-05,49.2400016784668
2015-08-06,49.529998779296875
2015-08-07,49.79999923706055
2015-08-10,50.02000045776367
2015-08-11,50.40999984741211
2015-08-12,50.90999984741211
2015-08-13,50.790000915527344
2015-08-14,51.18000030517578
2015-08-17,51.61000061035156
2015-08-18,51.470001220703125
2015-08-19,51.68000030517578
2015-08-20,51.619998931884766
2015-08-21,51.040000915527344
2015-08-24,48.91999816894531
2015-08-25,47.25
2015-08-26,48.08000183105469
2015-08-27,48.59000015258789
2015-08-28,48.290000915527344
2015-08-31,47.2400016784668
2015-09-01,46.06999969482422
2015-09-02,46.150001525878906
2015-09-03,46.459999084472656
2015-09-04,45.7400016784668
2015-09-08,46.47999954223633
2015-09-09,45.869998931884766
2015-09-10,45.5
2015-09-11,46.09000015258789
2015-09-14,46.25
2015-09-15,46.70000076293945
2015-09-16,46.709999084472656
2015-09-17,47.65999984741211
2015-09-18,47.220001220703125
2015-09-21,47.5099983215332
2015-09-22,47.470001220703125
2015-09-23,47.720001220703125
2015-09-24,48.16999816894531
2015-09-25,48.88999938964844
2015-09-28,49.09000015258789
2015-09-29,49.29999923706055
2015-09-30,50.619998931884766
2015-10-01,49.91999816894531
2015-10-02,50.5099983215332
2015-10-05,51.099998474121094
2015-10-06,50.63999938964844
2015-10-07,50.41999816894531
2015-10-08,51.06999969482422
2015-10-09,50.630001068115234
2015-10-12,51.18000030517578
2015-10-13,50.95000076293945
2015-10-14,51.25
2015-10-15,51.83000183105469
2015-10-16,52.2400016784668
2015-10-19,51.97999954223633
2015-10-20,52.20000076293945
2015-10-21,52.060001373291016
2015-10-22,52.70000076293945
2015-10-23,51.720001220703125
2015-10-26,52.04999923706055
2015-10-27,51.93000030517578
2015-10-28,50.970001220703125
2015-10-29,50.7599983215332
2015-10-30,50.939998626708984
2015-11-02,50.959999084472656
2015-11-03,51.45000076293945
2015-11-04,51.59000015258789
2015-11-05,51.5
2015-11-06,49.02000045776367
2015-11-09,49.349998474121094
2015-11-10,50.369998931884766
2015-11-11,51.06999969482422
2015-11-12,50.22999954223633
2015-11-13,49.79999923706055
2015-11-16,50.970001220703125
2015-11-17,49.650001525878906
2015-11-18,50.599998474121094
2015-11-19,51.040000915527344
2015-11-20,51.439998626708984
2015-11-23,51.130001068115234
2015-11-24,50.650001525878906
2015-11-25,50.36000061035156
