Date,DPZ
2015-07-01,101.46163940429688
2015-07-02,100.86820220947266
2015-07-06,100.20388793945312
2015-07-07,100.46078491210938
2015-07-08,100.30133056640625
2015-07-09,100.69992065429688
2015-07-10,102.67512512207031
2015-07-13,105.78406524658203
2015-07-14,105.21717834472656
2015-07-15,104.9957504272461
2015-07-16,102.36509704589844
2015-07-17,97.46695709228516
2015-07-20,98.3526611328125
2015-07-21,98.64501953125
2015-07-22,99.47760772705078
2015-07-23,98.89302062988281
2015-07-24,98.28182983398438
2015-07-27,98.59183502197266
2015-07-28,98.99928283691406
2015-07-29,100.54049682617188
2015-07-30,100.832763671875
2015-07-31,100.832763671875
2015-08-03,101.21363830566406
2015-08-04,102.06397247314453
2015-08-05,101.32880401611328
2015-08-06,99.0613021850586
2015-08-07,100.46961975097656
2015-08-10,100.21275329589844
2015-08-11,100.52275085449219
2015-08-12,99.0967025756836
2015-08-13,101.15164947509766
2015-08-14,101.12506866455078
2015-08-17,101.85137176513672
2015-08-18,100.00016784667969
2015-08-19,97.90096282958984
2015-08-20,95.3589096069336
2015-08-21,92.54224395751953
2015-08-24,90.15071105957031
2015-08-25,93.02051544189453
2015-08-26,94.15430450439453
2015-08-27,95.48287963867188
2015-08-28,96.023193359375
2015-08-31,93.83541870117188
2015-09-01,91.98421478271484
2015-09-02,93.1622314453125
2015-09-03,93.13570404052734
2015-09-04,93.4457015991211
2015-09-08,96.54576873779297
2015-09-09,95.81945037841797
2015-09-10,95.59806060791016
2015-09-11,97.90760803222656
2015-09-14,97.96980285644531
2015-09-15,99.32886505126953
2015-09-16,99.15120697021484
2015-09-17,100.0217514038086
2015-09-18,99.20452117919922
2015-09-21,98.62711334228516
2015-09-22,98.4849853515625
2015-09-23,98.57381439208984
2015-09-24,97.96980285644531
2015-09-25,100.33264923095703
2015-09-28,96.41526794433594
2015-09-29,94.04351806640625
2015-09-30,95.85565948486328
2015-10-01,93.56385040283203
2015-10-02,94.9406967163086
2015-10-05,96.2464828491211
2015-10-06,95.27825164794922
2015-10-07,95.96224212646484
2015-10-08,91.1743392944336
2015-10-09,93.6082534790039
2015-10-12,94.23009490966797
2015-10-13,94.31001281738281
2015-10-14,92.71109008789062
2015-10-15,94.0346450805664
2015-10-16,94.35444641113281
2015-10-19,95.26934051513672
2015-10-20,94.32781982421875
2015-10-21,91.90274810791016
2015-10-22,92.34688568115234
2015-10-23,92.47126770019531
2015-10-26,93.99021911621094
2015-10-27,93.23517608642578
2015-10-28,97.45455932617188
2015-10-29,97.17921447753906
2015-10-30,94.7541732788086
2015-11-02,96.60181427001953
2015-11-03,95.19832611083984
2015-11-04,93.31513977050781
2015-11-05,92.48011779785156
2015-11-06,92.77326202392578
2015-11-09,91.52967071533203
2015-11-10,92.58673095703125
2015-11-11,93.45729064941406
2015-11-12,91.39642333984375
2015-11-13,90.2682876586914
2015-11-16,91.92938232421875
2015-11-17,90.81900787353516
2015-11-18,92.44461822509766
2015-11-19,92.8443374633789
2015-11-20,93.28848266601562
2015-11-23,95.6780014038086
2015-11-24,95.43817138671875
2015-11-25,96.95714569091797
2015-11-27,96.51295471191406
2015-11-30,95.46479797363281
2015-12-01,96.69952392578125
2015-12-02,96.64622497558594
2015-12-03,95.43817138671875
2015-12-04,97.5611572265625
2015-12-07,98.05863189697266
2015-12-08,97.65886688232422
2015-12-09,96.9127197265625
2015-12-10,97.12589263916016
2015-12-11,96.77848052978516
2015-12-14,97.43769836425781
2015-12-15,97.92767333984375
2015-12-16,97.29513549804688
2015-12-17,97.42877960205078
2015-12-18,96.9566650390625
2015-12-21,97.74946594238281
2015-12-22,97.46443176269531
2015-12-23,97.52676391601562
2015-12-24,97.58023834228516
2015-12-28,98.10581970214844
2015-12-29,99.7716293334961
2015-12-30,99.33513641357422
2015-12-31,99.10353088378906
2016-01-04,97.30406951904297
2016-01-05,97.92767333984375
2016-01-06,97.78508758544922
2016-01-07,95.0948486328125
2016-01-08,97.07245635986328
2016-01-11,94.62272644042969
2016-01-12,97.77620697021484
2016-01-13,96.17272186279297
2016-01-14,95.4422607421875
2016-01-15,92.7876205444336
2016-01-19,93.46463012695312
2016-01-20,94.83650207519531
2016-01-21,95.95004272460938
2016-01-22,99.41532135009766
2016-01-25,98.64033508300781
2016-01-26,99.92308044433594
2016-01-27,98.93428039550781
2016-01-28,99.94979858398438
2016-01-29,101.4909439086914
2016-02-01,101.86505889892578
2016-02-02,101.33055877685547
2016-02-03,101.37512969970703
2016-02-04,101.55326080322266
2016-02-05,98.31961822509766
2016-02-08,96.35088348388672
2016-02-09,94.08822631835938
2016-02-10,95.3175277709961
2016-02-11,95.22846221923828
2016-02-12,97.54459381103516
2016-02-16,98.95207214355469
2016-02-17,100.61791229248047
2016-02-18,99.80728149414062
2016-02-19,100.5466537475586
