Date,GPS
2016-01-04,25.510000228881836
2016-01-05,26.280000686645508
2016-01-06,25.290000915527344
2016-01-07,26.739999771118164
2016-01-08,22.90999984741211
2016-01-11,22.68000030517578
2016-01-12,22.850000381469727
2016-01-13,22.479999542236328
2016-01-14,23.219999313354492
2016-01-15,23.260000228881836
2016-01-19,22.700000762939453
2016-01-20,22.450000762939453
2016-01-21,23.0
2016-01-22,23.65999984741211
2016-01-25,23.059999465942383
2016-01-26,23.889999389648438
2016-01-27,23.760000228881836
2016-01-28,24.010000228881836
2016-01-29,24.719999313354492
2016-02-01,24.739999771118164
2016-02-02,24.290000915527344
2016-02-03,24.450000762939453
2016-02-04,23.899999618530273
2016-02-05,23.770000457763672
2016-02-08,23.989999771118164
2016-02-09,23.270000457763672
2016-02-10,22.549999237060547
2016-02-11,22.43000030517578
2016-02-12,23.729999542236328
2016-02-16,24.520000457763672
2016-02-17,25.450000762939453
2016-02-18,26.18000030517578
2016-02-19,26.239999771118164
2016-02-22,27.059999465942383
2016-02-23,27.260000228881836
2016-02-24,27.280000686645508
2016-02-25,27.600000381469727
2016-02-26,27.229999542236328
2016-02-29,27.649999618530273
2016-03-01,28.15999984741211
2016-03-02,28.3700008392334
2016-03-03,28.540000915527344
2016-03-04,29.290000915527344
2016-03-07,29.440000534057617
2016-03-08,29.68000030517578
2016-03-09,29.700000762939453
2016-03-10,29.59000015258789
2016-03-11,30.170000076293945
2016-03-14,30.18000030517578
2016-03-15,29.709999084472656
2016-03-16,29.280000686645508
2016-03-17,29.899999618530273
2016-03-18,30.389999389648438
2016-03-21,29.829999923706055
2016-03-22,29.079999923706055
2016-03-23,28.719999313354492
2016-03-24,28.760000228881836
2016-03-28,29.030000686645508
2016-03-29,29.510000228881836
2016-03-30,29.65999984741211
2016-03-31,29.399999618530273
2016-04-01,29.459999084472656
2016-04-04,29.520000457763672
2016-04-05,28.690000534057617
2016-04-06,28.860000610351562
2016-04-07,27.68000030517578
2016-04-08,23.850000381469727
2016-04-11,23.979999542236328
2016-04-12,23.579999923706055
2016-04-13,23.93000030517578
2016-04-14,23.709999084472656
2016-04-15,23.90999984741211
2016-04-18,23.8799991607666
2016-04-19,23.959999084472656
2016-04-20,24.059999465942383
2016-04-21,23.829999923706055
2016-04-22,23.959999084472656
2016-04-25,23.40999984741211
2016-04-26,23.8700008392334
2016-04-27,23.969999313354492
2016-04-28,23.530000686645508
2016-04-29,23.18000030517578
2016-05-02,22.979999542236328
2016-05-03,22.6299991607666
2016-05-04,22.739999771118164
2016-05-05,21.8700008392334
2016-05-06,21.670000076293945
2016-05-09,21.809999465942383
2016-05-10,19.299999237060547
2016-05-11,18.579999923706055
2016-05-12,17.860000610351562
2016-05-13,17.6200008392334
2016-05-16,17.549999237060547
2016-05-17,17.329999923706055
2016-05-18,17.09000015258789
2016-05-19,17.280000686645508
2016-05-20,18.010000228881836
2016-05-23,18.40999984741211
2016-05-24,18.09000015258789
2016-05-25,18.280000686645508
2016-05-26,18.059999465942383
2016-05-27,18.1299991607666
2016-05-31,17.989999771118164
2016-06-01,17.8700008392334
2016-06-02,18.329999923706055
2016-06-03,19.09000015258789
2016-06-06,19.049999237060547
2016-06-07,19.420000076293945
2016-06-08,19.530000686645508
2016-06-09,19.309999465942383
2016-06-10,18.920000076293945
2016-06-13,18.90999984741211
2016-06-14,19.010000228881836
2016-06-15,19.329999923706055
2016-06-16,19.34000015258789
2016-06-17,20.1299991607666
2016-06-20,20.719999313354492
2016-06-21,20.549999237060547
2016-06-22,20.610000610351562
2016-06-23,20.93000030517578
2016-06-24,20.399999618530273
2016-06-27,20.06999969482422
2016-06-28,20.739999771118164
2016-06-29,21.0
2016-06-30,21.219999313354492
2016-07-01,21.399999618530273
2016-07-05,21.270000457763672
2016-07-06,21.790000915527344
2016-07-07,21.6299991607666
2016-07-08,22.700000762939453
2016-07-11,22.899999618530273
2016-07-12,23.3700008392334
2016-07-13,23.280000686645508
2016-07-14,23.209999084472656
2016-07-15,23.260000228881836
2016-07-18,23.8799991607666
2016-07-19,23.950000762939453
2016-07-20,24.219999313354492
2016-07-21,24.229999542236328
2016-07-22,24.34000015258789
2016-07-25,25.1299991607666
2016-07-26,25.760000228881836
2016-07-27,25.579999923706055
2016-07-28,25.229999542236328
2016-07-29,25.790000915527344
2016-08-01,25.559999465942383
2016-08-02,24.209999084472656
2016-08-03,25.010000228881836
2016-08-04,25.200000762939453
2016-08-05,25.639999389648438
2016-08-08,25.6200008392334
2016-08-09,24.010000228881836
2016-08-10,24.030000686645508
2016-08-11,24.979999542236328
2016-08-12,24.989999771118164
2016-08-15,25.389999389648438
2016-08-16,25.139999389648438
2016-08-17,25.459999084472656
2016-08-18,25.8799991607666
2016-08-19,26.889999389648438
2016-08-22,26.860000610351562
2016-08-23,26.989999771118164
2016-08-24,26.6299991607666
2016-08-25,26.389999389648438
2016-08-26,26.479999542236328
2016-08-29,26.479999542236328
2016-08-30,25.34000015258789
2016-08-31,24.8700008392334
2016-09-01,24.549999237060547
2016-09-02,23.920000076293945
2016-09-06,23.43000030517578
2016-09-07,23.790000915527344
2016-09-08,23.719999313354492
2016-09-09,23.350000381469727
2016-09-12,23.84000015258789
2016-09-13,23.049999237060547
2016-09-14,23.049999237060547
2016-09-15,23.56999969482422
2016-09-16,23.3700008392334
2016-09-19,23.18000030517578
2016-09-20,22.59000015258789
2016-09-21,22.479999542236328
2016-09-22,22.579999923706055
2016-09-23,22.6200008392334
2016-09-26,22.229999542236328
2016-09-27,22.290000915527344
2016-09-28,22.059999465942383
2016-09-29,21.700000762939453
2016-09-30,22.239999771118164
2016-10-03,21.81999969482422
2016-10-04,21.780000686645508
2016-10-05,22.530000686645508
2016-10-06,22.780000686645508
2016-10-07,26.25
2016-10-10,26.420000076293945
2016-10-11,26.559999465942383
2016-10-12,26.850000381469727
2016-10-13,26.540000915527344
2016-10-14,26.450000762939453
2016-10-17,26.15999984741211
2016-10-18,25.90999984741211
2016-10-19,26.510000228881836
2016-10-20,26.479999542236328
2016-10-21,26.40999984741211
2016-10-24,26.549999237060547
2016-10-25,26.610000610351562
2016-10-26,27.0
2016-10-27,26.6200008392334
2016-10-28,27.18000030517578
2016-10-31,27.59000015258789
