Date,IEX
2015-07-01,68.72251892089844
2015-07-02,68.78340911865234
2015-07-06,68.10528564453125
2015-07-07,68.49650573730469
2015-07-08,67.3228530883789
2015-07-09,67.53150177001953
2015-07-10,67.11422729492188
2015-07-13,68.00096893310547
2015-07-14,68.41122436523438
2015-07-15,67.74781036376953
2015-07-16,67.5906982421875
2015-07-17,67.23277282714844
2015-07-20,67.39862060546875
2015-07-21,66.53446197509766
2015-07-22,66.22889709472656
2015-07-23,66.60429382324219
2015-07-24,64.98936462402344
2015-07-27,64.24737548828125
2015-07-28,65.32980346679688
2015-07-29,66.69157409667969
2015-07-30,66.58682250976562
2015-07-31,66.36859893798828
2015-08-03,65.37345123291016
2015-08-04,65.21630859375
2015-08-05,65.90592193603516
2015-08-06,65.2425308227539
2015-08-07,64.77986907958984
2015-08-10,66.255126953125
2015-08-11,65.3123550415039
2015-08-12,65.35599517822266
2015-08-13,65.3123550415039
2015-08-14,65.6266098022461
2015-08-17,66.04561614990234
2015-08-18,65.8448486328125
2015-08-19,65.21630859375
2015-08-20,63.339534759521484
2015-08-21,61.83808135986328
2015-08-24,60.68584442138672
2015-08-25,60.668373107910156
2015-08-26,60.98264694213867
2015-08-27,62.24838638305664
2015-08-28,62.52771759033203
2015-08-31,62.702308654785156
2015-09-01,60.109710693359375
2015-09-02,60.95643615722656
2015-09-03,61.39293670654297
2015-09-04,60.493804931640625
2015-09-08,61.969058990478516
2015-09-09,61.68099594116211
2015-09-10,61.38418197631836
2015-09-11,61.628604888916016
2015-09-14,61.23579025268555
2015-09-15,62.33568572998047
2015-09-16,63.583961486816406
2015-09-17,62.80705642700195
2015-09-18,62.204734802246094
2015-09-21,62.46662139892578
2015-09-22,61.38418197631836
2015-09-23,60.2144660949707
2015-09-24,60.40650177001953
2015-09-25,60.70331573486328
2015-09-28,60.33668518066406
2015-09-29,61.358009338378906
2015-09-30,62.23966979980469
2015-10-01,61.34926223754883
2015-10-02,63.00782775878906
2015-10-05,65.25999450683594
2015-10-06,65.2686996459961
2015-10-07,66.70032501220703
2015-10-08,69.14449310302734
2015-10-09,67.88749694824219
2015-10-12,66.64793395996094
2015-10-13,66.36859893798828
2015-10-14,65.57087707519531
2015-10-15,65.6322250366211
2015-10-16,65.72868347167969
2015-10-19,65.66732788085938
2015-10-20,65.64974975585938
2015-10-21,65.56211853027344
2015-10-22,66.806884765625
2015-10-23,67.19261169433594
2015-10-26,67.31534576416016
2015-10-27,66.92962646484375
2015-10-28,67.33285522460938
2015-10-29,67.1399917602539
2015-10-30,67.2890396118164
2015-11-02,67.71858978271484
2015-11-03,67.85006713867188
2015-11-04,67.65718841552734
2015-11-05,67.99909973144531
2015-11-06,67.73611450195312
2015-11-09,67.38549041748047
2015-11-10,67.79747772216797
2015-11-11,67.41175079345703
2015-11-12,66.0091552734375
2015-11-13,66.03548431396484
2015-11-16,66.67542266845703
2015-11-17,66.6140365600586
2015-11-18,67.92019653320312
2015-11-19,68.37603759765625
2015-11-20,68.67410278320312
2015-11-23,68.40233612060547
2015-11-24,69.05104064941406
2015-11-25,69.08611297607422
2015-11-27,69.24388122558594
2015-11-30,69.07736206054688
2015-12-01,69.1913070678711
2015-12-02,68.682861328125
2015-12-03,68.34099578857422
2015-12-04,69.02474975585938
2015-12-07,67.99031066894531
2015-12-08,66.95592498779297
2015-12-09,67.05236053466797
2015-12-10,67.06111907958984
2015-12-11,66.3861312866211
2015-12-14,66.6841812133789
2015-12-15,66.8156509399414
2015-12-16,67.42054748535156
2015-12-17,66.78936767578125
2015-12-18,65.81634521484375
2015-12-21,66.06177520751953
2015-12-22,66.8156509399414
2015-12-23,67.89391326904297
2015-12-24,68.01663970947266
2015-12-28,67.69229125976562
2015-12-29,68.12181854248047
2015-12-30,67.60465240478516
2015-12-31,67.15756225585938
2016-01-04,66.39490509033203
2016-01-05,65.74618530273438
2016-01-06,65.0185775756836
2016-01-07,63.65108871459961
2016-01-08,62.80076217651367
2016-01-11,62.58162307739258
2016-01-12,62.89718246459961
2016-01-13,61.62921905517578
2016-01-14,62.79153060913086
2016-01-15,61.60280990600586
2016-01-19,61.294593811035156
2016-01-20,60.97761917114258
2016-01-21,60.20273208618164
2016-01-22,61.655609130859375
2016-01-25,60.16750717163086
2016-01-26,61.85814666748047
2016-01-27,62.474525451660156
2016-01-28,61.19774627685547
2016-01-29,63.84816360473633
2016-02-01,62.914798736572266
2016-02-02,62.0694694519043
2016-02-03,63.25822448730469
2016-02-04,64.35889434814453
2016-02-05,64.06832885742188
2016-02-08,63.4343376159668
2016-02-09,62.93243408203125
2016-02-10,62.738704681396484
2016-02-11,62.404090881347656
2016-02-12,63.18777847290039
2016-02-16,64.45575714111328
2016-02-17,65.0633544921875
2016-02-18,65.73255157470703
2016-02-19,65.81182861328125
2016-02-22,66.7363510131836
2016-02-23,65.88223266601562
2016-02-24,66.00550842285156
2016-02-25,66.03192901611328
2016-02-26,66.67471313476562
2016-02-29,66.18159484863281
2016-03-01,67.62572479248047
2016-03-02,67.81059265136719
2016-03-03,68.48866271972656
2016-03-04,68.8232650756836
2016-03-07,69.05218505859375
2016-03-08,68.03955841064453
2016-03-09,68.13643646240234
2016-03-10,67.97793579101562
2016-03-11,68.79682922363281
2016-03-14,68.64715576171875
2016-03-15,68.79682922363281
2016-03-16,69.84469604492188
2016-03-17,71.20948791503906
2016-03-18,71.77307891845703
2016-03-21,72.60955810546875
2016-03-22,73.01463317871094
2016-03-23,72.09005737304688
2016-03-24,72.35420989990234
2016-03-28,72.52151489257812
2016-03-29,73.63981628417969
2016-03-30,73.44611358642578
2016-03-31,72.97940826416016
2016-04-01,73.97441864013672
2016-04-04,72.20454406738281
2016-04-05,71.35921478271484
2016-04-06,71.48246765136719
2016-04-07,71.15667724609375
2016-04-08,71.67622375488281
2016-04-11,71.8259048461914
2016-04-12,72.43345642089844
2016-04-13,73.8687515258789
2016-04-14,73.7449951171875
2016-04-15,73.79801940917969
2016-04-18,74.48764038085938
2016-04-19,74.37273406982422
2016-04-20,73.93064880371094
2016-04-21,73.6388931274414
2016-04-22,73.80686950683594
2016-04-25,73.09071350097656
2016-04-26,74.38155364990234
2016-04-27,74.08981323242188
2016-04-28,72.8343276977539
2016-04-29,72.40994262695312
2016-05-02,72.91388702392578
2016-05-03,72.06515502929688
2016-05-04,71.42857360839844
2016-05-05,71.89715576171875
2016-05-06,72.6751937866211
2016-05-09,72.05632019042969
2016-05-10,72.73707580566406
2016-05-11,72.33038330078125
2016-05-12,72.79013061523438
2016-05-13,71.80874633789062
2016-05-16,72.78128814697266
2016-05-17,72.29499053955078
2016-05-18,72.19774627685547
2016-05-19,72.02978515625
2016-05-20,72.51605987548828
2016-05-23,72.72823333740234
2016-05-24,73.95716857910156
2016-05-25,74.18707275390625
2016-05-26,73.81570434570312
2016-05-27,73.85992431640625
2016-05-31,73.6830825805664
2016-06-01,74.20474243164062
2016-06-02,74.84127807617188
2016-06-03,74.65562438964844
2016-06-06,75.88457489013672
2016-06-07,76.15862274169922
2016-06-08,76.86593627929688
2016-06-09,76.75985717773438
2016-06-10,75.98181915283203
2016-06-13,75.64586639404297
2016-06-14,75.27450561523438
2016-06-15,75.3982925415039
2016-06-16,75.37176513671875
2016-06-17,75.5839614868164
2016-06-20,76.53882598876953
2016-06-21,75.53092193603516
2016-06-22,75.68124389648438
2016-06-23,76.48579406738281
2016-06-24,72.05632019042969
2016-06-27,70.10238647460938
2016-06-28,70.6505355834961
2016-06-29,71.1987075805664
2016-06-30,72.5867691040039
2016-07-01,72.6574935913086
2016-07-05,71.34898376464844
2016-07-06,72.02978515625
2016-07-07,72.4895248413086
2016-07-08,74.13400268554688
2016-07-11,74.80593872070312
2016-07-12,75.59281158447266
2016-07-13,75.47740936279297
2016-07-14,75.69933319091797
2016-07-15,75.64607238769531
2016-07-18,74.96256256103516
2016-07-19,77.35037231445312
2016-07-20,78.3622817993164
2016-07-21,77.36812591552734
2016-07-22,77.48352813720703
2016-07-25,77.0840835571289
2016-07-26,78.31790161132812
2016-07-27,78.76171875
2016-07-28,79.03691101074219
