Date,XRAY
2015-07-01,44.60303497314453
2015-07-02,44.30131530761719
2015-07-06,44.68062973022461
2015-07-07,44.98233413696289
2015-07-08,44.171993255615234
2015-07-09,43.835784912109375
2015-07-10,44.34440994262695
2015-07-13,45.00819778442383
2015-07-14,45.23234939575195
2015-07-15,45.120269775390625
2015-07-16,45.24959945678711
2015-07-17,45.31852722167969
2015-07-20,45.24959945678711
2015-07-21,44.939239501953125
2015-07-22,45.31852722167969
2015-07-23,45.447845458984375
2015-07-24,44.80131530761719
2015-07-27,44.48234558105469
2015-07-28,45.32716751098633
2015-07-29,46.3271484375
2015-07-30,48.32714080810547
2015-07-31,49.05988311767578
2015-08-03,48.2323112487793
2015-08-04,48.17196273803711
2015-08-05,48.65472412109375
2015-08-06,48.04266357421875
2015-08-07,48.085758209228516
2015-08-10,48.44782257080078
2015-08-11,48.249549865722656
2015-08-12,49.38747024536133
2015-08-13,49.15471267700195
2015-08-14,48.956451416015625
2015-08-17,48.913330078125
2015-08-18,49.30126953125
2015-08-19,48.92195510864258
2015-08-20,47.83576583862305
2015-08-21,46.23233413696289
2015-08-24,44.439247131347656
2015-08-25,44.0168342590332
2015-08-26,45.38750076293945
2015-08-27,45.913352966308594
2015-08-28,45.913352966308594
2015-08-31,45.18061828613281
2015-09-01,43.74098205566406
2015-09-02,44.61165237426758
2015-09-03,44.54268264770508
2015-09-04,44.13752746582031
2015-09-08,45.18061828613281
2015-09-09,44.568546295166016
2015-09-10,45.07716751098633
2015-09-11,45.335784912109375
2015-09-14,46.22370147705078
2015-09-15,46.853004455566406
2015-09-16,45.749568939208984
2015-09-17,46.16335678100586
2015-09-18,45.56855392456055
2015-09-21,45.784053802490234
2015-09-22,45.26682662963867
2015-09-23,45.72693634033203
2015-09-24,45.407535552978516
2015-09-25,44.82050704956055
2015-09-28,43.560150146484375
2015-09-29,43.61194610595703
2015-09-30,43.65511703491211
2015-10-01,43.465187072753906
2015-10-02,44.00041961669922
2015-10-05,45.16581726074219
2015-10-06,45.49385070800781
2015-10-07,47.03046417236328
2015-10-08,47.608848571777344
2015-10-09,48.78288650512695
2015-10-12,48.903751373291016
2015-10-13,48.92100524902344
2015-10-14,48.3685188293457
2015-10-15,48.12680435180664
2015-10-16,48.91237258911133
2015-10-19,49.09366989135742
2015-10-20,49.17134094238281
2015-10-21,49.853328704833984
2015-10-22,50.62161636352539
2015-10-23,50.7252197265625
2015-10-26,50.768375396728516
2015-10-27,50.932395935058594
2015-10-28,51.16548156738281
2015-10-29,52.287715911865234
2015-10-30,52.52944564819336
2015-11-02,53.815696716308594
2015-11-03,53.59987258911133
2015-11-04,53.5480842590332
2015-11-05,53.13371658325195
2015-11-06,53.22005081176758
2015-11-09,52.218666076660156
2015-11-10,52.99559783935547
2015-11-11,52.43448257446289
2015-11-12,51.4935302734375
2015-11-13,51.251800537109375
2015-11-16,51.838829040527344
2015-11-17,52.12370681762695
2015-11-18,52.52944564819336
2015-11-19,52.73662185668945
2015-11-20,52.88337707519531
2015-11-23,53.2718391418457
2015-11-24,52.76251220703125
2015-11-25,52.61576461791992
2015-11-27,52.75388717651367
2015-11-30,52.36540603637695
2015-12-01,53.49628448486328
2015-12-02,53.90201950073242
2015-12-03,54.04876708984375
2015-12-04,54.454505920410156
2015-12-07,54.35090637207031
2015-12-08,53.694847106933594
2015-12-09,52.563961029052734
2015-12-10,52.54669952392578
2015-12-11,51.614383697509766
