Date,ORCL
2015-07-01,34.118431091308594
2015-07-02,34.220176696777344
2015-07-06,34.16911697387695
2015-07-07,34.17761993408203
2015-07-08,33.845726013183594
2015-07-09,34.19465637207031
2015-07-10,34.34783935546875
2015-07-13,34.72229766845703
2015-07-14,34.70527267456055
2015-07-15,34.71379089355469
2015-07-16,34.85846710205078
2015-07-17,34.38188171386719
2015-07-20,33.98189926147461
2015-07-21,33.67551803588867
2015-07-22,33.54785919189453
2015-07-23,33.190425872802734
2015-07-24,33.190425872802734
2015-07-27,32.77341842651367
2015-07-28,33.428714752197266
2015-07-29,33.862754821777344
2015-07-30,33.74360656738281
2015-07-31,33.99039840698242
2015-08-03,33.794654846191406
2015-08-04,33.752105712890625
2015-08-05,33.73509979248047
2015-08-06,33.4627685546875
2015-08-07,33.66700744628906
2015-08-10,33.9478645324707
2015-08-11,33.335113525390625
2015-08-12,33.428714752197266
2015-08-13,33.45425796508789
2015-08-14,33.53934860229492
2015-08-17,33.80318069458008
2015-08-18,33.896785736083984
2015-08-19,33.6414680480957
2015-08-20,32.87553024291992
2015-08-21,31.956422805786133
2015-08-24,30.705400466918945
2015-08-25,30.169246673583984
2015-08-26,31.411758422851562
2015-08-27,31.33517074584961
2015-08-28,31.87983512878418
2015-08-31,31.564945220947266
2015-09-01,30.645822525024414
2015-09-02,31.27559471130371
2015-09-03,31.403244018554688
2015-09-04,30.86710548400879
2015-09-08,32.06705093383789
2015-09-09,31.564945220947266
2015-09-10,32.00748825073242
2015-09-11,32.27130889892578
2015-09-14,31.964933395385742
2015-09-15,32.33087921142578
2015-09-16,32.56916809082031
2015-09-17,31.267087936401367
2015-09-18,30.960710525512695
2015-09-21,31.34368324279785
2015-09-22,30.799013137817383
2015-09-23,30.62881088256836
2015-09-24,30.688377380371094
2015-09-25,30.67986297607422
2015-09-28,30.160734176635742
2015-09-29,30.220308303833008
2015-09-30,30.73943328857422
2015-10-01,30.841567993164062
2015-10-02,31.394725799560547
2015-10-05,31.99046516418457
2015-10-06,32.1096076965332
2015-10-07,32.05003356933594
2015-10-08,32.24578094482422
2015-10-09,32.55337905883789
2015-10-12,32.502098083496094
2015-10-13,32.314125061035156
2015-10-14,31.83567237854004
2015-10-15,32.083431243896484
2015-10-16,31.929643630981445
2015-10-19,31.502429962158203
2015-10-20,31.4938907623291
2015-10-21,31.28883171081543
2015-10-22,32.28850555419922
2015-10-23,32.527748107910156
2015-10-26,32.78407287597656
2015-10-27,32.7584342956543
2015-10-28,33.21982192993164
2015-10-29,33.202735900878906
2015-10-30,33.18564224243164
2015-11-02,33.96316909790039
2015-11-03,34.34764862060547
2015-11-04,34.5869026184082
2015-11-05,34.47581100463867
2015-11-06,34.70649337768555
2015-11-09,34.26220703125
2015-11-10,34.1084098815918
2015-11-11,33.35651779174805
2015-11-12,33.006202697753906
2015-11-13,31.86982536315918
2015-11-16,32.57045364379883
2015-11-17,32.579002380371094
2015-11-18,33.06602478027344
2015-11-19,33.33942794799805
2015-11-20,33.61284637451172
2015-11-23,33.44196701049805
2015-11-24,33.71537780761719
2015-11-25,33.544498443603516
2015-11-27,33.476139068603516
2015-11-30,33.29670333862305
2015-12-01,33.51885223388672
2015-12-02,33.06602478027344
2015-12-03,32.305599212646484
2015-12-04,33.45906448364258
2015-12-07,33.16854476928711
2015-12-08,33.091651916503906
2015-12-09,32.96348571777344
2015-12-10,32.6302604675293
2015-12-11,31.792924880981445
2015-12-14,32.16887283325195
2015-12-15,32.64735794067383
2015-12-16,33.24544143676758
2015-12-17,31.553691864013672
2015-12-18,31.05811882019043
2015-12-21,31.117938995361328
2015-12-22,31.263198852539062
2015-12-23,31.553691864013672
2015-12-24,31.622045516967773
2015-12-28,31.43408966064453
2015-12-29,31.647687911987305
2015-12-30,31.545143127441406
2015-12-31,31.211938858032227
2016-01-04,30.671428680419922
2016-01-05,30.577049255371094
2016-01-06,30.731489181518555
2016-01-07,30.062278747558594
2016-01-08,29.727684020996094
2016-01-11,29.97649574279785
2016-01-12,30.34540367126465
2016-01-13,29.238666534423828
2016-01-14,29.847806930541992
2016-01-15,29.272981643676758
2016-01-19,29.64189338684082
2016-01-20,29.11855125427246
2016-01-21,29.272981643676758
2016-01-22,29.856382369995117
2016-01-25,29.46173667907715
2016-01-26,30.225292205810547
2016-01-27,29.95075798034668
2016-01-28,30.31108283996582
2016-01-29,31.151870727539062
2016-02-01,31.16045379638672
2016-02-02,30.3282527923584
2016-02-03,30.619956970214844
2016-02-04,31.27199363708496
2016-02-05,30.6285343170166
2016-02-08,30.551321029663086
2016-02-09,30.096607208251953
2016-02-10,30.19956398010254
2016-02-11,29.890687942504883
2016-02-12,30.491260528564453
2016-02-16,30.6285343170166
2016-02-17,31.42641830444336
2016-02-18,31.42641830444336
2016-02-19,31.55510711669922
2016-02-22,31.838226318359375
2016-02-23,31.3577823638916
2016-02-24,31.42641830444336
2016-02-25,31.99266242980957
2016-02-26,31.709535598754883
2016-02-29,31.55510711669922
2016-03-01,32.59321594238281
2016-03-02,32.39590072631836
2016-03-03,32.50743103027344
2016-03-04,32.50743103027344
2016-03-07,32.9106559753418
2016-03-08,32.730491638183594
2016-03-09,33.01360321044922
2016-03-10,32.644683837890625
2016-03-11,33.41684341430664
2016-03-14,33.20234680175781
2016-03-15,33.236663818359375
2016-03-16,34.506431579589844
2016-03-17,34.84101867675781
2016-03-18,35.58742904663086
2016-03-21,35.698974609375
2016-03-22,35.50163650512695
2016-03-23,34.96113586425781
2016-03-24,35.1498908996582
2016-03-28,34.849605560302734
2016-03-29,34.918235778808594
2016-03-30,35.1498908996582
2016-03-31,35.098426818847656
2016-04-01,35.312896728515625
2016-04-04,35.23567199707031
2016-04-05,34.772396087646484
2016-04-06,34.96113586425781
2016-04-07,34.29193115234375
2016-04-08,34.626529693603516
2016-04-11,34.65227508544922
2016-04-12,34.80727005004883
2016-04-13,35.57370376586914
2016-04-14,35.5134162902832
2016-04-15,35.323970794677734
2016-04-18,35.5134162902832
2016-04-19,35.35841751098633
2016-04-20,35.39284133911133
2016-04-21,35.29814910888672
2016-04-22,35.048397064208984
2016-04-25,35.11729049682617
2016-04-26,35.005348205566406
2016-04-27,35.17757797241211
2016-04-28,34.729774475097656
2016-04-29,34.32503890991211
2016-05-02,34.703941345214844
2016-05-03,34.1700325012207
2016-05-04,33.83420181274414
2016-05-05,33.78252410888672
2016-05-06,33.93753433227539
2016-05-09,33.894474029541016
2016-05-10,34.462825775146484
2016-05-11,34.14419937133789
2016-05-12,34.29058837890625
2016-05-13,34.10975646972656
2016-05-16,34.419776916503906
2016-05-17,34.10114288330078
2016-05-18,33.98920440673828
2016-05-19,33.446678161621094
2016-05-20,33.93753433227539
2016-05-23,33.739471435546875
2016-05-24,34.35948944091797
2016-05-25,34.55756378173828
2016-05-26,34.40253829956055
2016-05-27,34.50589370727539
2016-05-31,34.617828369140625
2016-06-01,34.669490814208984
2016-06-02,33.29167175292969
2016-06-03,33.67057800292969
2016-06-06,33.96336364746094
2016-06-07,33.69641876220703
2016-06-08,33.82558822631836
2016-06-09,33.62752151489258
2016-06-10,33.36056137084961
2016-06-13,33.257232666015625
2016-06-14,33.438079833984375
2016-06-15,33.102230072021484
2016-06-16,33.27445983886719
2016-06-17,34.1700325012207
2016-06-20,34.213104248046875
2016-06-21,34.436988830566406
2016-06-22,34.45421600341797
2016-06-23,35.16034698486328
2016-06-24,33.78252410888672
2016-06-27,33.13667678833008
2016-06-28,33.69641876220703
2016-06-29,34.91923904418945
2016-06-30,35.2464714050293
2016-07-01,35.31562042236328
2016-07-05,34.91802978515625
2016-07-06,35.03038024902344
2016-07-07,35.03038024902344
2016-07-08,35.32425308227539
2016-07-11,35.2464714050293
2016-07-12,35.79961395263672
2016-07-13,35.834190368652344
2016-07-14,36.01569747924805
2016-07-15,36.10212326049805
2016-07-18,35.98977279663086
2016-07-19,35.50576400756836
2016-07-20,35.652687072753906
2016-07-21,35.49711227416992
2016-07-22,35.50576400756836
2016-07-25,35.574886322021484
2016-07-26,35.38474655151367
2016-07-27,35.37611389160156
2016-07-28,35.600830078125
2016-07-29,35.47118377685547
2016-08-01,35.566253662109375
2016-08-02,35.18596649169922
2016-08-03,35.18596649169922
2016-08-04,35.35017395019531
2016-08-05,35.54897689819336
2016-08-08,35.574886322021484
2016-08-09,35.523033142089844
2016-08-10,35.514400482177734
2016-08-11,35.678611755371094
2016-08-12,35.514400482177734
2016-08-15,35.77370071411133
2016-08-16,35.71318817138672
2016-08-17,35.618106842041016
2016-08-18,35.557613372802734
2016-08-19,35.71318817138672
