Date,CPRI
2016-07-15,51.63999938964844
2016-07-18,52.0
2016-07-19,51.189998626708984
2016-07-20,51.59000015258789
2016-07-21,51.349998474121094
2016-07-22,51.439998626708984
2016-07-25,51.68000030517578
2016-07-26,52.15999984741211
2016-07-27,52.33000183105469
2016-07-28,52.060001373291016
2016-07-29,51.720001220703125
2016-08-01,52.900001525878906
2016-08-02,50.31999969482422
2016-08-03,49.02000045776367
2016-08-04,49.66999816894531
2016-08-05,50.40999984741211
2016-08-08,50.27000045776367
2016-08-09,50.11000061035156
2016-08-10,48.709999084472656
2016-08-11,49.130001068115234
2016-08-12,48.790000915527344
2016-08-15,49.959999084472656
2016-08-16,49.900001525878906
2016-08-17,48.79999923706055
2016-08-18,49.310001373291016
2016-08-19,50.08000183105469
2016-08-22,50.130001068115234
2016-08-23,50.779998779296875
2016-08-24,50.34000015258789
2016-08-25,50.2599983215332
2016-08-26,49.59000015258789
2016-08-29,50.209999084472656
2016-08-30,49.25
2016-08-31,48.95000076293945
2016-09-01,49.619998931884766
2016-09-02,49.209999084472656
2016-09-06,48.7400016784668
2016-09-07,49.91999816894531
2016-09-08,49.16999816894531
2016-09-09,47.72999954223633
2016-09-12,48.310001373291016
2016-09-13,47.5
2016-09-14,47.4900016784668
2016-09-15,47.68000030517578
2016-09-16,47.849998474121094
2016-09-19,49.619998931884766
2016-09-20,49.119998931884766
2016-09-21,49.84000015258789
2016-09-22,50.11000061035156
2016-09-23,50.5099983215332
2016-09-26,47.970001220703125
2016-09-27,48.16999816894531
2016-09-28,48.2400016784668
2016-09-29,46.869998931884766
2016-09-30,46.790000915527344
2016-10-03,46.439998626708984
2016-10-04,47.349998474121094
2016-10-05,47.0099983215332
2016-10-06,47.52000045776367
2016-10-07,46.959999084472656
2016-10-10,46.41999816894531
2016-10-11,45.650001525878906
2016-10-12,46.77000045776367
2016-10-13,46.630001068115234
2016-10-14,46.650001525878906
2016-10-17,46.54999923706055
2016-10-18,47.52000045776367
2016-10-19,50.099998474121094
2016-10-20,49.599998474121094
2016-10-21,48.95000076293945
2016-10-24,48.84000015258789
2016-10-25,48.54999923706055
2016-10-26,48.560001373291016
2016-10-27,48.16999816894531
2016-10-28,50.119998931884766
2016-10-31,50.779998779296875
2016-11-01,50.369998931884766
2016-11-02,49.72999954223633
2016-11-03,48.2400016784668
2016-11-04,49.09000015258789
2016-11-07,50.29999923706055
2016-11-08,50.31999969482422
2016-11-09,50.18000030517578
2016-11-10,51.7599983215332
2016-11-11,49.70000076293945
2016-11-14,47.15999984741211
2016-11-15,46.900001525878906
2016-11-16,47.5099983215332
2016-11-17,48.56999969482422
2016-11-18,47.56999969482422
2016-11-21,48.13999938964844
2016-11-22,48.27000045776367
2016-11-23,48.59000015258789
2016-11-25,48.90999984741211
2016-11-28,48.029998779296875
2016-11-29,47.709999084472656
2016-11-30,46.4900016784668
2016-12-01,46.22999954223633
2016-12-02,46.20000076293945
2016-12-05,48.470001220703125
2016-12-06,48.369998931884766
2016-12-07,48.90999984741211
2016-12-08,50.61000061035156
2016-12-09,49.36000061035156
2016-12-12,47.869998931884766
2016-12-13,47.880001068115234
2016-12-14,47.29999923706055
2016-12-15,46.0099983215332
2016-12-16,45.209999084472656
2016-12-19,44.849998474121094
2016-12-20,44.2599983215332
2016-12-21,44.209999084472656
2016-12-22,42.75
2016-12-23,42.84000015258789
2016-12-27,42.91999816894531
2016-12-28,43.13999938964844
2016-12-29,42.84000015258789
2016-12-30,42.97999954223633
2017-01-03,43.08000183105469
2017-01-04,43.5
2017-01-05,42.099998474121094
2017-01-06,42.470001220703125
2017-01-09,42.040000915527344
