Date,GS
2015-07-01,169.0342559814453
2015-07-02,168.43844604492188
2015-07-06,167.50445556640625
2015-07-07,167.6413116455078
2015-07-08,164.2999725341797
2015-07-09,164.90380859375
2015-07-10,166.82008361816406
2015-07-13,169.17918395996094
2015-07-14,170.82167053222656
2015-07-15,171.46580505371094
2015-07-16,170.0326690673828
2015-07-17,171.06329345703125
2015-07-20,171.00686645507812
2015-07-21,170.29025268554688
2015-07-22,171.6992950439453
2015-07-23,169.92799377441406
2015-07-24,166.9488983154297
2015-07-27,165.07290649414062
2015-07-28,166.0552215576172
2015-07-29,166.53831481933594
2015-07-30,166.82815551757812
2015-07-31,165.1132049560547
2015-08-03,164.8071746826172
2015-08-04,165.19366455078125
2015-08-05,165.6204071044922
2015-08-06,165.12925720214844
2015-08-07,163.80075073242188
2015-08-10,165.83778381347656
2015-08-11,162.39979553222656
2015-08-12,161.94085693359375
2015-08-13,161.62686157226562
2015-08-14,162.657470703125
2015-08-17,163.1002655029297
2015-08-18,161.98110961914062
2015-08-19,161.79592895507812
2015-08-20,158.4142303466797
2015-08-21,151.15980529785156
2015-08-24,144.49310302734375
2015-08-25,143.49476623535156
2015-08-26,148.47055053710938
2015-08-27,152.34339904785156
2015-08-28,151.68896484375
2015-08-31,152.37567138671875
2015-09-01,147.14035034179688
2015-09-02,149.0712432861328
2015-09-03,149.51564025878906
2015-09-04,145.7345428466797
2015-09-08,150.17816162109375
2015-09-09,150.0166015625
2015-09-10,150.202392578125
2015-09-11,149.68531799316406
2015-09-14,148.61074829101562
2015-09-15,151.44662475585938
2015-09-16,152.4080352783203
2015-09-17,150.63865661621094
2015-09-18,146.1869354248047
2015-09-21,148.1341094970703
2015-09-22,145.20130920410156
2015-09-23,144.9508056640625
2015-09-24,142.93096923828125
2015-09-25,145.29013061523438
2015-09-28,139.78814697265625
2015-09-29,138.85096740722656
2015-09-30,140.38600158691406
2015-10-01,142.2119140625
2015-10-02,143.01177978515625
2015-10-05,145.9930877685547
2015-10-06,145.68609619140625
2015-10-07,147.2292022705078
2015-10-08,146.29196166992188
2015-10-09,144.7730712890625
2015-10-12,145.61329650878906
