Date,PWR
2015-07-01,28.1853084564209
2015-07-02,27.99897575378418
2015-07-06,27.77341079711914
2015-07-07,28.234346389770508
2015-07-08,27.165380477905273
2015-07-09,27.39094352722168
2015-07-10,27.547853469848633
2015-07-13,28.048011779785156
2015-07-14,28.342220306396484
2015-07-15,27.74399757385254
2015-07-16,27.959745407104492
2015-07-17,27.645925521850586
2015-07-20,27.6066951751709
2015-07-21,27.56747055053711
2015-07-22,27.234033584594727
2015-07-23,26.930011749267578
2015-07-24,26.4788875579834
2015-07-27,26.11602210998535
2015-07-28,26.684837341308594
2015-07-29,27.253644943237305
2015-07-30,27.243839263916016
2015-07-31,27.08692741394043
2015-08-03,26.890789031982422
2015-08-04,26.802522659301758
2015-08-05,22.663970947265625
2015-08-06,22.889530181884766
2015-08-07,23.183744430541992
2015-08-10,24.00752830505371
2015-08-11,23.97810935974121
2015-08-12,24.458650588989258
2015-08-13,23.723125457763672
2015-08-14,24.05656623840332
2015-08-17,23.987911224365234
2015-08-18,24.017335891723633
2015-08-19,23.713315963745117
2015-08-20,23.20335578918457
2015-08-21,22.61493492126465
2015-08-24,21.545976638793945
2015-08-25,21.408676147460938
2015-08-26,21.977479934692383
2015-08-27,23.193546295166016
2015-08-28,23.311229705810547
2015-08-31,23.772157669067383
2015-09-01,22.811073303222656
2015-09-02,23.242586135864258
2015-09-03,23.419109344482422
2015-09-04,23.232776641845703
2015-09-08,23.94869041442871
2015-09-09,23.88984489440918
2015-09-10,24.066368103027344
2015-09-11,23.92906951904297
2015-09-14,23.752544403076172
2015-09-15,24.135019302368164
2015-09-16,24.448848724365234
2015-09-17,24.26251220703125
2015-09-18,24.10559844970703
2015-09-21,24.429229736328125
2015-09-22,23.987911224365234
2015-09-23,23.272001266479492
2015-09-24,23.634862899780273
2015-09-25,23.909460067749023
2015-09-28,23.14451026916504
2015-09-29,23.389692306518555
2015-09-30,23.742738723754883
2015-10-01,24.21347427368164
2015-10-02,24.272315979003906
2015-10-05,25.06668472290039
2015-10-06,25.135337829589844
2015-10-07,25.6943302154541
2015-10-08,26.263139724731445
2015-10-09,25.99835205078125
2015-10-12,25.772785186767578
2015-10-13,25.380508422851562
2015-10-14,25.10591697692871
2015-10-15,25.704137802124023
2015-10-16,18.378313064575195
2015-10-19,18.937307357788086
2015-10-20,19.457082748413086
2015-10-21,19.172679901123047
2015-10-22,18.947118759155273
