Date,KDP
2015-07-01,74.56999969482422
2015-07-02,74.18000030517578
2015-07-06,75.1500015258789
2015-07-07,77.33999633789062
2015-07-08,76.12999725341797
2015-07-09,76.33999633789062
2015-07-10,77.18000030517578
2015-07-13,78.30999755859375
2015-07-14,78.56999969482422
2015-07-15,78.31999969482422
2015-07-16,78.76000213623047
2015-07-17,78.66999816894531
2015-07-20,79.1500015258789
2015-07-21,78.77999877929688
2015-07-22,78.72000122070312
2015-07-23,77.26000213623047
2015-07-24,77.91999816894531
2015-07-27,77.63999938964844
2015-07-28,78.9800033569336
2015-07-29,79.5
2015-07-30,79.81999969482422
2015-07-31,80.22000122070312
2015-08-03,80.61000061035156
2015-08-04,81.52999877929688
2015-08-05,83.23999786376953
2015-08-06,82.29000091552734
2015-08-07,81.87000274658203
2015-08-10,81.7699966430664
2015-08-11,81.66000366210938
2015-08-12,81.61000061035156
2015-08-13,82.12000274658203
2015-08-14,82.25
2015-08-17,83.0
2015-08-18,82.77999877929688
2015-08-19,82.58999633789062
2015-08-20,81.41999816894531
2015-08-21,79.0
2015-08-24,76.75
2015-08-25,75.0199966430664
2015-08-26,76.62000274658203
2015-08-27,77.05999755859375
2015-08-28,77.11000061035156
2015-08-31,76.7300033569336
2015-09-01,75.41000366210938
2015-09-02,76.61000061035156
2015-09-03,76.94999694824219
2015-09-04,75.7699966430664
2015-09-08,77.66999816894531
2015-09-09,76.0199966430664
2015-09-10,75.94999694824219
2015-09-11,76.44999694824219
2015-09-14,76.19999694824219
2015-09-15,76.80000305175781
2015-09-16,77.26000213623047
2015-09-17,77.80999755859375
2015-09-18,77.2300033569336
2015-09-21,78.05999755859375
2015-09-22,77.26000213623047
2015-09-23,77.62999725341797
2015-09-24,77.81999969482422
2015-09-25,78.20999908447266
2015-09-28,77.19000244140625
2015-09-29,78.23999786376953
2015-09-30,79.05000305175781
2015-10-01,79.22000122070312
2015-10-02,79.56999969482422
2015-10-05,82.56999969482422
2015-10-06,81.95999908447266
2015-10-07,83.11000061035156
2015-10-08,83.5999984741211
2015-10-09,83.69999694824219
2015-10-12,84.02999877929688
2015-10-13,83.5999984741211
2015-10-14,82.80000305175781
2015-10-15,82.9800033569336
2015-10-16,84.12999725341797
2015-10-19,84.9000015258789
2015-10-20,84.7300033569336
2015-10-21,84.81999969482422
2015-10-22,89.5999984741211
2015-10-23,89.88999938964844
2015-10-26,89.87999725341797
2015-10-27,90.48999786376953
2015-10-28,90.93000030517578
2015-10-29,90.08000183105469
2015-10-30,89.37000274658203
2015-11-02,89.13999938964844
2015-11-03,88.2300033569336
2015-11-04,88.18000030517578
2015-11-05,87.69999694824219
2015-11-06,86.26000213623047
2015-11-09,85.9000015258789
2015-11-10,87.13999938964844
2015-11-11,88.4800033569336
2015-11-12,86.81999969482422
2015-11-13,86.86000061035156
2015-11-16,88.0199966430664
2015-11-17,87.16000366210938
2015-11-18,88.7699966430664
2015-11-19,89.31999969482422
2015-11-20,87.87999725341797
2015-11-23,89.13999938964844
2015-11-24,89.44000244140625
2015-11-25,89.79000091552734
2015-11-27,90.56999969482422
2015-11-30,89.75
2015-12-01,91.63999938964844
2015-12-02,90.8499984741211
