Date,CFG
2015-07-01,18.542613983154297
2015-07-02,18.34663963317871
2015-07-06,18.252037048339844
2015-07-07,18.069589614868164
2015-07-08,18.002012252807617
2015-07-09,18.231767654418945
2015-07-10,18.448009490966797
2015-07-13,18.414222717285156
2015-07-14,18.616941452026367
2015-07-15,18.785884857177734
2015-07-16,18.995372772216797
2015-07-17,18.860218048095703
2015-07-20,18.89400291442871
2015-07-21,18.056062698364258
2015-07-22,18.272314071655273
2015-07-23,17.873620986938477
2015-07-24,17.670894622802734
2015-07-27,17.52898597717285
2015-07-28,17.684406280517578
2015-07-29,17.569530487060547
2015-07-30,17.969762802124023
2015-07-31,17.684850692749023
2015-08-03,17.657716751098633
2015-08-04,17.82052230834961
2015-08-05,18.085081100463867
2015-08-06,18.078298568725586
2015-08-07,18.112220764160156
2015-08-10,18.444623947143555
2015-08-11,18.207189559936523
2015-08-12,17.657716751098633
2015-08-13,17.773042678833008
2015-08-14,17.895139694213867
2015-08-17,17.827306747436523
2015-08-18,18.01724624633789
2015-08-19,17.813737869262695
2015-08-20,17.182859420776367
2015-08-21,16.667308807373047
2015-08-24,15.622636795043945
2015-08-25,15.67011833190918
2015-08-26,16.409526824951172
2015-08-27,16.606252670288086
2015-08-28,16.74871253967285
2015-08-31,16.836902618408203
2015-09-01,16.070356369018555
2015-09-02,16.368833541870117
2015-09-03,16.619821548461914
2015-09-04,16.341699600219727
2015-09-08,16.7080135345459
2015-09-09,16.551984786987305
2015-09-10,16.579120635986328
2015-09-11,16.49772071838379
2015-09-14,16.55877113342285
2015-09-15,16.979354858398438
2015-09-16,16.877599716186523
2015-09-17,16.30777931213379
2015-09-18,16.11105728149414
2015-09-21,16.212806701660156
2015-09-22,16.009294509887695
2015-09-23,15.832926750183105
2015-09-24,15.765087127685547
2015-09-25,16.016084671020508
2015-09-28,15.351290702819824
2015-09-29,15.751518249511719
2015-09-30,16.18567657470703
2015-10-01,15.941463470458984
2015-10-02,15.880414009094238
2015-10-05,16.090702056884766
2015-10-06,15.846492767333984
2015-10-07,15.900771141052246
2015-10-08,15.955029487609863
2015-10-09,15.914327621459961
2015-10-12,15.98216724395752
2015-10-13,15.914327621459961
2015-10-14,15.541230201721191
2015-10-15,15.955029487609863
2015-10-16,15.751518249511719
2015-10-19,15.758307456970215
2015-10-20,15.866842269897461
2015-10-21,15.717601776123047
2015-10-22,15.514101028442383
2015-10-23,16.429880142211914
2015-10-26,16.009294509887695
2015-10-27,15.961822509765625
2015-10-28,16.402746200561523
2015-10-29,16.355266571044922
2015-10-30,16.48415184020996
2015-11-02,16.585908889770508
2015-11-03,16.633583068847656
2015-11-04,16.708513259887695
2015-11-05,16.762998580932617
2015-11-06,17.525888442993164
2015-11-09,17.621252059936523
2015-11-10,17.709793090820312
2015-11-11,17.771099090576172
2015-11-12,17.376039505004883
2015-11-13,17.38966178894043
2015-11-16,17.491830825805664
2015-11-17,17.43734359741211
2015-11-18,17.846025466918945
2015-11-19,17.79153823852539
2015-11-20,17.723417282104492
2015-11-23,17.532699584960938
2015-11-24,17.798343658447266
2015-11-25,17.886899948120117
2015-11-27,17.975448608398438
2015-11-30,18.138916015625
2015-12-01,18.05036735534668
2015-12-02,18.145734786987305
2015-12-03,18.029937744140625
2015-12-04,18.472681045532227
2015-12-07,18.05718231201172
2015-12-08,17.98906707763672
2015-12-09,17.777910232543945
2015-12-10,17.914142608642578
2015-12-11,17.444156646728516
2015-12-14,17.519073486328125
2015-12-15,18.077617645263672
2015-12-16,18.329641342163086
2015-12-17,18.0367431640625
2015-12-18,17.64168357849121
2015-12-21,17.73023223876953
2015-12-22,17.880084991455078
2015-12-23,18.063989639282227
2015-12-24,18.11848258972168
2015-12-28,17.98906707763672
2015-12-29,18.132110595703125
2015-12-30,17.914142608642578
2015-12-31,17.839218139648438
2016-01-04,17.573562622070312
2016-01-05,17.491830825805664
2016-01-06,17.21936798095703
2016-01-07,16.74938201904297
2016-01-08,16.224897384643555
2016-01-11,16.27939224243164
2016-01-12,16.27939224243164
2016-01-13,15.816207885742188
2016-01-14,15.598246574401855
2016-01-15,15.203178405761719
2016-01-19,15.141870498657227
2016-01-20,14.712757110595703
2016-01-21,14.528844833374023
2016-01-22,14.154214859008789
2016-01-25,13.479878425598145
2016-01-26,13.820449829101562
2016-01-27,14.447110176086426
2016-01-28,14.808116912841797
2016-01-29,14.47435474395752
2016-02-01,14.154214859008789
2016-02-02,13.832526206970215
2016-02-03,13.723021507263184
2016-02-04,13.846214294433594
2016-02-05,13.586130142211914
2016-02-08,13.141243934631348
2016-02-09,13.380796432495117
2016-02-10,12.90853214263916
2016-02-11,12.415738105773926
2016-02-12,12.929065704345703
2016-02-16,13.250754356384277
2016-02-17,13.449241638183594
2016-02-18,13.079646110534668
2016-02-19,13.168621063232422
2016-02-22,13.551907539367676
2016-02-23,13.25760269165039
2016-02-24,13.004351615905762
2016-02-25,13.127557754516602
2016-02-26,13.510844230651855
2016-02-29,13.16177749633789
2016-03-01,13.873597145080566
2016-03-02,14.345855712890625
2016-03-03,14.674382209777832
2016-03-04,15.009761810302734
2016-03-07,14.73598861694336
2016-03-08,14.31847858428955
2016-03-09,14.167903900146484
2016-03-10,14.380081176757812
2016-03-11,14.996073722839355
2016-03-14,15.119272232055664
2016-03-15,15.187719345092773
2016-03-16,14.790746688842773
2016-03-17,14.87287425994873
2016-03-18,15.11242961883545
2016-03-21,15.05767822265625
2016-03-22,15.009761810302734
2016-03-23,14.845504760742188
2016-03-24,14.777056694030762
