Date,TSN
2015-07-01,33.27021026611328
2015-07-02,33.246971130371094
2015-07-06,32.96816635131836
2015-07-07,33.378631591796875
2015-07-08,33.00688934326172
2015-07-09,33.045616149902344
2015-07-10,33.28569793701172
2015-07-13,33.85877227783203
2015-07-14,34.09885787963867
2015-07-15,33.641937255859375
2015-07-16,33.64967727661133
2015-07-17,33.25471496582031
2015-07-20,33.15403747558594
2015-07-21,32.944942474365234
2015-07-22,33.40183639526367
2015-07-23,33.40183639526367
2015-07-24,33.21597671508789
2015-07-27,33.045616149902344
2015-07-28,33.59546661376953
2015-07-29,33.93621826171875
2015-07-30,34.36990737915039
2015-07-31,34.34668731689453
2015-08-03,30.946874618530273
2015-08-04,32.20147705078125
2015-08-05,32.06206130981445
2015-08-06,32.58095169067383
2015-08-07,32.41057205200195
2015-08-10,33.18500900268555
2015-08-11,32.48801040649414
2015-08-12,32.74357604980469
2015-08-13,32.75906753540039
2015-08-14,32.91394805908203
2015-08-17,33.18500900268555
2015-08-18,33.20050048828125
2015-08-19,33.44057846069336
2015-08-20,33.64967727661133
2015-08-21,32.27116394042969
2015-08-24,31.10950469970703
2015-08-25,30.78423500061035
2015-08-26,31.605140686035156
2015-08-27,32.79004669189453
2015-08-28,33.08502960205078
2015-08-31,32.82109451293945
2015-09-01,32.137969970703125
2015-09-02,32.60373306274414
2015-09-03,33.139373779296875
2015-09-04,32.704654693603516
2015-09-08,33.20146942138672
2015-09-09,32.99186325073242
2015-09-10,33.26357650756836
2015-09-11,33.667236328125
2015-09-14,33.61290740966797
2015-09-15,33.94670104980469
2015-09-16,33.861305236816406
2015-09-17,33.90788269042969
2015-09-18,33.294620513916016
2015-09-21,33.1160888671875
2015-09-22,32.52610778808594
2015-09-23,32.720184326171875
2015-09-24,33.36449432373047
2015-09-25,33.64395523071289
2015-09-28,32.471771240234375
2015-09-29,32.464012145996094
2015-09-30,33.457645416259766
2015-10-01,33.900123596191406
2015-10-02,34.45903015136719
2015-10-05,34.862709045410156
