Date,INFO
2017-01-02,35.92
2017-01-03,35.92
2017-01-04,36.2
2017-01-05,36.29
2017-01-06,36.66
2017-01-08,36.57
2017-01-09,36.57
2017-01-10,36.61
2017-01-11,36.77
2017-01-12,36.8
2017-01-13,37.029999
2017-01-16,38.33
2017-01-17,38.33
2017-01-18,38.6
2017-01-19,38.79
2017-01-20,38.79
2017-01-22,38.75
2017-01-23,38.75
2017-01-24,39.0
2017-01-25,39.79
2017-01-26,39.46
2017-01-27,39.46
2017-01-29,39.64
2017-01-30,39.45
2017-01-31,39.45
2017-02-01,39.45
2017-02-02,39.44
2017-02-03,39.7
2017-02-05,39.53
2017-02-06,39.53
2017-02-07,39.71
2017-02-08,39.74
2017-02-09,39.74
2017-02-10,39.67
2017-02-12,39.93
2017-02-13,39.93
2017-02-14,39.97
2017-02-15,40.4
2017-02-16,40.2
2017-02-17,40.2
2017-02-20,40.51
2017-02-21,40.51
2017-02-22,40.26
2017-02-23,40.34
2017-02-24,40.080002
2017-02-26,40.099998
2017-02-27,40.099998
2017-02-28,39.8
2017-03-01,40.62
2017-03-02,40.62
2017-03-03,40.77
2017-03-05,40.67
2017-03-06,40.67
2017-03-07,40.56
2017-03-08,40.6
2017-03-09,40.12
2017-03-10,40.12
2017-03-12,40.62
2017-03-13,40.48
2017-03-14,40.77
2017-03-15,40.82
2017-03-16,40.35
2017-03-17,40.35
2017-03-19,40.6
2017-03-20,40.43
2017-03-21,40.16
2017-03-22,40.18
2017-03-23,40.33
2017-03-24,40.33
2017-03-26,40.12
2017-03-27,41.41
2017-03-28,41.52
2017-03-29,41.63
2017-03-30,41.95
2017-03-31,41.95
2017-04-02,41.78
2017-04-03,42.0
2017-04-04,41.92
2017-04-05,42.2
2017-04-06,42.18
2017-04-07,42.18
2017-04-09,42.21
2017-04-10,42.44
2017-04-11,42.44
2017-04-12,42.21
2017-04-13,42.21
2017-04-16,42.63
2017-04-17,42.78
2017-04-18,42.91
2017-04-19,43.4
2017-04-20,43.25
2017-04-21,43.25
2017-04-23,43.81
2017-04-24,43.76
2017-04-25,43.65
2017-04-26,43.71
2017-04-27,43.4
2017-04-28,43.4
2017-04-30,43.66
2017-05-01,43.71
2017-05-02,43.58
2017-05-03,43.85
2017-05-04,43.73
2017-05-05,43.73
2017-05-07,43.99
2017-05-08,43.5
2017-05-09,43.44
2017-05-10,43.44
2017-05-11,43.2
2017-05-12,43.2
2017-05-14,43.73
2017-05-15,43.86
2017-05-16,43.24
2017-05-17,44.11
2017-05-18,44.3
2017-05-19,44.3
2017-05-21,44.7
2017-05-22,44.68
2017-05-23,44.83
2017-05-24,45.9
2017-05-25,46.26
2017-05-26,46.26
2017-05-29,46.28
2017-05-30,45.85
2017-05-31,46.61
2017-06-01,47.060001
2017-06-02,47.060001
2017-06-04,46.8
2017-06-05,46.63
2017-06-06,46.62
2017-06-07,46.48
2017-06-08,46.32
2017-06-09,46.32
2017-06-11,46.31
2017-06-12,46.6
2017-06-13,47.19
2017-06-14,47.32
2017-06-15,47.53
2017-06-16,47.53
2017-06-18,47.86
2017-06-19,46.94
2017-06-20,46.77
2017-06-21,46.68
2017-06-22,46.55
2017-06-23,46.55
2017-06-25,46.4
2017-06-26,45.37
2017-06-27,45.049999
2017-06-28,44.19
2017-06-29,44.040001
2017-06-30,44.040001
2017-07-02,44.17
2017-07-03,44.17
2017-07-04,44.34
2017-07-05,43.93
2017-07-06,44.27
2017-07-07,44.27
2017-07-09,43.72
2017-07-10,43.79
2017-07-11,44.48
2017-07-12,44.5
2017-07-13,44.76
2017-07-14,44.76
2017-07-16,45.26
2017-07-17,45.39
2017-07-18,45.39
2017-07-19,45.29
2017-07-20,45.65
2017-07-21,45.65
2017-07-23,45.7
2017-07-24,45.58
2017-07-25,45.93
2017-07-26,46.07
2017-07-27,46.53
2017-07-28,46.53
2017-07-30,46.65
2017-07-31,47.18
2017-08-01,46.99
2017-08-02,46.66
2017-08-03,46.39
2017-08-04,46.39
2017-08-06,45.98
2017-08-07,45.34
2017-08-08,45.36
2017-08-09,45.16
2017-08-10,45.65
2017-08-11,45.65
2017-08-13,45.98
2017-08-14,46.39
2017-08-15,46.99
2017-08-16,46.22
2017-08-17,45.75
2017-08-18,45.75
2017-08-20,45.87
2017-08-21,46.4
2017-08-22,46.39
2017-08-23,46.56
2017-08-24,46.52
2017-08-25,46.52
2017-08-27,46.62
2017-08-28,46.4
2017-08-29,46.52
2017-08-30,46.84
2017-08-31,46.77
2017-09-01,46.77
2017-09-04,47.25
2017-09-05,47.35
2017-09-06,47.24
2017-09-07,47.53
2017-09-08,47.53
2017-09-10,47.95
2017-09-11,48.3
2017-09-12,47.34
2017-09-13,47.15
2017-09-14,47.4
2017-09-15,47.4
2017-09-17,47.53
2017-09-18,47.45
2017-09-19,47.92
2017-09-20,48.17
2017-09-21,48.43
2017-09-22,48.43
2017-09-24,48.29
2017-09-25,44.12
2017-09-26,43.96
2017-09-27,44.13
2017-09-28,44.080002
2017-09-29,44.080002
2017-10-01,44.080002
2017-10-02,44.0099983
2017-10-03,44.33
2017-10-04,44.09
