Date,DHR
2015-07-01,58.03074645996094
2015-07-02,58.33992004394531
2015-07-06,57.71485137939453
2015-07-07,58.521392822265625
2015-07-08,57.62747573852539
2015-07-09,57.62747573852539
2015-07-10,58.23910140991211
2015-07-13,59.146461486816406
2015-07-14,59.79169845581055
2015-07-15,59.368263244628906
2015-07-16,59.616947174072266
2015-07-17,59.63038635253906
2015-07-20,59.536293029785156
2015-07-21,59.00531768798828
2015-07-22,59.052364349365234
2015-07-23,59.85218811035156
2015-07-24,58.99859619140625
2015-07-27,58.62221145629883
2015-07-28,59.41530990600586
2015-07-29,61.10232925415039
2015-07-30,61.740840911865234
2015-07-31,61.539207458496094
2015-08-03,61.384620666503906
2015-08-04,61.67362976074219
2015-08-05,62.00968933105469
2015-08-06,61.54592514038086
2015-08-07,61.203147888183594
2015-08-10,61.80133056640625
2015-08-11,61.203147888183594
2015-08-12,60.68561553955078
2015-08-13,60.77971267700195
2015-08-14,61.10905075073242
2015-08-17,61.59969711303711
2015-08-18,61.50559997558594
2015-08-19,60.91413497924805
2015-08-20,59.65727233886719
2015-08-21,58.440738677978516
2015-08-24,56.49159240722656
2015-08-25,55.94045639038086
2015-08-26,58.25254440307617
2015-08-27,59.45563888549805
2015-08-28,59.186790466308594
2015-08-31,58.48778533935547
2015-09-01,56.98896026611328
2015-09-02,57.99041748046875
2015-09-03,58.3936882019043
2015-09-04,57.52665710449219
2015-09-08,58.83056640625
2015-09-09,58.07779312133789
2015-09-10,57.83583068847656
2015-09-11,58.36680603027344
2015-09-14,58.31975555419922
2015-09-15,59.41530990600586
2015-09-16,60.00005340576172
2015-09-17,59.23383712768555
2015-09-18,57.9433708190918
2015-09-21,58.08451461791992
2015-09-22,57.513214111328125
2015-09-23,57.58042526245117
2015-09-24,57.14354705810547
2015-09-25,57.32501983642578
2015-09-28,55.382598876953125
2015-09-29,55.9270133972168
2015-09-30,57.2712516784668
2015-10-01,57.351905822753906
2015-10-02,58.24582290649414
2015-10-05,59.1666259765625
2015-10-06,58.628929138183594
2015-10-07,59.442195892333984
2015-10-08,59.74464797973633
2015-10-09,59.48924255371094
2015-10-12,60.141197204589844
2015-10-13,59.946285247802734
2015-10-14,59.307769775390625
2015-10-15,59.858909606933594
2015-10-16,59.778255462646484
2015-10-19,59.91939926147461
2015-10-20,60.10759353637695
2015-10-21,59.899234771728516
2015-10-22,63.165733337402344
2015-10-23,62.386077880859375
2015-10-26,62.0903434753418
2015-10-27,61.60641860961914
2015-10-28,62.23820877075195
2015-10-29,62.53394317626953
2015-10-30,62.71541213989258
2015-11-02,64.20751953125
2015-11-03,64.32177734375
2015-11-04,64.39571380615234
2015-11-05,64.28144836425781
2015-11-06,64.4091567993164
2015-11-09,64.11341857910156
2015-11-10,63.91850662231445
2015-11-11,63.931949615478516
2015-11-12,63.23966598510742
2015-11-13,62.87000274658203
2015-11-16,63.95211410522461
2015-11-17,64.08654022216797
2015-11-18,65.2156982421875
2015-11-19,65.16192626953125
2015-11-20,65.43077087402344
2015-11-23,65.33667755126953
2015-11-24,64.86619567871094
2015-11-25,65.0812759399414
2015-11-27,65.09471130371094
2015-11-30,64.78553771972656
2015-12-01,64.96028900146484
2015-12-02,64.50997161865234
2015-12-03,63.54884338378906
2015-12-04,64.879638671875
2015-12-07,64.72505187988281
2015-12-08,64.36882781982422
2015-12-09,63.49507141113281
2015-12-10,63.61605453491211
2015-12-11,62.52050018310547
2015-12-14,62.755741119384766
2015-12-15,62.211326599121094
2015-12-16,63.26655197143555
2015-12-17,61.76100540161133
2015-12-18,61.317405700683594
2015-12-21,62.157554626464844
2015-12-22,62.332305908203125
2015-12-23,62.99098205566406
2015-12-24,62.77590560913086
2015-12-28,62.78262710571289
2015-12-29,63.293434143066406
2015-12-30,62.7422981262207
2015-12-31,62.4264030456543
2016-01-04,61.6198616027832
2016-01-05,61.7341194152832
2016-01-06,61.01495361328125
2016-01-07,59.448917388916016
2016-01-08,59.482521057128906
2016-01-11,59.448917388916016
2016-01-12,59.51612854003906
2016-01-13,58.15172576904297
2016-01-14,58.682701110839844
2016-01-15,57.257808685302734
2016-01-19,57.54010009765625
2016-01-20,57.13010787963867
2016-01-21,56.74699783325195
2016-01-22,57.36534881591797
2016-01-25,56.7133903503418
2016-01-26,56.9150276184082
2016-01-27,56.62601852416992
2016-01-28,56.77388381958008
2016-01-29,58.23910140991211
2016-02-01,57.77534103393555
2016-02-02,56.70667266845703
2016-02-03,57.15699005126953
2016-02-04,58.104679107666016
2016-02-05,57.15699005126953
2016-02-08,56.552085876464844
2016-02-09,57.257808685302734
2016-02-10,57.2712516784668
2016-02-11,56.18241882324219
2016-02-12,57.07633590698242
2016-02-16,58.131561279296875
2016-02-17,58.521392822265625
2016-02-18,58.25254440307617
2016-02-19,58.23910140991211
2016-02-22,58.978431701660156
2016-02-23,58.689422607421875
2016-02-24,58.608768463134766
2016-02-25,59.32121276855469
2016-02-26,59.865631103515625
2016-02-29,60.00005340576172
2016-03-01,60.89397048950195
2016-03-02,60.820037841796875
2016-03-03,61.04855728149414
2016-03-04,60.96790313720703
2016-03-07,60.652008056640625
2016-03-08,59.784976959228516
2016-03-09,59.46236038208008
2016-03-10,59.9597282409668
2016-03-11,60.900691986083984
2016-03-14,61.485435485839844
2016-03-15,61.64002227783203
2016-03-16,61.35773468017578
2016-03-17,62.87672424316406
2016-03-18,64.04621124267578
2016-03-21,63.757198333740234
2016-03-22,63.80424880981445
2016-03-23,63.74375534057617
2016-03-24,63.70343017578125
2016-03-28,63.837852478027344
2016-03-29,64.02604675292969
2016-03-30,63.8714599609375
2016-03-31,63.757198333740234
2016-04-01,64.27472686767578
2016-04-04,63.011146545410156
2016-04-05,62.68852996826172
2016-04-06,63.07163619995117
2016-04-07,62.69525146484375
2016-04-08,62.634761810302734
2016-04-11,62.2919807434082
2016-04-12,62.829673767089844
2016-04-13,63.347206115722656
2016-04-14,63.21278381347656
