Date,SLB
2015-07-01,62.23662185668945
2015-07-02,62.02253723144531
2015-07-06,61.63862228393555
2015-07-07,62.16278076171875
2015-07-08,61.217777252197266
2015-07-09,61.682918548583984
2015-07-10,61.985599517822266
2015-07-13,62.229225158691406
2015-07-14,62.96751022338867
2015-07-15,61.74195861816406
2015-07-16,61.933921813964844
2015-07-17,61.80105209350586
2015-07-20,61.66075897216797
2015-07-21,62.23662185668945
2015-07-22,62.945369720458984
2015-07-23,63.506439208984375
2015-07-24,61.2030143737793
2015-07-27,60.36140060424805
2015-07-28,60.907718658447266
2015-07-29,61.933921813964844
2015-07-30,61.66075897216797
2015-07-31,61.143951416015625
2015-08-03,60.59763717651367
2015-08-04,60.73792266845703
2015-08-05,60.907718658447266
2015-08-06,61.71244430541992
2015-08-07,60.723140716552734
2015-08-10,62.339988708496094
2015-08-11,62.280921936035156
2015-08-12,62.62791442871094
2015-08-13,62.081539154052734
2015-08-14,61.91175842285156
2015-08-17,61.645992279052734
2015-08-18,61.387603759765625
2015-08-19,59.556671142578125
2015-08-20,58.64859390258789
2015-08-21,57.21635818481445
2015-08-24,54.536399841308594
2015-08-25,53.53973388671875
2015-08-26,51.745723724365234
2015-08-27,54.521636962890625
2015-08-28,56.15323257446289
2015-08-31,57.49834442138672
2015-09-01,56.04918670654297
2015-09-02,56.04174041748047
2015-09-03,56.673458099365234
2015-09-04,55.73704147338867
2015-09-08,56.138362884521484
2015-09-09,55.29116439819336
2015-09-10,55.04590606689453
2015-09-11,54.77093505859375
2015-09-14,54.13182067871094
2015-09-15,54.6891975402832
2015-09-16,56.59911346435547
2015-09-17,55.95999526977539
2015-09-18,53.90888214111328
2015-09-21,54.154144287109375
2015-09-22,53.9311637878418
2015-09-23,53.462989807128906
2015-09-24,54.02036666870117
2015-09-25,54.176422119140625
2015-09-28,51.55305480957031
2015-09-29,51.352413177490234
2015-09-30,51.25578689575195
2015-10-01,50.27482604980469
2015-10-02,52.25905227661133
2015-10-05,53.574432373046875
2015-10-06,54.94930648803711
2015-10-07,55.997154235839844
2015-10-08,56.95584487915039
2015-10-09,56.747764587402344
2015-10-12,55.69247055053711
2015-10-13,55.46951675415039
2015-10-14,55.74447250366211
2015-10-15,56.59911346435547
2015-10-16,55.37290573120117
2015-10-19,55.097938537597656
2015-10-20,56.14580535888672
2015-10-21,56.205238342285156
2015-10-22,58.1597785949707
2015-10-23,58.22663497924805
2015-10-26,57.3348503112793
2015-10-27,57.18621826171875
2015-10-28,58.806312561035156
2015-10-29,58.47930908203125
2015-10-30,58.08544921875
2015-11-02,59.02924728393555
2015-11-03,60.58246612548828
2015-11-04,59.68324279785156
2015-11-05,58.56107711791992
2015-11-06,58.7542839050293
2015-11-09,57.89966583251953
2015-11-10,58.53876495361328
2015-11-11,57.69155502319336
2015-11-12,56.92609786987305
2015-11-13,56.58425521850586
2015-11-16,58.21177673339844
2015-11-17,57.03014373779297
2015-11-18,58.37527084350586
2015-11-19,57.907073974609375
2015-11-20,57.3348503112793
2015-11-23,57.38686752319336
2015-11-24,58.100303649902344
2015-11-25,57.61723327636719
2015-11-27,57.468624114990234
2015-11-30,57.70797348022461
2015-12-01,58.4709358215332
2015-12-02,56.70565414428711
2015-12-03,55.957664489746094
2015-12-04,55.882869720458984
2015-12-07,54.45418167114258
2015-12-08,53.481788635253906
2015-12-09,53.94554901123047
2015-12-10,53.46683120727539
2015-12-11,52.22516632080078
2015-12-14,52.374759674072266
2015-12-15,53.73609924316406
2015-12-16,53.272361755371094
2015-12-17,51.761409759521484
2015-12-18,50.370121002197266
2015-12-21,50.8264045715332
2015-12-22,51.978309631347656
2015-12-23,53.11528778076172
2015-12-24,52.756229400634766
2015-12-28,52.673954010009766
2015-12-29,52.74127960205078
2015-12-30,52.09053421020508
2015-12-31,52.17280197143555
2016-01-04,51.74645233154297
2016-01-05,51.98579788208008
2016-01-06,50.63938903808594
2016-01-07,49.50993728637695
2016-01-08,48.679649353027344
2016-01-11,48.49265670776367
2016-01-12,48.42533874511719
2016-01-13,47.83442306518555
2016-01-14,48.38045120239258
