Date,NDAQ
2015-07-01,16.23666763305664
2015-07-02,16.376667022705078
2015-07-06,16.253332138061523
2015-07-07,16.280000686645508
2015-07-08,15.953332901000977
2015-07-09,16.406667709350586
2015-07-10,16.82666778564453
2015-07-13,16.893333435058594
2015-07-14,17.053333282470703
2015-07-15,17.07666778564453
2015-07-16,17.290000915527344
2015-07-17,17.280000686645508
2015-07-20,17.25
2015-07-21,17.06999969482422
2015-07-22,17.24333381652832
2015-07-23,17.176666259765625
2015-07-24,17.296667098999023
2015-07-27,17.05666732788086
2015-07-28,16.8799991607666
2015-07-29,16.996667861938477
2015-07-30,16.996667861938477
2015-07-31,17.010000228881836
2015-08-03,16.996667861938477
2015-08-04,17.126667022705078
2015-08-05,17.489999771118164
2015-08-06,17.593332290649414
2015-08-07,17.643333435058594
2015-08-10,17.850000381469727
2015-08-11,17.770000457763672
2015-08-12,17.68000030517578
2015-08-13,17.876667022705078
2015-08-14,18.086666107177734
2015-08-17,18.05666732788086
2015-08-18,18.10333251953125
2015-08-19,18.010000228881836
2015-08-20,17.68666648864746
2015-08-21,17.183332443237305
2015-08-24,16.546667098999023
2015-08-25,16.280000686645508
2015-08-26,16.56333351135254
2015-08-27,17.100000381469727
2015-08-28,17.163333892822266
2015-08-31,17.06333351135254
2015-09-01,16.67333221435547
2015-09-02,16.926666259765625
2015-09-03,17.049999237060547
2015-09-04,16.766666412353516
2015-09-08,17.31999969482422
2015-09-09,16.983333587646484
2015-09-10,17.110000610351562
2015-09-11,17.25
2015-09-14,17.123332977294922
2015-09-15,17.24333381652832
2015-09-16,17.280000686645508
2015-09-17,16.983333587646484
2015-09-18,16.823333740234375
2015-09-21,17.05666732788086
2015-09-22,17.01333236694336
2015-09-23,17.32666778564453
2015-09-24,17.31333351135254
2015-09-25,17.82666778564453
2015-09-28,17.34000015258789
2015-09-29,17.270000457763672
2015-09-30,17.77666664123535
2015-10-01,17.540000915527344
2015-10-02,17.543333053588867
2015-10-05,17.883333206176758
2015-10-06,17.793333053588867
2015-10-07,17.753332138061523
2015-10-08,17.926666259765625
2015-10-09,17.696666717529297
2015-10-12,18.043333053588867
2015-10-13,17.8700008392334
2015-10-14,17.889999389648438
2015-10-15,18.303333282470703
2015-10-16,18.323333740234375
2015-10-19,18.479999542236328
2015-10-20,18.610000610351562
2015-10-21,18.420000076293945
2015-10-22,19.700000762939453
2015-10-23,19.573333740234375
2015-10-26,19.46666717529297
2015-10-27,19.649999618530273
2015-10-28,19.760000228881836
2015-10-29,19.739999771118164
2015-10-30,19.296667098999023
2015-11-02,19.889999389648438
2015-11-03,19.766666412353516
2015-11-04,19.386667251586914
2015-11-05,19.540000915527344
2015-11-06,19.413333892822266
2015-11-09,19.226667404174805
2015-11-10,19.523332595825195
2015-11-11,19.496667861938477
2015-11-12,19.23666763305664
2015-11-13,18.863332748413086
2015-11-16,19.079999923706055
2015-11-17,19.18666648864746
2015-11-18,19.56333351135254
2015-11-19,19.786666870117188
2015-11-20,19.989999771118164
2015-11-23,19.74333381652832
2015-11-24,19.496667861938477
2015-11-25,19.483333587646484
2015-11-27,19.623332977294922
2015-11-30,19.540000915527344
2015-12-01,19.573333740234375
2015-12-02,19.503332138061523
2015-12-03,18.99333381652832
2015-12-04,19.64666748046875
2015-12-07,19.426666259765625
2015-12-08,19.30666732788086
2015-12-09,18.81999969482422
2015-12-10,18.65333366394043
2015-12-11,18.286666870117188
2015-12-14,18.69333267211914
2015-12-15,18.92333221435547
2015-12-16,18.963333129882812
2015-12-17,18.69333267211914
2015-12-18,18.643333435058594
2015-12-21,18.823333740234375
2015-12-22,19.336666107177734
2015-12-23,19.32666778564453
2015-12-24,19.329999923706055
2015-12-28,19.703332901000977
2015-12-29,19.793333053588867
2015-12-30,19.67333221435547
2015-12-31,19.389999389648438
2016-01-04,18.84666633605957
