Date,LDOS
2015-07-01,24.858484268188477
2015-07-02,24.608800888061523
2015-07-06,24.553993225097656
2015-07-07,24.596637725830078
2015-07-08,24.109445571899414
2015-07-09,24.091176986694336
2015-07-10,24.450469970703125
2015-07-13,24.64690399169922
2015-07-14,24.732851028442383
2015-07-15,24.75740623474121
2015-07-16,24.84334373474121
2015-07-17,24.70829200744629
2015-07-20,24.665321350097656
2015-07-21,24.714431762695312
2015-07-22,24.5732364654541
2015-07-23,24.505720138549805
2015-07-24,23.744518280029297
2015-07-27,23.357772827148438
2015-07-28,23.627883911132812
2015-07-29,24.80037498474121
2015-07-30,24.85562515258789
2015-07-31,25.04591941833496
2015-08-03,25.168699264526367
2015-08-04,24.831069946289062
2015-08-05,27.01645278930664
2015-08-06,26.537628173828125
2015-08-07,27.286548614501953
2015-08-10,27.4891357421875
2015-08-11,27.403188705444336
2015-08-12,27.32952308654785
2015-08-13,27.21902847290039
2015-08-14,27.452293395996094
2015-08-17,27.64259910583496
2015-08-18,27.624164581298828
2015-08-19,27.54438018798828
2015-08-20,27.004169464111328
2015-08-21,26.37802505493164
2015-08-24,25.05206298828125
2015-08-25,24.51186180114746
2015-08-26,25.389686584472656
2015-08-27,25.819398880004883
2015-08-28,26.052671432495117
2015-08-31,25.831684112548828
2015-09-01,24.775819778442383
2015-09-02,25.358999252319336
2015-09-03,25.395832061767578
2015-09-04,25.00295639038086
2015-09-08,26.046537399291992
2015-09-09,25.77642822265625
2015-09-10,25.96673011779785
2015-09-11,26.15703582763672
2015-09-14,25.800983428955078
2015-09-15,26.034259796142578
2015-09-16,26.531496047973633
2015-09-17,26.617435455322266
2015-09-18,26.73406982421875
2015-09-21,26.875267028808594
2015-09-22,26.236827850341797
2015-09-23,26.22455406188965
2015-09-24,25.64751625061035
2015-09-25,25.899202346801758
2015-09-28,25.273056030273438
2015-09-29,25.279191970825195
2015-09-30,25.358999252319336
2015-10-01,25.426523208618164
2015-10-02,25.862375259399414
2015-10-05,26.65426254272461
2015-10-06,26.85683822631836
2015-10-07,27.50140953063965
2015-10-08,27.89427947998047
2015-10-09,28.078445434570312
2015-10-12,27.99864387512207
2015-10-13,27.776094436645508
