Date,M
2015-07-01,42.509910583496094
2015-07-02,42.34040069580078
2015-07-06,42.37806701660156
2015-07-07,42.70453643798828
2015-07-08,41.54934310913086
2015-07-09,41.29821014404297
2015-07-10,41.73768997192383
2015-07-13,41.8820915222168
2015-07-14,41.8946418762207
2015-07-15,45.20954513549805
2015-07-16,45.70553207397461
2015-07-17,45.397891998291016
2015-07-20,45.29116439819336
2015-07-21,44.996089935302734
2015-07-22,45.146766662597656
2015-07-23,44.707298278808594
2015-07-24,43.90995788574219
2015-07-27,43.916236877441406
2015-07-28,43.244468688964844
2015-07-29,43.43909454345703
2015-07-30,43.526981353759766
2015-07-31,43.35746765136719
2015-08-03,42.82381820678711
2015-08-04,43.04984664916992
2015-08-05,43.263301849365234
2015-08-06,42.34666442871094
2015-08-07,42.00136947631836
2015-08-10,42.3027229309082
2015-08-11,42.39690399169922
2015-08-12,40.24974822998047
2015-08-13,39.54030990600586
2015-08-14,39.77887725830078
2015-08-17,39.52147674560547
2015-08-18,39.34568405151367
2015-08-19,39.169891357421875
2015-08-20,38.57345199584961
2015-08-21,37.160850524902344
2015-08-24,35.86124801635742
2015-08-25,35.64152145385742
2015-08-26,36.865779876708984
2015-08-27,37.072967529296875
2015-08-28,37.04157257080078
2015-08-31,36.796722412109375
2015-09-01,36.382347106933594
2015-09-02,36.80299758911133
2015-09-03,37.217350006103516
2015-09-04,36.66487503051758
2015-09-08,37.1483039855957
2015-09-09,36.9473991394043
2015-09-10,36.658599853515625
2015-09-11,36.759681701660156
2015-09-14,36.55122375488281
2015-09-15,36.11532211303711
2015-09-16,36.184810638427734
2015-09-17,35.3762092590332
2015-09-18,34.15067672729492
2015-09-21,34.05592727661133
2015-09-22,33.759010314941406
2015-09-23,33.38630676269531
2015-09-24,32.8998908996582
2015-09-25,33.1715202331543
2015-09-28,31.76910400390625
2015-09-29,31.832263946533203
2015-09-30,32.419776916503906
2015-10-01,32.24919891357422
2015-10-02,32.74827575683594
2015-10-05,32.666133880615234
2015-10-06,32.4639892578125
2015-10-07,32.29974365234375
2015-10-08,32.51453399658203
2015-10-09,32.217620849609375
2015-10-12,31.813322067260742
2015-10-13,31.750152587890625
2015-10-14,31.440603256225586
2015-10-15,31.876487731933594
2015-10-16,31.882808685302734
2015-10-19,32.0344123840332
2015-10-20,31.983884811401367
2015-10-21,31.79437255859375
2015-10-22,31.510093688964844
2015-10-23,30.303518295288086
2015-10-26,30.739404678344727
2015-10-27,30.98577117919922
2015-10-28,31.503765106201172
2015-10-29,31.396385192871094
2015-10-30,32.20499038696289
2015-11-02,32.432395935058594
2015-11-03,32.331329345703125
2015-11-04,31.863859176635742
2015-11-05,31.87016487121582
2015-11-06,30.891008377075195
2015-11-09,29.210641860961914
2015-11-10,29.70339012145996
2015-11-11,25.546669006347656
2015-11-12,25.786727905273438
2015-11-13,24.700172424316406
2015-11-16,24.396947860717773
2015-11-17,24.02423095703125
2015-11-18,24.58646583557129
2015-11-19,24.34641456604004
2015-11-20,24.38431739807129
2015-11-23,25.293994903564453
2015-11-24,25.034990310668945
2015-11-25,25.508773803710938
2015-11-27,25.262409210205078
2015-11-30,24.68754005432129
2015-12-01,24.845470428466797
2015-12-02,24.28324317932129
2015-12-03,24.62436294555664
2015-12-04,24.839162826538086
2015-12-07,24.35273551940918
2015-12-08,24.28324317932129
2015-12-09,24.10004425048828
2015-12-10,23.929479598999023
2015-12-11,23.444759368896484
2015-12-14,23.196029663085938
2015-12-15,22.92178726196289
2015-12-16,22.87714385986328
2015-12-17,22.003385543823242
2015-12-18,22.239370346069336
2015-12-21,22.33503532409668
2015-12-22,22.596521377563477
2015-12-23,22.998323440551758
2015-12-24,22.628406524658203
2015-12-28,22.641164779663086
2015-12-29,22.76872444152832
2015-12-30,22.564632415771484
2015-12-31,22.30952262878418
2016-01-04,22.82611846923828
2016-01-05,23.57232093811035
2016-01-06,23.05572509765625
2016-01-07,23.527679443359375
2016-01-08,22.889896392822266
2016-01-11,24.758594512939453
2016-01-12,24.62465476989746
2016-01-13,24.643787384033203
2016-01-14,24.006013870239258
2016-01-15,24.159080505371094
2016-01-19,24.720325469970703
