Date,FLS
2015-07-01,42.195892333984375
2015-07-02,42.48761749267578
2015-07-06,41.588104248046875
2015-07-07,41.48277282714844
2015-07-08,40.61566925048828
2015-07-09,40.77773666381836
2015-07-10,39.910648345947266
2015-07-13,40.639984130859375
2015-07-14,40.86688232421875
2015-07-15,40.07271957397461
2015-07-16,40.41306686401367
2015-07-17,39.88633728027344
2015-07-20,40.0808219909668
2015-07-21,39.06786346435547
2015-07-22,38.85715866088867
2015-07-23,38.52492141723633
2015-07-24,38.046791076660156
2015-07-27,37.34988021850586
2015-07-28,37.26884841918945
2015-07-29,38.022483825683594
2015-07-30,38.12783432006836
2015-07-31,38.079219818115234
2015-08-03,36.95281219482422
2015-08-04,37.2202262878418
2015-08-05,37.714534759521484
2015-08-06,37.90092849731445
2015-08-07,38.0386962890625
2015-08-10,39.45684051513672
2015-08-11,38.47629165649414
2015-08-12,39.075965881347656
2015-08-13,38.46009826660156
2015-08-14,38.670780181884766
2015-08-17,38.60594940185547
2015-08-18,38.28990936279297
2015-08-19,37.95766067504883
2015-08-20,37.163490295410156
2015-08-21,36.43415832519531
2015-08-24,35.27534484863281
2015-08-25,34.529808044433594
2015-08-26,34.943077087402344
2015-08-27,35.85880661010742
2015-08-28,36.41796112060547
2015-08-31,36.571929931640625
2015-09-01,34.64325714111328
2015-09-02,34.975494384765625
2015-09-03,35.137569427490234
2015-09-04,34.44874954223633
2015-09-08,35.242916107177734
2015-09-09,34.7567024230957
2015-09-10,34.651344299316406
2015-09-11,34.60273742675781
2015-09-14,34.20564651489258
2015-09-15,35.05653381347656
2015-09-16,35.9560432434082
2015-09-17,34.9673957824707
2015-09-18,33.88150405883789
2015-09-21,33.52492904663086
2015-09-22,33.55734634399414
2015-09-23,33.22365951538086
2015-09-24,32.841121673583984
2015-09-25,33.19109344482422
2015-09-28,32.434173583984375
2015-09-29,32.710880279541016
2015-09-30,33.484100341796875
2015-10-01,32.89808654785156
2015-10-02,33.793392181396484
2015-10-05,35.87698745727539
2015-10-06,36.28394317626953
2015-10-07,37.244346618652344
2015-10-08,39.08378601074219
2015-10-09,37.94431686401367
2015-10-12,36.95948791503906
2015-10-13,36.5362548828125
2015-10-14,35.62466812133789
2015-10-15,34.99797058105469
2015-10-16,34.037559509277344
2015-10-19,33.899200439453125
2015-10-20,34.19221115112305
2015-10-21,33.93989562988281
2015-10-22,34.981693267822266
2015-10-23,35.62466812133789
2015-10-26,35.38865280151367
2015-10-27,34.973541259765625
2015-10-28,36.38161087036133
2015-10-29,36.62578201293945
2015-10-30,37.732688903808594
2015-11-02,38.01757049560547
2015-11-03,39.100059509277344
2015-11-04,38.99424743652344
2015-11-05,38.72565460205078
2015-11-06,38.59543991088867
2015-11-09,37.789669036865234
2015-11-10,38.050113677978516
2015-11-11,37.8140983581543
2015-11-12,36.6095085144043
2015-11-13,36.471134185791016
2015-11-16,37.0164680480957
2015-11-17,36.38975524902344
2015-11-18,37.14667510986328
2015-11-19,37.309471130371094
2015-11-20,37.22807693481445
2015-11-23,37.244346618652344
2015-11-24,37.952449798583984
2015-11-25,37.7164306640625
