Date,COG
2016-01-04,12.695052146911621
2016-01-05,12.68061637878418
2016-01-06,11.5619535446167
2016-01-07,11.966115951538086
2016-01-08,12.413579940795898
2016-01-11,11.547515869140625
2016-01-12,11.172221183776855
2016-01-13,11.331002235412598
2016-01-14,11.77125072479248
2016-01-15,11.843421936035156
2016-01-19,11.857856750488281
2016-01-20,12.377495765686035
2016-01-21,13.460070610046387
2016-01-22,14.102407455444336
2016-01-25,13.279643058776855
2016-01-26,14.023015022277832
2016-01-27,14.102486610412598
2016-01-28,14.008564949035645
2016-01-29,14.991114616394043
2016-02-01,14.85384750366211
2016-02-02,14.731027603149414
2016-02-03,15.294550895690918
2016-02-04,15.099485397338867
2016-02-05,14.926092147827148
2016-02-08,15.113929748535156
2016-02-09,14.153059005737305
2016-02-10,14.268651962280273
2016-02-11,14.3553466796875
2016-02-12,14.268651962280273
2016-02-16,13.914650917053223
2016-02-17,14.80327320098877
2016-02-18,14.124160766601562
2016-02-19,14.384249687194824
2016-02-22,15.561861038208008
2016-02-23,13.914650917053223
2016-02-24,14.239755630493164
2016-02-25,14.023015022277832
2016-02-26,14.767155647277832
2016-02-29,14.54318904876709
2016-03-01,15.164511680603027
2016-03-02,15.93032169342041
2016-03-03,16.017013549804688
2016-03-04,15.51128101348877
2016-03-07,16.175954818725586
2016-03-08,15.439040184020996
2016-03-09,15.352347373962402
2016-03-10,15.829174041748047
2016-03-11,15.86529541015625
2016-03-14,15.966438293457031
2016-03-15,16.313220977783203
2016-03-16,16.57331085205078
2016-03-17,16.443267822265625
2016-03-18,16.45049476623535
2016-03-21,15.742481231689453
2016-03-22,15.728028297424316
2016-03-23,15.51128101348877
2016-03-24,15.872526168823242
2016-03-28,15.937542915344238
2016-03-29,16.3565731048584
2016-03-30,16.407146453857422
2016-03-31,16.407146453857422
2016-04-01,16.262651443481445
2016-04-04,16.39992332458496
2016-04-05,16.12537956237793
2016-04-06,16.147050857543945
2016-04-07,16.811725616455078
2016-04-08,16.96343994140625
2016-04-11,16.5516357421875
2016-04-12,17.187406539916992
2016-04-13,16.761150360107422
2016-04-14,16.479393005371094
2016-04-15,16.638334274291992
2016-04-18,16.91286277770996
2016-04-19,16.96343994140625
2016-04-20,16.992340087890625
2016-04-21,16.49384307861328
2016-04-22,16.804506301879883
2016-04-25,16.103710174560547
2016-04-26,16.479393005371094
2016-04-27,17.389690399169922
2016-04-28,17.035690307617188
2016-04-29,16.9056453704834
2016-05-02,17.512508392333984
2016-05-03,17.252431869506836
2016-05-04,17.223529815673828
2016-05-05,17.476390838623047
2016-05-06,17.20185089111328
2016-05-09,17.346345901489258
2016-05-10,17.78704833984375
2016-05-11,17.693130493164062
2016-05-12,17.642515182495117
2016-05-13,17.215911865234375
2016-05-16,17.186996459960938
2016-05-17,17.259292602539062
2016-05-18,16.753164291381836
2016-05-19,16.767623901367188
2016-05-20,16.753164291381836
2016-05-23,16.87607765197754
2016-05-24,16.847152709960938
