Date,ESS
2015-07-01,152.62063598632812
2015-07-02,153.74742126464844
2015-07-06,154.69821166992188
2015-07-07,156.58563232421875
2015-07-08,156.1067352294922
2015-07-09,155.6489715576172
2015-07-10,156.21939086914062
2015-07-13,155.51516723632812
2015-07-14,156.254638671875
2015-07-15,156.78286743164062
2015-07-16,157.59274291992188
2015-07-17,157.04342651367188
2015-07-20,158.3322296142578
2015-07-21,157.43780517578125
2015-07-22,157.9448699951172
2015-07-23,156.60678100585938
2015-07-24,157.62091064453125
2015-07-27,157.9730682373047
2015-07-28,156.5715789794922
2015-07-29,156.73353576660156
2015-07-30,157.59974670410156
2015-07-31,158.39561462402344
2015-08-03,159.55062866210938
2015-08-04,158.6773223876953
2015-08-05,158.05055236816406
2015-08-06,159.2126007080078
2015-08-07,159.86752319335938
2015-08-10,159.95199584960938
2015-08-11,160.6774139404297
2015-08-12,160.8041229248047
2015-08-13,160.5225067138672
2015-08-14,160.95912170410156
2015-08-17,162.76202392578125
2015-08-18,163.3395538330078
2015-08-19,160.76194763183594
2015-08-20,160.29710388183594
2015-08-21,157.01522827148438
2015-08-24,149.20497131347656
2015-08-25,147.54287719726562
2015-08-26,151.50088500976562
2015-08-27,155.11378479003906
2015-08-28,155.40248107910156
2015-08-31,151.1487579345703
2015-09-01,148.02182006835938
2015-09-02,149.17678833007812
2015-09-03,149.41629028320312
2015-09-04,145.90200805664062
2015-09-08,148.21902465820312
2015-09-09,146.24005126953125
2015-09-10,146.89500427246094
2015-09-11,151.0853729248047
2015-09-14,149.66270446777344
2015-09-15,151.66989135742188
2015-09-16,153.34603881835938
2015-09-17,154.62779235839844
2015-09-18,154.57144165039062
2015-09-21,156.08560180664062
2015-09-22,154.599609375
2015-09-23,155.60671997070312
2015-09-24,153.45166015625
2015-09-25,153.86717224121094
2015-09-28,152.31459045410156
2015-09-29,155.55445861816406
2015-09-30,158.3901824951172
2015-10-01,159.992431640625
2015-10-02,161.37486267089844
2015-10-05,161.95611572265625
2015-10-06,160.73678588867188
2015-10-07,162.36019897460938
2015-10-08,162.75013732910156
2015-10-09,162.03411865234375
2015-10-12,163.38821411132812
2015-10-13,162.32479858398438
2015-10-14,160.4036102294922
2015-10-15,163.7852020263672
2015-10-16,165.44412231445312
2015-10-19,168.407470703125
2015-10-20,168.1664581298828
2015-10-21,166.09632873535156
2015-10-22,164.4657745361328
2015-10-23,163.23220825195312
2015-10-26,162.81394958496094
2015-10-27,161.14088439941406
2015-10-28,158.22714233398438
2015-10-29,160.39649963378906
2015-10-30,156.27757263183594
2015-11-02,160.23341369628906
2015-11-03,158.1846160888672
2015-11-04,157.27003479003906
2015-11-05,158.50369262695312
2015-11-06,155.07237243652344
2015-11-09,153.26463317871094
2015-11-10,154.73204040527344
2015-11-11,156.4335479736328
2015-11-12,155.16458129882812
2015-11-13,154.37051391601562
2015-11-16,156.5327606201172
2015-11-17,157.56077575683594
2015-11-18,158.5320281982422
2015-11-19,160.19798278808594
2015-11-20,161.8143310546875
2015-11-23,163.09039306640625
2015-11-24,161.53077697753906
2015-11-25,163.48036193847656
2015-11-27,165.7702178955078
2015-11-30,163.6150360107422
2015-12-01,166.85487365722656
2015-12-02,162.2893524169922
2015-12-03,161.3606414794922
2015-12-04,165.4512176513672
2015-12-07,164.8698272705078
2015-12-08,164.4374237060547
2015-12-09,163.21096801757812
2015-12-10,162.6509246826172
2015-12-11,163.62924194335938
2015-12-14,165.08255004882812
2015-12-15,166.59962463378906
2015-12-16,170.2719268798828
2015-12-17,169.17311096191406
2015-12-18,166.93287658691406
2015-12-21,166.6705780029297
2015-12-22,166.16012573242188
2015-12-23,168.8328094482422
2015-12-24,168.98876953125
2015-12-28,170.73280334472656
2015-12-29,173.18563842773438
2015-12-30,173.48526000976562
2015-12-31,170.73248291015625
2016-01-04,169.24203491210938
2016-01-05,171.18177795410156
2016-01-06,169.76263427734375
2016-01-07,168.08673095703125
2016-01-08,166.63909912109375
2016-01-11,168.07958984375
2016-01-12,167.43063354492188
2016-01-13,166.71749877929688
2016-01-14,164.61373901367188
2016-01-15,164.12879943847656
2016-01-19,165.68345642089844
2016-01-20,160.0853271484375
2016-01-21,157.60357666015625
2016-01-22,160.34918212890625
2016-01-25,159.10833740234375
2016-01-26,161.3975067138672
2016-01-27,157.20423889160156
2016-01-28,150.3153533935547
2016-01-29,151.9769744873047
2016-02-01,152.77560424804688
