Date,HON
2015-07-01,73.90499877929688
2015-07-02,73.6678695678711
2015-07-06,73.5744400024414
2015-07-07,73.90499877929688
2015-07-08,72.5611343383789
2015-07-09,72.71208953857422
2015-07-10,73.59600830078125
2015-07-13,74.5733413696289
2015-07-14,74.79612731933594
2015-07-15,74.62364959716797
2015-07-16,74.42963409423828
2015-07-17,75.84535217285156
2015-07-20,76.44181823730469
2015-07-21,75.7447509765625
2015-07-22,75.27042388916016
2015-07-23,74.96859741210938
2015-07-24,73.85472106933594
2015-07-27,73.04264068603516
2015-07-28,74.88236999511719
2015-07-29,75.84535217285156
2015-07-30,75.73035430908203
2015-07-31,75.49322509765625
2015-08-03,75.24166870117188
2015-08-04,75.18418884277344
2015-08-05,75.9819107055664
2015-08-06,76.02500915527344
2015-08-07,75.787841796875
2015-08-10,77.11016082763672
2015-08-11,75.72317504882812
2015-08-12,75.84535217285156
2015-08-13,75.83099365234375
2015-08-14,76.2334213256836
2015-08-17,76.37714385986328
2015-08-18,76.70066833496094
2015-08-19,75.85574340820312
2015-08-20,74.12254333496094
2015-08-21,71.40723419189453
2015-08-24,68.80743408203125
2015-08-25,67.83253479003906
2015-08-26,70.64896392822266
2015-08-27,72.13660430908203
2015-08-28,72.2304916381836
2015-08-31,71.6888427734375
2015-09-01,69.29853057861328
2015-09-02,70.77896118164062
2015-09-03,71.18335723876953
2015-09-04,69.75348663330078
2015-09-08,72.07882690429688
2015-09-09,71.39278411865234
2015-09-10,71.89106750488281
2015-09-11,71.94160461425781
2015-09-14,71.65277099609375
2015-09-15,72.4471435546875
2015-09-16,72.90933990478516
2015-09-17,72.5987777709961
2015-09-18,70.80060577392578
2015-09-21,70.58396911621094
2015-09-22,69.35631561279297
2015-09-23,68.3091812133789
2015-09-24,67.60869598388672
2015-09-25,67.53646850585938
2015-09-28,66.14268493652344
2015-09-29,66.8143081665039
2015-09-30,68.38135528564453
2015-10-01,68.39582061767578
2015-10-02,69.71739196777344
2015-10-05,71.04615020751953
2015-10-06,70.92339324951172
2015-10-07,71.84774780273438
2015-10-08,72.98875427246094
2015-10-09,73.05377197265625
2015-10-12,73.29931640625
2015-10-13,72.08607482910156
2015-10-14,70.95950317382812
2015-10-15,71.13279724121094
2015-10-16,70.07122039794922
2015-10-19,70.17955017089844
2015-10-20,70.97392272949219
2015-10-21,71.32778930664062
2015-10-22,74.0792236328125
2015-10-23,74.47643280029297
2015-10-26,74.22366333007812
2015-10-27,73.98533630371094
2015-10-28,74.80137634277344
2015-10-29,74.33919525146484
2015-10-30,74.58472442626953
2015-11-02,75.23468780517578
2015-11-03,74.8519287109375
2015-11-04,74.64971923828125
2015-11-05,74.8158187866211
2015-11-06,75.10469818115234
2015-11-09,74.17310333251953
2015-11-10,73.94924926757812
2015-11-11,74.57028198242188
2015-11-12,73.63870239257812
2015-11-13,72.9959945678711
2015-11-16,74.3536148071289
2015-11-17,74.2991714477539
2015-11-18,75.5848159790039
2015-11-19,76.29666900634766
2015-11-20,76.72518920898438
2015-11-23,75.96979522705078
2015-11-24,74.93836212158203
2015-11-25,75.27249145507812
2015-11-27,75.5848159790039
2015-11-30,75.50493621826172
2015-12-01,75.65017700195312
2015-12-02,74.88752746582031
2015-12-03,74.37906646728516
2015-12-04,75.94075775146484
