Date,AMG
2015-07-01,213.04766845703125
2015-07-02,212.25375366210938
2015-07-06,208.8654327392578
2015-07-07,208.76866149902344
2015-07-08,202.1372833251953
2015-07-09,203.90884399414062
2015-07-10,206.99703979492188
2015-07-13,209.61083984375
2015-07-14,209.74649047851562
2015-07-15,209.81417846679688
2015-07-16,212.97012329101562
2015-07-17,211.81814575195312
2015-07-20,211.27597045898438
2015-07-21,210.9468536376953
2015-07-22,211.71163940429688
2015-07-23,209.34950256347656
2015-07-24,206.87118530273438
2015-07-27,203.45379638671875
2015-07-28,201.3821563720703
2015-07-29,203.6958770751953
2015-07-30,202.57289123535156
2015-07-31,201.26593017578125
2015-08-03,202.0888671875
2015-08-04,204.2864227294922
2015-08-05,205.31256103515625
2015-08-06,202.94076538085938
2015-08-07,202.35025024414062
2015-08-10,205.07058715820312
2015-08-11,200.8787078857422
2015-08-12,196.84178161621094
2015-08-13,197.03536987304688
2015-08-14,198.990966796875
2015-08-17,199.15548706054688
2015-08-18,198.37135314941406
2015-08-19,195.33154296875
2015-08-20,190.5685577392578
2015-08-21,184.63414001464844
2015-08-24,176.89906311035156
2015-08-25,173.8592987060547
2015-08-26,178.81593322753906
2015-08-27,183.036865234375
2015-08-28,181.49757385253906
2015-08-31,180.49075317382812
2015-09-01,173.49148559570312
2015-09-02,173.12356567382812
2015-09-03,171.90374755859375
2015-09-04,167.72164916992188
2015-09-08,174.8661651611328
2015-09-09,171.9425048828125
2015-09-10,171.2938995361328
2015-09-11,170.39356994628906
2015-09-14,169.06724548339844
2015-09-15,172.08773803710938
2015-09-16,175.0791473388672
2015-09-17,173.7915496826172
2015-09-18,169.61904907226562
2015-09-21,170.40328979492188
2015-09-22,166.36630249023438
2015-09-23,164.45921325683594
2015-09-24,164.58505249023438
2015-09-25,165.146484375
2015-09-28,160.36416625976562
2015-09-29,161.29347229003906
2015-09-30,165.5337371826172
2015-10-01,164.923828125
2015-10-02,165.06907653808594
2015-10-05,168.76715087890625
2015-10-06,168.51548767089844
2015-10-07,171.4197235107422
2015-10-08,171.40032958984375
2015-10-09,171.4197235107422
2015-10-12,169.5417022705078
2015-10-13,165.5531005859375
2015-10-14,165.1562042236328
2015-10-15,170.00633239746094
2015-10-16,171.06153869628906
2015-10-19,167.41180419921875
2015-10-20,167.60543823242188
2015-10-21,163.36521911621094
2015-10-22,171.23583984375
2015-10-23,175.91168212890625
2015-10-26,175.24365234375
