Date,PBI
2015-07-01,12.591745376586914
2015-07-02,12.640151023864746
2015-07-06,12.622003555297852
2015-07-07,12.767216682434082
2015-07-08,12.488884925842285
2015-07-09,12.543338775634766
2015-07-10,12.75511646270752
2015-07-13,12.791423797607422
2015-07-14,12.918492317199707
2015-07-15,12.888235092163086
2015-07-16,12.912435531616211
2015-07-17,12.761163711547852
2015-07-20,12.833776473999023
2015-07-21,12.446525573730469
2015-07-22,12.749065399169922
2015-07-23,12.664350509643555
2015-07-24,12.289204597473145
2015-07-27,12.271050453186035
2015-07-28,12.45862865447998
2015-07-29,12.567544937133789
2015-07-30,12.37391471862793
2015-07-31,12.65830135345459
2015-08-03,12.313409805297852
2015-08-04,12.446525573730469
2015-08-05,12.51308822631836
2015-08-06,12.628055572509766
2015-08-07,12.53123664855957
2015-08-10,12.785367965698242
2015-08-11,12.906386375427246
2015-08-12,12.96689510345459
2015-08-13,12.851929664611816
2015-08-14,12.900334358215332
2015-08-17,13.00925350189209
2015-08-18,12.997150421142578
2015-08-19,12.928780555725098
2015-08-20,12.678509712219238
2015-08-21,12.287834167480469
2015-08-24,11.744564056396484
2015-08-25,11.488181114196777
2015-08-26,11.689620971679688
2015-08-27,12.208481788635254
2015-08-28,12.177962303161621
2015-08-31,12.092501640319824
2015-09-01,11.7750825881958
2015-09-02,11.958209991455078
2015-09-03,12.10471248626709
2015-09-04,11.842228889465332
2015-09-08,12.318358421325684
2015-09-09,12.190168380737305
2015-09-10,12.361088752746582
2015-09-11,12.470967292785645
2015-09-14,12.483177185058594
2015-09-15,12.727341651916504
2015-09-16,12.8494291305542
2015-09-17,12.825008392333984
2015-09-18,12.562530517578125
2015-09-21,12.477069854736328
2015-09-22,12.23289966583252
2015-09-23,12.19627571105957
2015-09-24,12.184065818786621
2015-09-25,12.281734466552734
2015-09-28,12.013145446777344
2015-09-29,11.768978118896484
2015-09-30,12.116921424865723
2015-10-01,11.897165298461914
2015-10-02,12.043668746948242
2015-10-05,12.44044303894043
2015-10-06,12.42823600769043
2015-10-07,12.666299819946289
2015-10-08,12.727341651916504
2015-10-09,12.702921867370605
2015-10-12,12.696824073791504
2015-10-13,12.65408992767334
2015-10-14,12.580842971801758
2015-10-15,12.702921867370605
2015-10-16,12.696824073791504
2015-10-19,12.751760482788086
2015-10-20,12.818906784057617
2015-10-21,12.617467880249023
2015-10-22,12.806699752807617
2015-10-23,12.953200340270996
2015-10-26,12.8494291305542
2015-10-27,12.635778427124023
2015-10-28,12.879949569702148
2015-10-29,12.269526481628418
2015-10-30,12.605254173278809
2015-11-02,13.038657188415527
2015-11-03,13.081388473510742
2015-11-04,12.89216423034668
2015-11-05,12.89216423034668
2015-11-06,12.983719825744629
2015-11-09,12.916571617126465
2015-11-10,12.983719825744629
2015-11-11,12.934892654418945
2015-11-12,12.739551544189453
2015-11-13,12.53200626373291
2015-11-16,12.702921867370605
2015-11-17,12.678509712219238
2015-11-18,12.954477310180664
2015-11-19,12.954477310180664
2015-11-20,13.083837509155273
2015-11-23,13.01607608795166
2015-11-24,13.034554481506348
2015-11-25,13.009916305541992
2015-11-27,12.972957611083984
2015-11-30,13.305595397949219
2015-12-01,13.145435333251953
2015-12-02,12.849761009216309
2015-12-03,12.788156509399414
2015-12-04,12.985274314880371
2015-12-07,12.726556777954102
2015-12-08,12.529438018798828
2015-12-09,12.202958106994629
2015-12-10,12.301518440246582
2015-12-11,12.067440032958984
2015-12-14,11.901118278503418
2015-12-15,12.079757690429688
2015-12-16,12.326153755187988
2015-12-17,12.209115982055664
2015-12-18,12.122878074645996
2015-12-21,12.233758926391602
2015-12-22,12.418558120727539
2015-12-23,12.701919555664062
2015-12-24,12.714237213134766
2015-12-28,12.652639389038086
2015-12-29,12.899035453796387
2015-12-30,12.825116157531738
2015-12-31,12.720396041870117
2016-01-04,12.554075241088867
2016-01-05,12.554075241088867
2016-01-06,12.42471694946289
2016-01-07,11.968877792358398
2016-01-08,11.537677764892578
2016-01-11,11.703996658325195
2016-01-12,11.710156440734863
2016-01-13,11.451436996459961
2016-01-14,11.457596778869629
2016-01-15,11.36520004272461
2016-01-19,11.36520004272461
2016-01-20,11.192717552185059
2016-01-21,11.303597450256348
2016-01-22,11.537677764892578
2016-01-25,11.432957649230957
2016-01-26,11.747117042541504
2016-01-27,11.728636741638184
2016-01-28,11.759435653686523
2016-01-29,12.061278343200684
2016-02-01,11.981196403503418
2016-02-02,10.317997932434082
2016-02-03,10.55824089050293
2016-02-04,10.85391902923584
2016-02-05,10.662955284118652
2016-02-08,10.361116409301758
2016-02-09,10.262555122375488
2016-02-10,10.416556358337402
2016-02-11,10.139359474182129
2016-02-12,10.398077964782715
2016-02-16,10.564397811889648
2016-02-17,10.936848640441895
2016-02-18,10.893255233764648
2016-02-19,10.961762428283691
2016-02-22,11.030272483825684
2016-02-23,11.042731285095215
2016-02-24,11.030272483825684
2016-02-25,11.117471694946289
2016-02-26,11.235808372497559
2016-02-29,11.28563117980957
2016-03-01,11.603273391723633
2016-03-02,11.678014755249023
2016-03-03,11.952056884765625
2016-03-04,12.151359558105469
2016-03-07,12.500143051147461
2016-03-08,12.157591819763184
2016-03-09,12.344435691833496
2016-03-10,12.587342262268066
2016-03-11,12.730589866638184
2016-03-14,12.587342262268066
2016-03-15,12.537511825561523
2016-03-16,12.780414581298828
2016-03-17,13.129202842712402
2016-03-18,13.241313934326172
2016-03-21,13.235082626342773
2016-03-22,13.185256958007812
2016-03-23,12.95481014251709
2016-03-24,13.017094612121582
2016-03-28,13.048235893249512
2016-03-29,13.172798156738281
2016-03-30,13.216397285461426
2016-03-31,13.415703773498535
2016-04-01,13.415703773498535
2016-04-04,13.309820175170898
2016-04-05,13.154114723205566
2016-04-06,13.22885513305664
2016-04-07,13.029550552368164
2016-04-08,13.129202842712402
2016-04-11,13.098061561584473
2016-04-12,13.085599899291992
2016-04-13,13.496671676635742
2016-04-14,13.39702033996582
2016-04-15,13.428154945373535
2016-04-18,13.515356063842773
2016-04-19,13.446847915649414
2016-04-20,13.490440368652344
2016-04-21,13.26622486114502
2016-04-22,13.384556770324707
2016-04-25,13.197714805603027
2016-04-26,13.24753475189209
2016-04-27,13.384556770324707
2016-04-28,13.25377082824707
2016-04-29,13.06069278717041
2016-05-02,13.03577709197998
2016-05-03,11.790122985839844
2016-05-04,11.646873474121094
2016-05-05,11.491170883178711
2016-05-06,11.42888355255127
2016-05-09,11.354145050048828
2016-05-10,11.597047805786133
2016-05-11,11.42888355255127
2016-05-12,11.298087120056152
2016-05-13,11.123696327209473
2016-05-16,11.266945838928223
2016-05-17,11.310544967651367
2016-05-18,11.14861011505127
2016-05-19,11.042731285095215
2016-05-20,11.14861011505127
2016-05-23,11.111238479614258
2016-05-24,11.291858673095703
2016-05-25,11.504585266113281
2016-05-26,11.561224937438965
2016-05-27,11.674509048461914
2016-05-31,11.724854469299316
2016-06-01,11.76891040802002
2016-06-02,11.919957160949707
2016-06-03,11.945131301879883
2016-06-06,12.014358520507812
2016-06-07,11.995478630065918
2016-06-08,11.97659683227539
2016-06-09,11.875899314880371
2016-06-10,11.687092781066895
2016-06-13,11.491994857788086
2016-06-14,11.334656715393066
2016-06-15,11.290603637695312
2016-06-16,11.215079307556152
2016-06-17,11.284306526184082
2016-06-20,11.322066307067871
2016-06-21,11.34724235534668
2016-06-22,11.278016090393066
2016-06-23,11.454235076904297
2016-06-24,10.761944770812988
2016-06-27,10.308809280395508
2016-06-28,10.705305099487305
2016-06-29,11.051446914672852
2016-06-30,11.20249080657959
2016-07-01,11.196202278137207
2016-07-05,10.875229835510254
2016-07-06,10.82487964630127
2016-07-07,10.900403022766113
2016-07-08,11.20249080657959
2016-07-11,11.322066307067871
2016-07-12,11.668214797973633
2016-07-13,11.705976486206055
2016-07-14,11.850725173950195
2016-07-15,11.863311767578125
2016-07-18,11.907368659973145
2016-07-19,11.794083595275879
2016-07-20,11.875899314880371
2016-07-21,11.825553894042969
2016-07-22,11.831843376159668
2016-07-25,11.869606971740723
2016-07-26,11.995478630065918
2016-07-27,12.001771926879883
2016-07-28,12.064706802368164
2016-07-29,12.152812957763672
2016-08-01,11.995478630065918
2016-08-02,11.385001182556152
2016-08-03,11.328362464904785
2016-08-04,11.517168045043945
2016-08-05,11.718562126159668
2016-08-08,11.718562126159668
2016-08-09,11.649334907531738
2016-08-10,11.592689514160156
2016-08-11,11.624157905578613
2016-08-12,11.611574172973633
2016-08-15,11.718562126159668
2016-08-16,11.655627250671387
2016-08-17,11.705976486206055
2016-08-18,11.755566596984863
2016-08-19,11.679276466369629
2016-08-22,11.679276466369629
2016-08-23,11.768280982971191
2016-08-24,11.787355422973633
2016-08-25,11.800067901611328
2016-08-26,11.933582305908203
2016-08-29,11.882719993591309
2016-08-30,11.997160911560059
2016-08-31,11.927228927612305
2016-09-01,12.035308837890625
2016-09-02,12.022595405578613
2016-09-06,11.927228927612305
2016-09-07,11.895437240600586
2016-09-08,11.780998229980469
2016-09-09,11.30416202545166
2016-09-12,11.437676429748535
2016-09-13,11.30416202545166
2016-09-14,11.196080207824707
2016-09-15,11.335951805114746
2016-09-16,11.227869987487793
2016-09-19,11.291447639465332
2016-09-20,11.15157699584961
2016-09-21,11.189724922180176
2016-09-22,11.329591751098633
2016-09-23,11.297802925109863
2016-09-26,11.189724922180176
2016-09-27,11.23422622680664
2016-09-28,11.412245750427246
2016-09-29,11.431318283081055
2016-09-30,11.545756340026855
2016-10-03,11.47581958770752
2016-10-04,11.329591751098633
2016-10-05,11.266014099121094
