Date,APP
2025-07-01,336.69000244140625
2025-07-02,336.0
2025-07-03,341.6400146484375
2025-07-07,345.0
2025-07-08,344.75
2025-07-09,352.739990234375
2025-07-10,346.32000732421875
2025-07-11,335.1000061035156
2025-07-14,355.8999938964844
2025-07-15,352.9599914550781
2025-07-16,355.5
2025-07-17,363.7799987792969
2025-07-18,364.4599914550781
2025-07-21,366.1700134277344
2025-07-22,350.0
2025-07-23,362.1199951171875
2025-07-24,359.94000244140625
2025-07-25,364.1400146484375
2025-07-28,370.9599914550781
2025-07-29,361.6300048828125
2025-07-30,363.30999755859375
2025-07-31,390.70001220703125
2025-08-01,379.1700134277344
2025-08-04,395.010009765625
2025-08-05,377.92999267578125
2025-08-06,390.57000732421875
2025-08-07,437.3399963378906
2025-08-08,455.9800109863281
2025-08-11,465.5799865722656
2025-08-12,467.0
2025-08-13,446.3999938964844
2025-08-14,433.3399963378906
2025-08-15,438.67999267578125
2025-08-18,438.5400085449219
2025-08-19,412.6000061035156
2025-08-20,412.3800048828125
2025-08-21,418.760009765625
2025-08-22,441.67999267578125
2025-08-25,450.67999267578125
2025-08-26,469.3299865722656
2025-08-27,462.94000244140625
2025-08-28,483.75
2025-08-29,478.5899963378906
2025-09-02,481.7300109863281
2025-09-03,487.3500061035156
2025-09-04,499.9700012207031
2025-09-05,490.239990234375
2025-09-08,547.0399780273438
2025-09-09,558.1699829101562
2025-09-10,567.1199951171875
2025-09-11,571.3099975585938
2025-09-12,582.0
2025-09-15,593.1400146484375
2025-09-16,603.7999877929688
2025-09-17,606.6599731445312
2025-09-18,621.52001953125
2025-09-19,649.5900268554688
2025-09-22,643.5
2025-09-23,651.1799926757812
2025-09-24,641.9199829101562
2025-09-25,639.9099731445312
2025-09-26,669.8599853515625
2025-09-29,712.3599853515625
2025-09-30,718.5399780273438
2025-10-01,704.0900268554688
2025-10-02,683.6400146484375
2025-10-03,682.760009765625
2025-10-06,587.0
2025-10-07,631.8499755859375
2025-10-08,629.7000122070312
2025-10-09,600.3200073242188
2025-10-10,569.8900146484375
2025-10-13,590.1099853515625
2025-10-14,590.030029296875
2025-10-15,602.2999877929688
2025-10-16,605.6799926757812
2025-10-17,599.3099975585938
2025-10-20,565.9400024414062
2025-10-21,552.6400146484375
2025-10-22,564.8200073242188
2025-10-23,589.7000122070312
2025-10-24,620.0
2025-10-27,643.0999755859375
2025-10-28,626.8200073242188
2025-10-29,631.2000122070312
2025-10-30,620.6199951171875
2025-10-31,637.3300170898438
2025-11-03,632.1400146484375
2025-11-04,608.6799926757812
2025-11-05,617.0499877929688
2025-11-06,621.3599853515625
2025-11-07,619.9299926757812
2025-11-10,651.3200073242188
2025-11-11,594.9099731445312
2025-11-12,584.8599853515625
2025-11-13,556.1500244140625
2025-11-14,557.7000122070312
2025-11-17,539.27001953125
2025-11-18,526.010009765625
2025-11-19,530.0499877929688
2025-11-20,520.8200073242188
2025-11-21,520.260009765625
2025-11-24,559.7999877929688
2025-11-25,556.030029296875
2025-11-26,586.3699951171875
2025-11-28,599.47998046875
2025-12-01,623.5900268554688
2025-12-02,653.0
2025-12-03,662.2100219726562
2025-12-04,683.780029296875
2025-12-05,691.9400024414062
2025-12-08,689.760009765625
2025-12-09,724.6199951171875
2025-12-10,703.280029296875
2025-12-11,716.97998046875
2025-12-12,670.6699829101562
2025-12-15,675.1649780273438
2025-12-16,677.2999877929688
2025-12-17,657.1300048828125
2025-12-18,694.3699951171875
2025-12-19,721.3699951171875
2025-12-22,733.5999755859375
2025-12-23,728.4500122070312
2025-12-24,727.5
2025-12-26,714.22998046875
2025-12-29,698.8200073242188
2025-12-30,693.7100219726562
