Date,LH
2015-07-01,100.02919006347656
2015-07-02,98.8503646850586
2015-07-06,98.42467498779297
2015-07-07,98.69483184814453
2015-07-08,96.62366485595703
2015-07-09,97.77793884277344
2015-07-10,98.44924926757812
2015-07-13,100.00463104248047
2015-07-14,101.29808044433594
2015-07-15,100.49581146240234
2015-07-16,101.25714874267578
2015-07-17,100.11923217773438
2015-07-20,100.22566986083984
2015-07-21,99.11231231689453
2015-07-22,99.20238494873047
2015-07-23,100.51220703125
2015-07-24,100.02103424072266
2015-07-27,99.6362533569336
2015-07-28,100.04556274414062
2015-07-29,103.41015625
2015-07-30,102.83712768554688
2015-07-31,104.20423889160156
2015-08-03,104.25336456298828
2015-08-04,103.97502136230469
2015-08-05,104.24519348144531
2015-08-06,102.7388916015625
2015-08-07,102.11670684814453
2015-08-10,102.48509216308594
2015-08-11,101.91205596923828
2015-08-12,101.4699935913086
2015-08-13,101.35537719726562
2015-08-14,101.56004333496094
2015-08-17,102.1330795288086
2015-08-18,102.46056365966797
2015-08-19,102.52604675292969
2015-08-20,100.00463104248047
2015-08-21,98.48197174072266
2015-08-24,94.44609069824219
2015-08-25,93.94672393798828
2015-08-26,96.43537902832031
2015-08-27,98.08901977539062
2015-08-28,97.9171142578125
2015-08-31,96.44356536865234
2015-09-01,94.75716400146484
2015-09-02,95.27291870117188
2015-09-03,96.20616149902344
2015-09-04,95.28109741210938
2015-09-08,97.08209991455078
2015-09-09,96.1897964477539
2015-09-10,96.20616149902344
2015-09-11,97.02478790283203
2015-09-14,96.83651733398438
2015-09-15,98.18726348876953
2015-09-16,98.1463394165039
2015-09-17,98.60478973388672
2015-09-18,97.74519348144531
2015-09-21,97.2867660522461
2015-09-22,96.20616149902344
2015-09-23,95.61675262451172
2015-09-24,94.39698028564453
2015-09-25,92.49772644042969
2015-09-28,88.63377380371094
2015-09-29,87.47950744628906
2015-09-30,88.7975082397461
2015-10-01,90.1973648071289
2015-10-02,91.92469024658203
2015-10-05,92.8579330444336
2015-10-06,90.28743743896484
2015-10-07,91.4171371459961
2015-10-08,91.44989013671875
2015-10-09,91.97381591796875
2015-10-12,92.178466796875
2015-10-13,90.95050811767578
2015-10-14,91.31890869140625
2015-10-15,94.45429229736328
2015-10-16,96.1161117553711
2015-10-19,96.09974670410156
2015-10-20,96.25528717041016
2015-10-21,94.99458312988281
2015-10-22,89.64888763427734
2015-10-23,91.64636993408203
2015-10-26,96.38626098632812
2015-10-27,98.78486633300781
2015-10-28,100.53675079345703
2015-10-29,100.97881317138672
2015-10-30,100.47944641113281
2015-11-02,101.88751220703125
2015-11-03,101.56004333496094
2015-11-04,100.76597595214844
2015-11-05,99.81633758544922
2015-11-06,99.67718505859375
2015-11-09,100.57769012451172
2015-11-10,101.41268920898438
2015-11-11,99.12870788574219
2015-11-12,97.95803833007812
2015-11-13,97.98259735107422
2015-11-16,98.93222045898438
2015-11-17,101.02794647216797
2015-11-18,101.66647338867188
2015-11-19,98.47379302978516
2015-11-20,99.43978118896484
2015-11-23,99.14508056640625
2015-11-24,99.20238494873047
2015-11-25,99.72630310058594
