Date,NI
2015-07-01,12.594672203063965
2015-07-02,11.982131004333496
2015-07-06,11.876344680786133
2015-07-07,12.073814392089844
2015-07-08,12.087920188903809
2015-07-09,11.812871932983398
2015-07-10,11.925712585449219
2015-07-13,11.925712585449219
2015-07-14,11.834027290344238
2015-07-15,11.975083351135254
2015-07-16,12.214865684509277
2015-07-17,11.918661117553711
2015-07-20,11.925712585449219
2015-07-21,11.876344680786133
2015-07-22,11.960973739624023
2015-07-23,11.664773941040039
2015-07-24,12.010343551635742
2015-07-27,12.165499687194824
2015-07-28,12.15844440460205
2015-07-29,12.126420021057129
2015-07-30,12.18335247039795
2015-07-31,12.425309181213379
2015-08-03,12.147768020629883
2015-08-04,11.969860076904297
2015-08-05,11.976971626281738
2015-08-06,11.991207122802734
2015-08-07,12.033907890319824
2015-08-10,12.012557983398438
2015-08-11,12.162004470825195
2015-08-12,12.60322380065918
2015-08-13,12.610336303710938
2015-08-14,12.681503295898438
2015-08-17,12.809600830078125
2015-08-18,12.62457275390625
2015-08-19,12.674385070800781
2015-08-20,12.482243537902832
2015-08-21,12.29721450805664
2015-08-24,11.756365776062012
2015-08-25,11.528640747070312
2015-08-26,11.88446044921875
2015-08-27,12.133536338806152
2015-08-28,12.140652656555176
2015-08-31,11.94851016998291
2015-09-01,11.727897644042969
2015-09-02,11.59268856048584
2015-09-03,11.713665008544922
2015-09-04,11.50728988647461
2015-09-08,11.834646224975586
2015-09-09,11.720783233642578
2015-09-10,11.799062728881836
2015-09-11,11.820416450500488
2015-09-14,11.91292667388916
2015-09-15,11.998326301574707
2015-09-16,12.233162879943848
2015-09-17,12.439546585083008
2015-09-18,12.396846771240234
2015-09-21,12.446660041809082
2015-09-22,12.325681686401367
2015-09-23,12.411077499389648
2015-09-24,12.517827033996582
2015-09-25,12.774015426635742
2015-09-28,12.68862247467041
2015-09-29,12.738431930541992
2015-09-30,13.20100212097168
2015-10-01,13.14406681060791
2015-10-02,13.393146514892578
2015-10-05,13.556828498840332
2015-10-06,13.321982383728027
2015-10-07,13.471426963806152
2015-10-08,13.58529281616211
2015-10-09,13.50700855255127
2015-10-12,13.556828498840332
