Date,SWK
2015-07-01,107.5
2015-07-02,107.70999908447266
2015-07-06,107.37999725341797
2015-07-07,107.6500015258789
2015-07-08,106.19000244140625
2015-07-09,105.81999969482422
2015-07-10,106.66000366210938
2015-07-13,107.58000183105469
2015-07-14,107.58999633789062
2015-07-15,107.18000030517578
2015-07-16,107.20999908447266
2015-07-17,107.3499984741211
2015-07-20,107.9000015258789
2015-07-21,106.79000091552734
2015-07-22,106.69000244140625
2015-07-23,106.3499984741211
2015-07-24,105.13999938964844
2015-07-27,104.68000030517578
2015-07-28,106.16999816894531
2015-07-29,108.16999816894531
2015-07-30,104.51000213623047
2015-07-31,105.48999786376953
2015-08-03,103.73999786376953
2015-08-04,103.97000122070312
2015-08-05,105.27999877929688
2015-08-06,105.19999694824219
2015-08-07,104.69000244140625
2015-08-10,105.98999786376953
2015-08-11,105.0199966430664
2015-08-12,104.69000244140625
2015-08-13,104.5
2015-08-14,105.41000366210938
2015-08-17,105.73999786376953
2015-08-18,105.8499984741211
2015-08-19,105.76000213623047
2015-08-20,104.55999755859375
2015-08-21,101.1500015258789
2015-08-24,96.63999938964844
2015-08-25,94.66000366210938
2015-08-26,97.83999633789062
2015-08-27,100.7300033569336
2015-08-28,100.5
2015-08-31,101.5199966430664
2015-09-01,98.36000061035156
2015-09-02,99.08999633789062
2015-09-03,99.29000091552734
2015-09-04,97.79000091552734
2015-09-08,100.27999877929688
2015-09-09,99.08999633789062
2015-09-10,98.7300033569336
2015-09-11,99.87999725341797
2015-09-14,99.01000213623047
2015-09-15,101.25
2015-09-16,101.69999694824219
2015-09-17,100.94999694824219
2015-09-18,100.30999755859375
2015-09-21,100.70999908447266
2015-09-22,99.12000274658203
2015-09-23,98.6500015258789
2015-09-24,98.26000213623047
2015-09-25,98.3499984741211
2015-09-28,96.66000366210938
2015-09-29,94.9000015258789
2015-09-30,96.9800033569336
2015-10-01,96.62000274658203
2015-10-02,97.45999908447266
2015-10-05,99.79000091552734
2015-10-06,99.87999725341797
2015-10-07,100.44000244140625
2015-10-08,101.73999786376953
2015-10-09,101.55000305175781
2015-10-12,101.51000213623047
2015-10-13,100.31999969482422
2015-10-14,98.43000030517578
2015-10-15,98.7300033569336
2015-10-16,98.51000213623047
2015-10-19,98.23999786376953
2015-10-20,98.5999984741211
2015-10-21,98.1500015258789
2015-10-22,105.47000122070312
2015-10-23,106.05000305175781
2015-10-26,106.18000030517578
2015-10-27,105.94999694824219
