Date,EVRG
2015-07-01,23.617223739624023
2015-07-02,24.039207458496094
2015-07-06,24.134483337402344
2015-07-07,24.7130126953125
2015-07-08,24.7130126953125
2015-07-09,24.57008171081543
2015-07-10,24.883161544799805
2015-07-13,24.617721557617188
2015-07-14,24.454376220703125
2015-07-15,24.508827209472656
2015-07-16,24.876352310180664
2015-07-17,24.706207275390625
2015-07-20,24.495208740234375
2015-07-21,24.21615982055664
2015-07-22,24.379501342773438
2015-07-23,24.16851806640625
2015-07-24,24.202552795410156
2015-07-27,24.624534606933594
2015-07-28,24.821910858154297
2015-07-29,25.114572525024414
2015-07-30,25.39361572265625
2015-07-31,25.62503433227539
2015-08-03,25.706701278686523
2015-08-04,25.380006790161133
2015-08-05,25.339176177978516
2015-08-06,25.33236312866211
2015-08-07,25.8564395904541
2015-08-10,25.720314025878906
2015-08-11,26.06742286682129
2015-08-12,26.448570251464844
2015-08-13,26.707204818725586
2015-08-14,27.047502517700195
2015-08-17,27.135984420776367
2015-08-18,26.904584884643555
2015-08-19,26.931806564331055
2015-08-20,26.707204818725586
2015-08-21,26.3260555267334
2015-08-24,25.284719467163086
2015-08-25,24.461181640625
2015-08-26,24.964832305908203
2015-08-27,25.29833221435547
2015-08-28,25.237083435058594
2015-08-31,24.876352310180664
2015-09-01,24.1549072265625
2015-09-02,24.222972869873047
2015-09-03,24.433958053588867
2015-09-04,24.097082138061523
2015-09-08,24.70895767211914
2015-09-09,24.440834045410156
2015-09-10,24.440834045410156
2015-09-11,24.867084503173828
2015-09-14,24.770837783813477
2015-09-15,24.88083267211914
2015-09-16,25.210838317871094
2015-09-17,25.623340606689453
2015-09-18,25.485841751098633
2015-09-21,25.59584617614746
2015-09-22,25.396459579467773
2015-09-23,25.65083885192871
2015-09-24,25.843339920043945
2015-09-25,26.180219650268555
2015-09-28,26.035850524902344
2015-09-29,26.042720794677734
2015-09-30,26.427724838256836
2015-10-01,25.987720489501953
2015-10-02,26.2352294921875
2015-10-05,26.48960304260254
2015-10-06,26.242094039916992
2015-10-07,26.35209846496582
2015-10-08,26.8814640045166
2015-10-09,26.8814640045166
