Date,BR
2018-01-02,90.80000305175781
2018-01-03,90.72000122070312
2018-01-04,91.44000244140625
2018-01-05,92.55999755859375
2018-01-08,93.12999725341797
2018-01-09,93.30999755859375
2018-01-10,92.9800033569336
2018-01-11,93.44999694824219
2018-01-12,94.04000091552734
2018-01-16,94.06999969482422
2018-01-17,95.18000030517578
2018-01-18,95.12999725341797
2018-01-19,95.93000030517578
2018-01-22,96.86000061035156
2018-01-23,96.6500015258789
2018-01-24,96.18000030517578
2018-01-25,96.37999725341797
2018-01-26,97.43000030517578
2018-01-29,96.81999969482422
2018-01-30,96.41999816894531
2018-01-31,96.41000366210938
2018-02-01,96.18000030517578
2018-02-02,94.7699966430664
2018-02-05,90.62000274658203
2018-02-06,90.87000274658203
2018-02-07,91.63999938964844
2018-02-08,90.73999786376953
2018-02-09,92.19000244140625
2018-02-12,93.87999725341797
2018-02-13,95.48999786376953
2018-02-14,97.33999633789062
2018-02-15,99.0
2018-02-16,98.77999877929688
2018-02-20,98.58999633789062
2018-02-21,99.13999938964844
2018-02-22,99.8499984741211
2018-02-23,101.37999725341797
2018-02-26,100.97000122070312
2018-02-27,100.80999755859375
2018-02-28,100.37999725341797
2018-03-01,99.48999786376953
2018-03-02,102.33999633789062
2018-03-05,103.31999969482422
2018-03-06,105.55000305175781
2018-03-07,106.06999969482422
2018-03-08,106.77999877929688
2018-03-09,108.3499984741211
2018-03-12,108.56999969482422
2018-03-13,108.37000274658203
2018-03-14,107.80999755859375
2018-03-15,107.12000274658203
2018-03-16,107.27999877929688
2018-03-19,106.91999816894531
2018-03-20,108.9000015258789
2018-03-21,108.7300033569336
2018-03-22,106.33000183105469
2018-03-23,104.69000244140625
2018-03-26,108.0
2018-03-27,107.33999633789062
2018-03-28,107.13999938964844
2018-03-29,109.69000244140625
2018-04-02,107.51000213623047
2018-04-03,107.98999786376953
2018-04-04,108.58000183105469
2018-04-05,109.01000213623047
2018-04-06,106.55000305175781
2018-04-09,106.88999938964844
2018-04-10,108.1500015258789
2018-04-11,107.2300033569336
2018-04-12,107.19999694824219
2018-04-13,107.02999877929688
2018-04-16,109.70999908447266
2018-04-17,112.12000274658203
2018-04-18,111.69999694824219
2018-04-19,110.95999908447266
2018-04-20,109.8499984741211
2018-04-23,109.80999755859375
2018-04-24,108.79000091552734
2018-04-25,107.36000061035156
2018-04-26,108.12999725341797
2018-04-27,107.41000366210938
2018-04-30,107.20999908447266
2018-05-01,108.01000213623047
2018-05-02,107.38999938964844
2018-05-03,107.80999755859375
2018-05-04,108.56999969482422
2018-05-07,108.44999694824219
2018-05-08,112.19999694824219
2018-05-09,113.87999725341797
2018-05-10,117.2699966430664
2018-05-11,117.5199966430664
2018-05-14,116.02999877929688
2018-05-15,115.61000061035156
2018-05-16,115.08999633789062
2018-05-17,113.80999755859375
2018-05-18,114.76000213623047
2018-05-21,115.54000091552734
2018-05-22,114.30999755859375
2018-05-23,116.02999877929688
2018-05-24,116.25
2018-05-25,115.91000366210938
2018-05-29,114.18000030517578
2018-05-30,116.18000030517578
2018-05-31,115.44999694824219
2018-06-01,116.27999877929688
2018-06-04,117.86000061035156
2018-06-05,117.79000091552734
2018-06-06,119.62999725341797
2018-06-07,118.7699966430664
2018-06-08,119.4000015258789
2018-06-11,117.31999969482422
2018-06-12,116.2300033569336
2018-06-13,115.73999786376953
2018-06-14,114.88999938964844
2018-06-15,114.37999725341797
2018-06-18,116.45999908447266
2018-06-19,116.16000366210938
2018-06-20,116.91000366210938
2018-06-21,116.79000091552734
2018-06-22,116.4800033569336
2018-06-25,114.45999908447266
2018-06-26,114.97000122070312
2018-06-27,113.20999908447266
2018-06-28,114.52999877929688
2018-06-29,115.0999984741211
2018-07-02,115.91000366210938
2018-07-03,116.20999908447266
2018-07-05,115.9000015258789
2018-07-06,116.58999633789062
2018-07-09,117.33999633789062
2018-07-10,117.30000305175781
2018-07-11,117.5
2018-07-12,119.4000015258789
2018-07-13,117.97000122070312
2018-07-16,117.72000122070312
2018-07-17,118.26000213623047
2018-07-18,118.16999816894531
2018-07-19,118.69000244140625
2018-07-20,118.5
2018-07-23,118.9000015258789
2018-07-24,118.1500015258789
2018-07-25,119.95999908447266
2018-07-26,119.37999725341797
2018-07-27,117.31999969482422
2018-07-30,113.0999984741211
2018-07-31,112.9800033569336
2018-08-01,112.55999755859375
2018-08-02,114.51000213623047
2018-08-03,114.98999786376953
2018-08-06,116.19999694824219
2018-08-07,129.1699981689453
2018-08-08,129.4499969482422
2018-08-09,129.72999572753906
2018-08-10,129.3699951171875
2018-08-13,129.02000427246094
2018-08-14,130.10000610351562
2018-08-15,129.86000061035156
2018-08-16,132.30999755859375
2018-08-17,133.22999572753906
2018-08-20,133.32000732421875
2018-08-21,132.85000610351562
2018-08-22,132.72000122070312
2018-08-23,133.22000122070312
2018-08-24,134.3300018310547
2018-08-27,133.8699951171875
2018-08-28,133.11000061035156
2018-08-29,135.35000610351562
2018-08-30,134.64999389648438
2018-08-31,135.13999938964844
2018-09-04,136.6199951171875
2018-09-05,135.63999938964844
2018-09-06,136.97999572753906
2018-09-07,136.1999969482422
2018-09-10,136.8300018310547
2018-09-11,136.7100067138672
2018-09-12,136.82000732421875
2018-09-13,136.86000061035156
2018-09-14,137.72000122070312
2018-09-17,134.7899932861328
2018-09-18,135.35000610351562
2018-09-19,132.66000366210938
2018-09-20,132.99000549316406
2018-09-21,132.64999389648438
2018-09-24,133.4600067138672
2018-09-25,134.14999389648438
2018-09-26,132.2899932861328
2018-09-27,131.24000549316406
2018-09-28,131.9499969482422
2018-10-01,130.07000732421875
2018-10-02,129.5800018310547
2018-10-03,129.72000122070312
2018-10-04,127.56999969482422
2018-10-05,126.9000015258789
2018-10-08,125.16000366210938
2018-10-09,125.58999633789062
2018-10-10,118.8499984741211
2018-10-11,115.7300033569336
2018-10-12,117.3499984741211
2018-10-15,115.75
2018-10-16,118.6500015258789
2018-10-17,118.80999755859375
2018-10-18,118.58999633789062
2018-10-19,116.95999908447266
2018-10-22,118.27999877929688
2018-10-23,116.87999725341797
2018-10-24,112.4800033569336
2018-10-25,116.62000274658203
2018-10-26,114.19000244140625
2018-10-29,113.30000305175781
2018-10-30,114.25
2018-10-31,116.94000244140625
2018-11-01,116.70999908447266
2018-11-02,116.30999755859375
2018-11-05,116.58000183105469
2018-11-06,105.2699966430664
2018-11-07,108.68000030517578
2018-11-08,107.5199966430664
2018-11-09,107.20999908447266
2018-11-12,106.23999786376953
2018-11-13,105.41999816894531
2018-11-14,105.5
2018-11-15,105.88999938964844
2018-11-16,104.72000122070312
2018-11-19,101.16000366210938
2018-11-20,98.41000366210938
2018-11-21,100.19999694824219
2018-11-23,98.94999694824219
2018-11-26,98.91000366210938
2018-11-27,98.69000244140625
2018-11-28,102.44000244140625
2018-11-29,101.7699966430664
2018-11-30,105.87000274658203
2018-12-03,104.6500015258789
2018-12-04,103.08999633789062
2018-12-06,100.72000122070312
2018-12-07,98.63999938964844
2018-12-10,99.37999725341797
2018-12-11,98.79000091552734
2018-12-12,99.98999786376953
2018-12-13,97.91000366210938
2018-12-14,96.62999725341797
2018-12-17,94.79000091552734
2018-12-18,96.01000213623047
2018-12-19,96.19999694824219
2018-12-20,95.66000366210938
2018-12-21,93.93000030517578
2018-12-24,91.79000091552734
2018-12-26,95.51000213623047
2018-12-27,95.86000061035156
2018-12-28,95.12999725341797
2018-12-31,96.25
2019-01-02,95.08000183105469
2019-01-03,93.6500015258789
2019-01-04,96.87999725341797
2019-01-07,97.1500015258789
2019-01-08,98.36000061035156
2019-01-09,98.5199966430664
2019-01-10,99.12000274658203
2019-01-11,98.77999877929688
2019-01-14,98.9000015258789
2019-01-15,100.04000091552734
