Date,GT
2015-07-01,27.55909538269043
2015-07-02,27.414287567138672
2015-07-06,27.188024520874023
2015-07-07,27.160873413085938
2015-07-08,26.43682098388672
2015-07-09,26.165302276611328
2015-07-10,26.237707138061523
2015-07-13,26.617835998535156
2015-07-14,27.414287567138672
2015-07-15,26.943655014038086
2015-07-16,27.504789352416992
2015-07-17,27.604347229003906
2015-07-20,27.188024520874023
2015-07-21,27.296632766723633
2015-07-22,27.278532028198242
2015-07-23,27.15181541442871
2015-07-24,26.49112892150879
2015-07-27,26.264860153198242
2015-07-28,26.771692276000977
2015-07-29,26.998416900634766
2015-07-30,26.980283737182617
2015-07-31,27.324899673461914
2015-08-03,27.388383865356445
2015-08-04,27.905319213867188
2015-08-05,28.12297248840332
2015-08-06,27.878116607666016
2015-08-07,28.014150619506836
2015-08-10,28.875699996948242
2015-08-11,28.31342315673828
2015-08-12,28.45853042602539
2015-08-13,28.911975860595703
2015-08-14,29.301944732666016
2015-08-17,29.54680824279785
2015-08-18,29.619361877441406
2015-08-19,29.220327377319336
2015-08-20,28.24087142944336
2015-08-21,26.554039001464844
2015-08-24,25.474830627441406
2015-08-25,25.239030838012695
2015-08-26,25.828514099121094
2015-08-27,26.245691299438477
2015-08-28,26.771696090698242
2015-08-31,26.998416900634766
2015-09-01,26.00083351135254
2015-09-02,26.572174072265625
2015-09-03,26.934938430786133
2015-09-04,26.499624252319336
2015-09-08,27.288623809814453
2015-09-09,27.10724639892578
2015-09-10,27.134449005126953
2015-09-11,26.826107025146484
2015-09-14,26.58124351501465
2015-09-15,26.880521774291992
2015-09-16,28.02321434020996
2015-09-17,28.2045955657959
2015-09-18,27.624177932739258
2015-09-21,27.823699951171875
2015-09-22,26.807968139648438
2015-09-23,26.817033767700195
2015-09-24,26.472415924072266
2015-09-25,26.962141036987305
2015-09-28,25.728757858276367
2015-09-29,25.683414459228516
2015-09-30,26.599382400512695
2015-10-01,26.68100929260254
2015-10-02,26.508691787719727
2015-10-05,27.415592193603516
2015-10-06,27.560697555541992
2015-10-07,28.322492599487305
2015-10-08,28.857563018798828
2015-10-09,28.911975860595703
2015-10-12,28.821287155151367
2015-10-13,28.70339012145996
2015-10-14,29.02080535888672
2015-10-15,29.356359481811523
2015-10-16,29.637496948242188
2015-10-19,29.292877197265625
2015-10-20,29.54680824279785
2015-10-21,29.46518898010254
2015-10-22,29.537736892700195
2015-10-23,29.900497436523438
2015-10-26,30.045604705810547
2015-10-27,29.44705581665039
2015-10-28,30.29046630859375
