Date,SCHW
2015-07-01,29.00629425048828
2015-07-02,28.769821166992188
2015-07-06,28.46330451965332
2015-07-07,28.36696434020996
2015-07-08,27.61378288269043
2015-07-09,28.183046340942383
2015-07-10,28.752315521240234
2015-07-13,29.31282615661621
2015-07-14,29.575557708740234
2015-07-15,29.470460891723633
2015-07-16,30.44258689880371
2015-07-17,30.468870162963867
2015-07-20,30.64403533935547
2015-07-21,30.591482162475586
2015-07-22,30.871736526489258
2015-07-23,30.617746353149414
2015-07-24,30.486392974853516
2015-07-27,29.847055435180664
2015-07-28,30.197372436523438
2015-07-29,30.495153427124023
2015-07-30,30.819194793701172
2015-07-31,30.54770278930664
2015-08-03,30.390052795410156
2015-08-04,30.836708068847656
2015-08-05,31.03848648071289
2015-08-06,30.792837142944336
2015-08-07,30.731430053710938
2015-08-10,31.073562622070312
2015-08-11,30.477018356323242
2015-08-12,29.696231842041016
2015-08-13,29.880455017089844
2015-08-14,30.117341995239258
2015-08-17,29.8629207611084
2015-08-18,29.75763511657715
2015-08-19,29.038257598876953
2015-08-20,28.239927291870117
2015-08-21,27.13454818725586
2015-08-24,25.923887252807617
2015-08-25,25.265926361083984
2015-08-26,26.090566635131836
2015-08-27,26.634489059448242
2015-08-28,26.93277359008789
2015-08-31,26.652029037475586
2015-09-01,25.52033233642578
2015-09-02,25.79229164123535
2015-09-03,26.108118057250977
2015-09-04,25.52910804748535
2015-09-08,27.28368377685547
2015-09-09,26.82749366760254
2015-09-10,26.84503746032715
2015-09-11,26.74853515625
2015-09-14,26.52043914794922
2015-09-15,27.03804588317871
2015-09-16,27.29245948791504
2015-09-17,26.125659942626953
2015-09-18,24.9588680267334
2015-09-21,25.48524284362793
2015-09-22,24.853601455688477
2015-09-23,24.985191345214844
2015-09-24,24.45881462097168
2015-09-25,24.93254280090332
2015-09-28,23.932445526123047
2015-09-29,24.19562530517578
2015-09-30,25.055368423461914
2015-10-01,25.046592712402344
2015-10-02,24.213171005249023
2015-10-05,24.88868522644043
2015-10-06,24.265810012817383
2015-10-07,24.678133010864258
2015-10-08,24.853601455688477
2015-10-09,24.757091522216797
2015-10-12,24.906230926513672
2015-10-13,24.64303970336914
2015-10-14,24.37108612060547
2015-10-15,25.090463638305664
2015-10-16,25.16064453125
2015-10-19,25.002731323242188
2015-10-20,25.74842643737793
2015-10-21,25.31855583190918
2015-10-22,25.836156845092773
2015-10-23,26.69590187072754
2015-10-26,26.713443756103516
2015-10-27,26.187070846557617
2015-10-28,27.143320083618164
2015-10-29,27.195955276489258
2015-10-30,26.774858474731445
2015-11-02,27.520557403564453
2015-11-03,27.625825881958008
2015-11-04,27.63461685180664
2015-11-05,27.74888038635254
2015-11-06,29.454059600830078
2015-11-09,29.436494827270508
2015-11-10,29.295856475830078
2015-11-11,29.471647262573242
2015-11-12,28.82122039794922
2015-11-13,28.39931869506836
2015-11-16,28.645423889160156
2015-11-17,28.83880043029785
2015-11-18,29.35738754272461
2015-11-19,29.04096031188965
2015-11-20,29.30463981628418
2015-11-23,29.260698318481445
2015-11-24,29.445287704467773
2015-11-25,29.61227798461914
2015-11-27,29.656234741210938
2015-11-30,29.629867553710938
2015-12-01,29.90234375
2015-12-02,29.524389266967773
2015-12-03,28.988224029541016
2015-12-04,30.333030700683594
2015-12-07,29.955078125
2015-12-08,29.76170539855957
2015-12-09,28.979429244995117
2015-12-10,29.234325408935547
2015-12-11,27.92467498779297
2015-12-14,28.346574783325195
2015-12-15,29.164016723632812
2015-12-16,29.717761993408203
2015-12-17,29.19037628173828
2015-12-18,28.047727584838867
2015-12-21,28.311416625976562
2015-12-22,28.917903900146484
2015-12-23,29.058544158935547
2015-12-24,29.049741744995117
2015-12-28,29.10248374938965
2015-12-29,29.498023986816406
2015-12-30,29.22553825378418
2015-12-31,28.944276809692383
2016-01-04,28.10926055908203
2016-01-05,28.021364212036133
2016-01-06,27.06328582763672
2016-01-07,25.648162841796875
2016-01-08,25.48995018005371
2016-01-11,25.261417388916016
2016-01-12,25.700897216796875
2016-01-13,24.356081008911133
2016-01-14,24.716447830200195
2016-01-15,23.749597549438477
2016-01-19,23.301328659057617
2016-01-20,22.211408615112305
2016-01-21,21.42913246154785
2016-01-22,22.703628540039062
2016-01-25,22.123517990112305
2016-01-26,22.36962127685547
2016-01-27,22.193830490112305
2016-01-28,21.815876007080078
2016-01-29,22.43994140625
