Date,MSCI
2018-01-02,127.68000030517578
2018-01-03,129.6199951171875
2018-01-04,131.66000366210938
2018-01-05,133.02999877929688
2018-01-08,133.2100067138672
2018-01-09,134.10000610351562
2018-01-10,133.75
2018-01-11,134.75999450683594
2018-01-12,135.88999938964844
2018-01-16,134.3300018310547
2018-01-17,135.8000030517578
2018-01-18,136.82000732421875
2018-01-19,138.25
2018-01-22,139.27000427246094
2018-01-23,140.10000610351562
2018-01-24,138.07000732421875
2018-01-25,137.86000061035156
2018-01-26,140.57000732421875
2018-01-29,138.0500030517578
2018-01-30,138.3000030517578
2018-01-31,139.22999572753906
2018-02-01,146.32000732421875
2018-02-02,142.52999877929688
2018-02-05,135.67999267578125
2018-02-06,138.88999938964844
2018-02-07,139.75999450683594
2018-02-08,133.80999755859375
2018-02-09,136.47999572753906
2018-02-12,137.52999877929688
2018-02-13,140.58999633789062
2018-02-14,145.64999389648438
2018-02-15,148.22999572753906
2018-02-16,145.0
2018-02-20,144.3800048828125
2018-02-21,142.7899932861328
2018-02-22,142.8699951171875
2018-02-23,144.99000549316406
2018-02-26,144.4199981689453
2018-02-27,142.83999633789062
2018-02-28,141.52000427246094
2018-03-01,142.64999389648438
2018-03-02,143.32000732421875
2018-03-05,145.92999267578125
2018-03-06,148.99000549316406
2018-03-07,148.3000030517578
2018-03-08,150.5800018310547
2018-03-09,153.1199951171875
2018-03-12,154.0500030517578
2018-03-13,151.63999938964844
2018-03-14,154.42999267578125
2018-03-15,154.9499969482422
2018-03-16,154.97999572753906
2018-03-19,155.3800048828125
2018-03-20,158.0800018310547
2018-03-21,158.25999450683594
2018-03-22,156.1300048828125
2018-03-23,154.07000732421875
2018-03-26,158.6699981689453
2018-03-27,154.0399932861328
2018-03-28,150.5500030517578
2018-03-29,149.47000122070312
2018-04-02,145.94000244140625
2018-04-03,145.7100067138672
2018-04-04,146.6999969482422
2018-04-05,146.50999450683594
2018-04-06,144.0500030517578
2018-04-09,146.6300048828125
2018-04-10,149.0500030517578
2018-04-11,148.25
2018-04-12,149.3000030517578
2018-04-13,147.61000061035156
2018-04-16,149.17999267578125
2018-04-17,150.1199951171875
2018-04-18,150.42999267578125
