Date,VRSN
2015-07-01,62.519935607910156
2015-07-02,62.095237731933594
2015-07-06,62.00634765625
2015-07-07,62.32240295410156
2015-07-08,60.742122650146484
2015-07-09,61.44336700439453
2015-07-10,62.411293029785156
2015-07-13,63.27056884765625
2015-07-14,63.39897155761719
2015-07-15,63.50761795043945
2015-07-16,64.14960479736328
2015-07-17,64.21874237060547
2015-07-20,64.72245788574219
2015-07-21,64.27799987792969
2015-07-22,65.03852081298828
2015-07-23,65.2064208984375
2015-07-24,66.89534759521484
2015-07-27,67.09288787841797
2015-07-28,69.10774230957031
2015-07-29,69.67072296142578
2015-07-30,70.15467834472656
2015-07-31,70.0657958984375
2015-08-03,69.75960540771484
2015-08-04,70.00653076171875
2015-08-05,70.1941909790039
2015-08-06,69.74974060058594
2015-08-07,70.02628326416016
2015-08-10,70.49049377441406
2015-08-11,69.98677825927734
2015-08-12,69.8485107421875
2015-08-13,69.74974060058594
2015-08-14,70.21393585205078
2015-08-17,70.31270599365234
2015-08-18,70.05591583251953
2015-08-19,69.71023559570312
2015-08-20,68.2978515625
2015-08-21,66.97435760498047
2015-08-24,65.1274185180664
2015-08-25,65.10765075683594
2015-08-26,67.24104309082031
2015-08-27,68.98921966552734
2015-08-28,68.69293212890625
2015-08-31,68.09043884277344
2015-09-01,65.73975372314453
2015-09-02,67.20153045654297
2015-09-03,67.38919067382812
2015-09-04,66.30274963378906
2015-09-08,67.38919067382812
2015-09-09,67.26078796386719
2015-09-10,67.9422836303711
2015-09-11,68.30772399902344
2015-09-14,68.36698913574219
2015-09-15,69.29541015625
2015-09-16,69.73986053466797
2015-09-17,69.621337890625
2015-09-18,69.0879898071289
2015-09-21,70.22381591796875
2015-09-22,69.02873229980469
2015-09-23,69.38429260253906
2015-09-24,68.7423095703125
2015-09-25,68.45587921142578
2015-09-28,66.80645751953125
2015-09-29,67.34969329833984
2015-09-30,69.69046783447266
2015-10-01,70.53987121582031
2015-10-02,72.40657806396484
2015-10-05,73.95723724365234
2015-10-06,72.36707305908203
2015-10-07,73.62142944335938
2015-10-08,73.78932189941406
2015-10-09,74.14488983154297
2015-10-12,74.3720703125
2015-10-13,73.65106201171875
2015-10-14,73.41401672363281
2015-10-15,73.73995208740234
2015-10-16,73.74981689453125
2015-10-19,74.5696029663086
2015-10-20,74.85603332519531
2015-10-21,73.54241943359375
2015-10-22,74.48070526123047
2015-10-23,79.19192504882812
2015-10-26,79.47835540771484
2015-10-27,78.84623718261719
2015-10-28,79.90304565429688
2015-10-29,79.74502563476562
2015-10-30,79.60674285888672
2015-11-02,80.71295166015625
2015-11-03,79.93267822265625
2015-11-04,80.27836608886719
2015-11-05,80.29812622070312
2015-11-06,81.49320983886719
2015-11-09,80.23885345458984
2015-11-10,80.71295166015625
2015-11-11,81.5129623413086
2015-11-12,81.23640441894531
2015-11-13,80.55491638183594
2015-11-16,82.34261322021484
2015-11-17,82.88582611083984
2015-11-18,85.20687866210938
2015-11-19,85.53280639648438
2015-11-20,89.18721771240234
2015-11-23,89.06868743896484
2015-11-24,87.44890594482422
2015-11-25,88.2884292602539
2015-11-27,88.19954681396484
2015-11-30,88.33782196044922
2015-12-01,89.7798080444336
2015-12-02,88.40694427490234
2015-12-03,90.90577697753906
2015-12-04,91.97246551513672
2015-12-07,91.3502197265625
2015-12-08,91.42923736572266
2015-12-09,90.15513610839844
2015-12-10,89.75019073486328
2015-12-11,87.94274139404297
2015-12-14,87.76495361328125
2015-12-15,88.86128234863281
2015-12-16,88.90079498291016
2015-12-17,86.76741027832031
2015-12-18,85.3747787475586
2015-12-21,85.74021911621094
2015-12-22,86.49085235595703
2015-12-23,86.718017578125
2015-12-24,86.69827270507812
2015-12-28,86.80691528320312
2015-12-29,87.64643859863281
2015-12-30,87.0538330078125
2015-12-31,86.283447265625
2016-01-04,82.91546630859375
2016-01-05,80.40677642822266
2016-01-06,80.02156829833984
2016-01-07,79.55736541748047
2016-01-08,77.18694305419922
2016-01-11,77.10792541503906
2016-01-12,78.31289672851562
2016-01-13,75.1523208618164
2016-01-14,74.7177505493164
2016-01-15,73.33499908447266
2016-01-19,73.6806869506836
2016-01-20,73.22635650634766
2016-01-21,72.93993377685547
2016-01-22,74.28317260742188
2016-01-25,73.70044708251953
2016-01-26,74.22391510009766
2016-01-27,73.81895446777344
2016-01-28,76.130126953125
2016-01-29,74.66836547851562
2016-02-01,74.7177505493164
2016-02-02,73.32512664794922
2016-02-03,75.2609634399414
2016-02-04,76.06098937988281
2016-02-05,74.73750305175781
2016-02-08,70.88555145263672
2016-02-09,71.72509002685547
2016-02-10,72.88066864013672
2016-02-11,73.24610900878906
2016-02-12,76.02147674560547
2016-02-16,78.69808197021484
2016-02-17,80.4462661743164
2016-02-18,79.62650299072266
2016-02-19,79.6758804321289
2016-02-22,82.95496368408203
2016-02-23,81.47345733642578
2016-02-24,82.1747055053711
2016-02-25,83.29078674316406
2016-02-26,84.82167053222656
2016-02-29,83.44880676269531
2016-03-01,86.30319213867188
2016-03-02,86.46122741699219
2016-03-03,87.54766082763672
2016-03-04,88.04151153564453
2016-03-07,86.90567779541016
2016-03-08,86.0365219116211
2016-03-09,85.88837432861328
2016-03-10,86.10566711425781
2016-03-11,87.17234802246094
2016-03-14,86.64888000488281
2016-03-15,87.39950561523438
2016-03-16,88.41682434082031
2016-03-17,88.81189727783203
2016-03-18,87.4686508178711
2016-03-21,87.4884033203125
2016-03-22,88.24891662597656
2016-03-23,87.79458618164062
2016-03-24,88.15015411376953
2016-03-28,87.36988830566406
2016-03-29,88.01187896728516
2016-03-30,88.4859619140625
2016-03-31,87.44890594482422
2016-04-01,88.53534698486328
2016-04-04,88.44645690917969
2016-04-05,87.6167984008789
2016-04-06,88.73287200927734
2016-04-07,88.4859619140625
2016-04-08,88.65386199951172
2016-04-11,87.98225402832031
2016-04-12,87.5180435180664
2016-04-13,88.41682434082031
2016-04-14,88.01187896728516
2016-04-15,87.60692596435547
2016-04-18,88.55509948730469
2016-04-19,87.69581604003906
2016-04-20,88.18966674804688
2016-04-21,87.43902587890625
2016-04-22,87.54766082763672
2016-04-25,88.17977905273438
2016-04-26,88.06126403808594
2016-04-27,88.30818939208984
2016-04-28,88.31805419921875
2016-04-29,85.33527374267578
2016-05-02,87.04395294189453
2016-05-03,86.08590698242188
2016-05-04,83.88339233398438
2016-05-05,83.36979675292969
2016-05-06,84.14018249511719
2016-05-09,83.45868682861328
2016-05-10,84.55500793457031
2016-05-11,83.7352294921875
2016-05-12,83.91301727294922
2016-05-13,83.67597961425781
2016-05-16,84.1006851196289
2016-05-17,82.49076080322266
2016-05-18,82.66854095458984
2016-05-19,81.87841033935547
2016-05-20,82.13520050048828
2016-05-23,82.2240982055664
2016-05-24,83.51793670654297
2016-05-25,83.27103424072266
2016-05-26,83.71548461914062
2016-05-27,83.90314483642578
2016-05-31,84.40685272216797
2016-06-01,84.32784271240234
2016-06-02,84.2685775756836
2016-06-03,83.56732940673828
2016-06-06,83.77474212646484
2016-06-07,83.83399963378906
2016-06-08,83.86363983154297
2016-06-09,84.0512924194336
2016-06-10,83.6167221069336
2016-06-13,82.41175079345703
2016-06-14,83.94264221191406
2016-06-15,83.82413482666016
2016-06-16,84.09080505371094
2016-06-17,83.31053924560547
2016-06-20,84.6241455078125
2016-06-21,85.3747787475586
2016-06-22,84.9303207397461
2016-06-23,86.20442199707031
