Date,NKE
2015-07-01,47.604793548583984
2015-07-02,47.79620361328125
2015-07-06,47.78316116333008
2015-07-07,48.41393280029297
2015-07-08,47.535186767578125
2015-07-09,47.609130859375
2015-07-10,48.07897186279297
2015-07-13,48.90115737915039
2015-07-14,48.870704650878906
2015-07-15,48.679298400878906
2015-07-16,48.870704650878906
2015-07-17,49.07083511352539
2015-07-20,49.214385986328125
2015-07-21,49.153480529785156
2015-07-22,49.63200759887695
2015-07-23,49.59286117553711
2015-07-24,49.153480529785156
2015-07-27,48.6053466796875
2015-07-28,49.36229705810547
2015-07-29,49.993072509765625
2015-07-30,50.03223419189453
2015-07-31,50.12359619140625
2015-08-03,49.95393753051758
2015-08-04,50.362850189208984
2015-08-05,50.78916931152344
2015-08-06,50.080081939697266
2015-08-07,49.814727783203125
2015-08-10,50.18449401855469
2015-08-11,49.792972564697266
2015-08-12,49.18393325805664
2015-08-13,49.41884231567383
2015-08-14,49.74946594238281
2015-08-17,50.01917266845703
2015-08-18,49.949588775634766
2015-08-19,50.01047134399414
2015-08-20,48.853309631347656
2015-08-21,46.49112319946289
2015-08-24,45.18605422973633
2015-08-25,45.03814697265625
2015-08-26,47.31333541870117
2015-08-27,48.99252700805664
2015-08-28,48.94032669067383
2015-08-31,48.61405563354492
2015-09-01,47.25676345825195
2015-09-02,48.15727996826172
2015-09-03,48.34481430053711
2015-09-04,47.83890151977539
2015-09-08,48.737327575683594
2015-09-09,47.91304016113281
2015-09-10,48.13983154296875
2015-09-11,48.76785659790039
2015-09-14,48.79838180541992
2015-09-15,49.64883041381836
2015-09-16,50.40769577026367
2015-09-17,50.27249526977539
2015-09-18,50.176544189453125
2015-09-21,50.83509063720703
2015-09-22,50.57778549194336
2015-09-23,50.342281341552734
2015-09-24,50.06316375732422
2015-09-25,54.516021728515625
2015-09-28,53.268699645996094
2015-09-29,52.19145584106445
2015-09-30,53.630680084228516
2015-10-01,54.005760192871094
2015-10-02,54.607601165771484
2015-10-05,54.197669982910156
2015-10-06,53.72663116455078
2015-10-07,53.25126266479492
2015-10-08,54.47676467895508
2015-10-09,54.489864349365234
2015-10-12,55.13968276977539
2015-10-13,54.86927795410156
2015-10-14,54.88237380981445
2015-10-15,56.16895294189453
2015-10-16,56.90163803100586
2015-10-19,58.09663772583008
2015-10-20,57.73028564453125
2015-10-21,57.773902893066406
2015-10-22,57.74774169921875
2015-10-23,56.927818298339844
2015-10-26,57.29854202270508
2015-10-27,57.054283142089844
2015-10-28,57.25926208496094
2015-10-29,57.185123443603516
2015-10-30,57.14588165283203
2015-11-02,57.21565246582031
2015-11-03,57.3072395324707
2015-11-04,56.85367202758789
2015-11-05,57.507869720458984
2015-11-06,57.47296905517578
2015-11-09,56.90599822998047
2015-11-10,56.6966667175293
2015-11-11,55.571449279785156
2015-11-12,54.94342803955078
2015-11-13,53.146583557128906
2015-11-16,53.844390869140625
2015-11-17,53.460594177246094
2015-11-18,54.85620880126953
2015-11-19,54.85620880126953
2015-11-20,57.8524055480957
