Date,DOC
2015-07-01,18.753686904907227
2015-07-02,18.784164428710938
2015-07-06,18.86543846130371
2015-07-07,19.276878356933594
2015-07-08,19.23624038696289
2015-07-09,19.11941146850586
2015-07-10,19.19561195373535
2015-07-13,19.271791458129883
2015-07-14,19.20576286315918
2015-07-15,19.022907257080078
2015-07-16,19.200685501098633
2015-07-17,19.048301696777344
2015-07-20,19.165122985839844
2015-07-21,19.06861686706543
2015-07-22,19.281959533691406
2015-07-23,19.165122985839844
2015-07-24,19.31243133544922
2015-07-27,19.464818954467773
2015-07-28,19.627368927001953
2015-07-29,19.68832778930664
2015-07-30,19.429262161254883
2015-07-31,19.627368927001953
2015-08-03,19.739120483398438
2015-08-04,19.739120483398438
2015-08-05,19.596895217895508
2015-08-06,19.563385009765625
2015-08-07,19.604618072509766
2015-08-10,19.501522064208984
2015-08-11,19.609777450561523
2015-08-12,20.408811569213867
2015-08-13,20.46552085876465
2015-08-14,20.707809448242188
2015-08-17,20.991334915161133
2015-08-18,20.95525550842285
2015-08-19,20.98101806640625
2015-08-20,20.883073806762695
2015-08-21,20.584081649780273
2015-08-24,19.790205001831055
2015-08-25,18.970558166503906
2015-08-26,19.336566925048828
2015-08-27,19.55821990966797
2015-08-28,19.434511184692383
2015-08-31,19.104583740234375
2015-09-01,18.882917404174805
2015-09-02,18.934467315673828
2015-09-03,18.857139587402344
2015-09-04,18.3931884765625
2015-09-08,18.83652114868164
2015-09-09,18.5736083984375
2015-09-10,18.480823516845703
2015-09-11,18.60454750061035
2015-09-14,18.779809951782227
2015-09-15,19.078811645507812
2015-09-16,19.4241943359375
2015-09-17,19.78505516052246
2015-09-18,19.898468017578125
2015-09-21,19.924238204956055
2015-09-22,19.74380874633789
2015-09-23,19.87784194946289
2015-09-24,19.800519943237305
2015-09-25,19.795360565185547
2015-09-28,18.98086166381836
2015-09-29,19.23345947265625
2015-09-30,19.202531814575195
2015-10-01,19.2231502532959
2015-10-02,19.357187271118164
2015-10-05,19.821138381958008
2015-10-06,19.87268829345703
2015-10-07,20.027341842651367
2015-10-08,20.25931739807129
2015-10-09,20.161365509033203
2015-10-12,20.212913513183594
2015-10-13,20.047958374023438
2015-10-14,19.728351593017578
2015-10-15,19.86237907409668
2015-10-16,20.099506378173828
2015-10-19,20.26447296142578
2015-10-20,20.202606201171875
2015-10-21,20.31085968017578
