Date,HD
2015-07-01,112.06999969482422
2015-07-02,111.48999786376953
2015-07-06,111.31999969482422
2015-07-07,112.4000015258789
2015-07-08,111.0
2015-07-09,111.37999725341797
2015-07-10,113.0999984741211
2015-07-13,114.9000015258789
2015-07-14,115.36000061035156
2015-07-15,115.58000183105469
2015-07-16,114.7300033569336
2015-07-17,114.47000122070312
2015-07-20,113.41000366210938
2015-07-21,113.86000061035156
2015-07-22,114.9000015258789
2015-07-23,114.58999633789062
2015-07-24,113.58999633789062
2015-07-27,113.06999969482422
2015-07-28,114.83999633789062
2015-07-29,116.37000274658203
2015-07-30,116.45999908447266
2015-07-31,117.02999877929688
2015-08-03,116.88999938964844
2015-08-04,117.52999877929688
2015-08-05,118.0
2015-08-06,116.55999755859375
2015-08-07,116.93000030517578
2015-08-10,117.5999984741211
2015-08-11,117.69000244140625
2015-08-12,117.69000244140625
2015-08-13,119.0199966430664
2015-08-14,119.75
2015-08-17,119.69999694824219
2015-08-18,122.80000305175781
2015-08-19,122.76000213623047
2015-08-20,120.54000091552734
2015-08-21,116.16000366210938
2015-08-24,112.54000091552734
2015-08-25,110.97000122070312
2015-08-26,115.93000030517578
2015-08-27,117.66000366210938
2015-08-28,117.5199966430664
2015-08-31,116.45999908447266
2015-09-01,113.06999969482422
2015-09-02,116.4800033569336
2015-09-03,116.5999984741211
2015-09-04,114.41999816894531
2015-09-08,116.43000030517578
2015-09-09,113.97000122070312
2015-09-10,114.48999786376953
2015-09-11,115.44000244140625
2015-09-14,114.7300033569336
2015-09-15,116.18000030517578
2015-09-16,117.81999969482422
2015-09-17,117.91000366210938
2015-09-18,115.12000274658203
2015-09-21,116.58000183105469
2015-09-22,115.80000305175781
2015-09-23,116.16999816894531
2015-09-24,116.33999633789062
2015-09-25,116.73999786376953
2015-09-28,114.0999984741211
2015-09-29,112.91000366210938
2015-09-30,115.48999786376953
2015-10-01,117.02999877929688
2015-10-02,117.80999755859375
2015-10-05,119.19999694824219
2015-10-06,118.68000030517578
2015-10-07,119.6500015258789
2015-10-08,121.05999755859375
2015-10-09,121.33000183105469
2015-10-12,121.9000015258789
2015-10-13,121.61000061035156
2015-10-14,120.2699966430664
2015-10-15,121.80999755859375
2015-10-16,122.73999786376953
2015-10-19,123.0999984741211
2015-10-20,122.8499984741211
2015-10-21,123.30000305175781
2015-10-22,124.36000061035156
2015-10-23,124.61000061035156
2015-10-26,125.01000213623047
2015-10-27,124.47000122070312
2015-10-28,123.81999969482422
2015-10-29,123.62999725341797
2015-10-30,123.63999938964844
2015-11-02,124.41000366210938
2015-11-03,125.66000366210938
2015-11-04,125.37999725341797
2015-11-05,125.72000122070312
2015-11-06,125.9800033569336
2015-11-09,124.5
2015-11-10,125.26000213623047
2015-11-11,124.70999908447266
2015-11-12,123.80999755859375
2015-11-13,120.0
2015-11-16,120.83999633789062
2015-11-17,126.18000030517578
2015-11-18,126.54000091552734
2015-11-19,126.86000061035156
2015-11-20,130.2100067138672
2015-11-23,132.5
2015-11-24,133.60000610351562
2015-11-25,134.64999389648438
2015-11-27,134.74000549316406
2015-11-30,133.8800048828125
2015-12-01,134.42999267578125
2015-12-02,133.80999755859375
2015-12-03,130.92999267578125
2015-12-04,134.52999877929688
2015-12-07,133.92999267578125
2015-12-08,133.83999633789062
2015-12-09,131.89999389648438
2015-12-10,132.5399932861328
2015-12-11,130.44000244140625
2015-12-14,132.00999450683594
2015-12-15,131.2899932861328
2015-12-16,132.89999389648438
2015-12-17,131.35000610351562
2015-12-18,130.2899932861328
2015-12-21,131.30999755859375
2015-12-22,131.8800048828125
2015-12-23,133.11000061035156
2015-12-24,132.89999389648438
2015-12-28,132.67999267578125
2015-12-29,133.6999969482422
2015-12-30,133.35000610351562
2015-12-31,132.25
2016-01-04,131.07000732421875
2016-01-05,130.42999267578125
2016-01-06,129.0800018310547
2016-01-07,125.4000015258789
2016-01-08,123.9000015258789
2016-01-11,125.77999877929688
2016-01-12,127.48999786376953
2016-01-13,121.4000015258789
2016-01-14,119.62000274658203
2016-01-15,119.2300033569336
2016-01-19,119.76000213623047
2016-01-20,116.45999908447266
2016-01-21,120.22000122070312
2016-01-22,122.76000213623047
2016-01-25,121.70999908447266
2016-01-26,122.19999694824219
2016-01-27,121.56999969482422
2016-01-28,122.27999877929688
2016-01-29,125.76000213623047
2016-02-01,126.51000213623047
2016-02-02,125.2699966430664
2016-02-03,123.79000091552734
2016-02-04,121.11000061035156
2016-02-05,116.43000030517578
2016-02-08,111.8499984741211
2016-02-09,113.86000061035156
2016-02-10,114.33000183105469
2016-02-11,113.2699966430664
2016-02-12,116.31999969482422
2016-02-16,119.43000030517578
2016-02-17,121.20999908447266
2016-02-18,119.97000122070312
2016-02-19,121.69000244140625
2016-02-22,122.8499984741211
2016-02-23,124.52999877929688
2016-02-24,125.61000061035156
2016-02-25,126.86000061035156
2016-02-26,126.26000213623047
2016-02-29,124.12000274658203
2016-03-01,125.69999694824219
2016-03-02,125.58999633789062
2016-03-03,126.80000305175781
2016-03-04,125.55999755859375
2016-03-07,126.16999816894531
2016-03-08,126.72000122070312
2016-03-09,126.02999877929688
2016-03-10,125.88999938964844
2016-03-11,128.4600067138672
2016-03-14,128.83999633789062
2016-03-15,129.7100067138672
2016-03-16,130.4499969482422
2016-03-17,130.8800048828125
2016-03-18,131.35000610351562
2016-03-21,131.00999450683594
2016-03-22,130.58999633789062
2016-03-23,130.22000122070312
2016-03-24,130.4600067138672
2016-03-28,131.0800018310547
2016-03-29,132.47000122070312
2016-03-30,133.4199981689453
2016-03-31,133.42999267578125
2016-04-01,134.85000610351562
2016-04-04,134.85000610351562
2016-04-05,134.5800018310547
2016-04-06,135.44000244140625
2016-04-07,133.8699951171875
2016-04-08,133.6199951171875
2016-04-11,133.00999450683594
2016-04-12,134.3800048828125
2016-04-13,133.83999633789062
2016-04-14,134.3699951171875
2016-04-15,135.00999450683594
2016-04-18,136.8000030517578
2016-04-19,135.44000244140625
2016-04-20,135.19000244140625
2016-04-21,134.60000610351562
2016-04-22,135.66000366210938
2016-04-25,135.64999389648438
2016-04-26,135.33999633789062
2016-04-27,135.75
2016-04-28,132.72999572753906
2016-04-29,133.88999938964844
2016-05-02,136.0500030517578
2016-05-03,134.5399932861328
2016-05-04,135.16000366210938
2016-05-05,134.6699981689453
2016-05-06,135.6999969482422
2016-05-09,136.24000549316406
2016-05-10,137.50999450683594
2016-05-11,134.3000030517578
2016-05-12,134.19000244140625
2016-05-13,133.1300048828125
2016-05-16,135.33999633789062
2016-05-17,132.0
2016-05-18,131.77000427246094
