Date,MRK
2015-07-01,39.37112045288086
2015-07-02,39.41895294189453
2015-07-06,39.336936950683594
2015-07-07,39.63767623901367
2015-07-08,39.200225830078125
2015-07-09,39.22072982788086
2015-07-10,39.61033630371094
2015-07-13,39.5556526184082
2015-07-14,39.774391174316406
2015-07-15,39.79488754272461
2015-07-16,40.205013275146484
2015-07-17,40.205013275146484
2015-07-20,40.328041076660156
2015-07-21,40.102481842041016
2015-07-22,39.73337173461914
2015-07-23,39.69236373901367
2015-07-24,39.24123001098633
2015-07-27,38.95415496826172
2015-07-28,39.31642532348633
2015-07-29,40.01361846923828
2015-07-30,39.99995422363281
2015-07-31,40.300697326660156
2015-08-03,40.362220764160156
2015-08-04,40.12297439575195
2015-08-05,40.396392822265625
2015-08-06,39.938438415527344
2015-08-07,39.62400817871094
2015-08-10,39.92475509643555
2015-08-11,39.48048782348633
2015-08-12,39.82223892211914
2015-08-13,40.314369201660156
2015-08-14,40.451072692871094
2015-08-17,40.81334686279297
2015-08-18,40.77915573120117
2015-08-19,40.77915573120117
2015-08-20,38.92681121826172
2015-08-21,38.12025451660156
2015-08-24,36.9035758972168
2015-08-25,34.97603225708008
2015-08-26,37.19749450683594
2015-08-27,37.55975341796875
2015-08-28,37.84684753417969
2015-08-31,36.80787658691406
2015-09-01,35.90563201904297
2015-09-02,36.213218688964844
2015-09-03,35.987648010253906
2015-09-04,35.263126373291016
2015-09-08,36.01499938964844
2015-09-09,35.495506286621094
2015-09-10,36.035499572753906
2015-09-11,35.911407470703125
2015-09-14,36.08375930786133
2015-09-15,36.91794967651367
2015-09-16,37.138553619384766
2015-09-17,37.200599670410156
2015-09-18,35.938987731933594
2015-09-21,35.14615249633789
2015-09-22,34.98069763183594
2015-09-23,35.180625915527344
2015-09-24,34.87728500366211
2015-09-25,34.19478225708008
2015-09-28,33.38127136230469
2015-09-29,33.53983688354492
2015-09-30,34.05000305175781
2015-10-01,34.036216735839844
2015-10-02,34.567054748535156
2015-10-05,35.318519592285156
2015-10-06,34.33265686035156
2015-10-07,35.12547302246094
2015-10-08,35.173736572265625
2015-10-09,35.12547302246094
2015-10-12,34.96002197265625
2015-10-13,34.10514831542969
2015-10-14,34.15341567993164
2015-10-15,34.9669075012207
2015-10-16,35.49086380004883
2015-10-19,35.43571090698242
2015-10-20,34.73940658569336
2015-10-21,34.87728500366211
2015-10-22,35.85626983642578
2015-10-23,36.45603942871094
2015-10-26,36.47671127319336
2015-10-27,36.86279296875
2015-10-28,37.986534118652344
2015-10-29,37.82796859741211
2015-10-30,37.68319320678711
2015-11-02,37.99342727661133
2015-11-03,37.99342727661133
2015-11-04,38.2829704284668
2015-11-05,37.952064514160156
2015-11-06,37.64872360229492
2015-11-09,37.393646240234375
2015-11-10,37.524627685546875
2015-11-11,37.0351448059082
2015-11-12,36.559452056884766
2015-11-13,36.559452056884766
2015-11-16,37.0213623046875
2015-11-17,37.02825164794922
2015-11-18,37.38673782348633
2015-11-19,37.42121124267578
2015-11-20,37.29711151123047
2015-11-23,37.23508071899414
2015-11-24,36.86968994140625
2015-11-25,37.0351448059082
2015-11-27,37.200599670410156
2015-11-30,36.5456657409668
2015-12-01,37.62114715576172
2015-12-02,37.104087829589844
2015-12-03,36.25611877441406
2015-12-04,36.97998046875
2015-12-07,37.0075798034668
2015-12-08,36.86279296875
2015-12-09,36.414676666259766
2015-12-10,37.014461517333984
2015-12-11,36.263458251953125
2015-12-14,36.2982292175293
2015-12-15,36.78499221801758
2015-12-16,37.56380081176758
2015-12-17,36.61810302734375
2015-12-18,35.908836364746094
2015-12-21,36.06875991821289
2015-12-22,36.228702545166016
2015-12-23,36.84062194824219
2015-12-24,36.75022888183594
2015-12-28,36.74327850341797
2015-12-29,37.0909538269043
2015-12-30,37.02836990356445
2015-12-31,36.72936248779297
2016-01-04,36.49292755126953
2016-01-05,36.958831787109375
2016-01-06,36.45121383666992
2016-01-07,36.131343841552734
2016-01-08,35.51941680908203
2016-01-11,35.63763427734375
2016-01-12,35.99227523803711
2016-01-13,35.227359771728516
2016-01-14,36.02009582519531
2016-01-15,35.56114196777344
2016-01-19,35.70021057128906
2016-01-20,35.15087890625
2016-01-21,35.408164978027344
2016-01-22,35.707176208496094
2016-01-25,35.408164978027344
2016-01-26,35.776710510253906
2016-01-27,35.02571487426758
2016-01-28,34.212120056152344
2016-01-29,35.23432159423828
2016-02-01,35.28994369506836
2016-02-02,35.053524017333984
2016-02-03,34.803192138671875
2016-02-04,33.78794860839844
2016-02-05,34.3372917175293
2016-02-08,33.95484161376953
2016-02-09,34.18430709838867
2016-02-10,34.44158935546875
2016-02-11,33.96875
2016-02-12,34.09391784667969
2016-02-16,34.615440368652344
2016-02-17,35.18564987182617
2016-02-18,34.99094009399414
2016-02-19,34.851863861083984
2016-02-22,35.303855895996094
2016-02-23,35.143917083740234
2016-02-24,35.1578254699707
2016-02-25,35.46379470825195
2016-02-26,35.213462829589844
2016-02-29,34.914451599121094
2016-03-01,35.98531723022461
2016-03-02,36.3469123840332
2016-03-03,36.228702545166016
2016-03-04,36.214786529541016
2016-03-07,36.604190826416016
2016-03-08,36.472084045410156
2016-03-09,36.409488677978516
2016-03-10,36.882347106933594
2016-03-11,37.317237854003906
2016-03-14,37.23307800292969
2016-03-15,36.77011489868164
2016-03-16,36.43341827392578
2016-03-17,36.14582061767578
2016-03-18,36.65086364746094
2016-03-21,37.03666687011719
2016-03-22,37.19800567626953
2016-03-23,37.23307800292969
2016-03-24,37.22605514526367
2016-03-28,37.057708740234375
2016-03-29,37.40140151977539
