Date,FITB
2015-07-01,14.584321975708008
2015-07-02,14.439446449279785
2015-07-06,14.487737655639648
2015-07-07,14.28766918182373
2015-07-08,14.115194320678711
2015-07-09,14.253173828125
2015-07-10,14.418752670288086
2015-07-13,14.549833297729492
2015-07-14,14.584321975708008
2015-07-15,14.667116165161133
2015-07-16,14.736100196838379
2015-07-17,14.577425956726074
2015-07-20,14.68091106414795
2015-07-21,14.846481323242188
2015-07-22,14.894780158996582
2015-07-23,14.694710731506348
2015-07-24,14.584321975708008
2015-07-27,14.384258270263672
2015-07-28,14.418752670288086
2015-07-29,14.563624382019043
2015-07-30,14.591225624084473
2015-07-31,14.536032676696777
2015-08-03,14.542930603027344
2015-08-04,14.598122596740723
2015-08-05,14.729199409484863
2015-08-06,14.646414756774902
2015-08-07,14.584321975708008
2015-08-10,14.977559089660645
2015-08-11,14.605026245117188
2015-08-12,14.266973495483398
2015-08-13,14.377355575561523
2015-08-14,14.563624382019043
2015-08-17,14.577425956726074
2015-08-18,14.598122596740723
2015-08-19,14.480840682983398
2015-08-20,14.115194320678711
2015-08-21,13.666767120361328
2015-08-24,12.894084930419922
2015-08-25,12.576735496520996
2015-08-26,13.239032745361328
2015-08-27,13.756449699401855
2015-08-28,13.777149200439453
2015-08-31,13.742652893066406
2015-09-01,13.170042037963867
2015-09-02,13.342517852783203
2015-09-03,13.452902793884277
2015-09-04,13.259732246398926
2015-09-08,13.666767120361328
2015-09-09,13.570185661315918
2015-09-10,13.646069526672363
2015-09-11,13.639177322387695
2015-09-14,13.687463760375977
2015-09-15,13.825444221496582
2015-09-16,13.873736381530762
2015-09-17,13.383913040161133
2015-09-18,13.04586410522461
2015-09-21,13.232133865356445
2015-09-22,13.004475593566895
2015-09-23,12.969978332519531
2015-09-24,12.997572898864746
2015-09-25,13.287325859069824
2015-09-28,12.919201850891113
2015-09-29,12.953926086425781
2015-09-30,13.134516716003418
2015-10-01,13.176196098327637
2015-10-02,12.97476863861084
2015-10-05,13.287325859069824
2015-10-06,13.162301063537598
2015-10-07,13.224813461303711
2015-10-08,13.301217079162598
2015-10-09,13.176196098327637
2015-10-12,13.190081596374512
2015-10-13,13.072007179260254
2015-10-14,12.877528190612793
2015-10-15,13.224813461303711
2015-10-16,13.197033882141113
2015-10-19,13.210920333862305
2015-10-20,13.078951835632324
2015-10-21,12.69693374633789
2015-10-22,12.99560260772705
2015-10-23,13.2734375
2015-10-26,13.162301063537598
2015-10-27,13.023387908935547
2015-10-28,13.655457496643066
2015-10-29,13.52348518371582
2015-10-30,13.231759071350098
2015-11-02,13.579050064086914
2015-11-03,13.565160751342773
2015-11-04,13.530428886413574
2015-11-05,13.766584396362305
2015-11-06,14.231949806213379
2015-11-09,14.176386833190918
2015-11-10,14.329195022583008
2015-11-11,14.176386833190918
2015-11-12,13.9332857131958
2015-11-13,13.676291465759277
2015-11-16,13.738801956176758
2015-11-17,13.78048324584961
2015-11-18,14.141668319702148
2015-11-19,14.18333625793457
2015-11-20,14.0722017288208
2015-11-23,14.19723129272461
2015-11-24,14.245845794677734
2015-11-25,14.259739875793457
2015-11-27,14.336140632629395
