Date,NOV
2015-07-01,40.29989242553711
2015-07-02,40.70331954956055
2015-07-06,38.67759704589844
2015-07-07,38.772010803222656
2015-07-08,37.90507888793945
2015-07-09,38.26557922363281
2015-07-10,38.61750411987305
2015-07-13,39.22695541381836
2015-07-14,39.07243728637695
2015-07-15,37.52739334106445
2015-07-16,37.3299674987793
2015-07-17,36.91796112060547
2015-07-20,37.02096939086914
2015-07-21,37.278472900390625
2015-07-22,35.97376251220703
2015-07-23,36.8407096862793
2015-07-24,36.2398567199707
2015-07-27,35.75059127807617
2015-07-28,36.84929656982422
2015-07-29,37.67332458496094
2015-07-30,37.244140625
2015-07-31,36.16261291503906
2015-08-03,35.16691207885742
2015-08-04,34.89223098754883
2015-08-05,34.660484313964844
2015-08-06,34.84932327270508
2015-08-07,34.10253143310547
2015-08-10,35.1068229675293
2015-08-11,34.75489807128906
2015-08-12,35.18407440185547
2015-08-13,34.188385009765625
2015-08-14,33.94804000854492
2015-08-17,33.9137077331543
2015-08-18,34.10253143310547
2015-08-19,33.553199768066406
2015-08-20,32.97809982299805
2015-08-21,31.939489364624023
2015-08-24,31.973817825317383
2015-08-25,32.05965042114258
2015-08-26,33.50170135498047
2015-08-27,35.50166320800781
2015-08-28,35.75059127807617
2015-08-31,36.33428192138672
2015-09-01,35.49308395385742
2015-09-02,35.07249069213867
2015-09-03,35.16691207885742
2015-09-04,34.71199417114258
2015-09-08,34.866485595703125
2015-09-09,33.68575668334961
2015-09-10,34.0764274597168
2015-09-11,33.54684066772461
2015-09-14,33.486061096191406
2015-09-15,33.58156204223633
2015-09-16,34.72758102416992
2015-09-17,34.35425567626953
2015-09-18,33.03461456298828
2015-09-21,32.409507751464844
2015-09-22,32.53974533081055
2015-09-23,32.19245910644531
2015-09-24,32.05353546142578
2015-09-25,32.51369857788086
2015-09-28,31.879907608032227
2015-09-29,32.19245910644531
2015-09-30,32.687339782714844
2015-10-01,31.29822540283203
2015-10-02,33.03461456298828
2015-10-05,34.64076232910156
2015-10-06,35.32662582397461
2015-10-07,35.13562774658203
2015-10-08,35.396080017089844
2015-10-09,35.42213821411133
2015-10-12,34.0764274597168
2015-10-13,33.572879791259766
2015-10-14,34.2066650390625
2015-10-15,34.43238067626953
2015-10-16,34.2066650390625
2015-10-19,33.84201431274414
2015-10-20,34.224029541015625
2015-10-21,34.03303527832031
2015-10-22,33.84201431274414
2015-10-23,33.694435119628906
2015-10-26,32.591835021972656
2015-10-27,31.211410522460938
2015-10-28,31.879907608032227
2015-10-29,31.63682746887207
2015-10-30,32.678646087646484
2015-11-02,33.729164123535156
2015-11-03,34.67548370361328
2015-11-04,34.632076263427734
2015-11-05,34.293487548828125
2015-11-06,34.54524612426758
2015-11-09,33.798606872558594
2015-11-10,33.703121185302734
2015-11-11,32.7915153503418
2015-11-12,32.51369857788086
2015-11-13,32.409507751464844
2015-11-16,32.7915153503418
2015-11-17,32.15773391723633
2015-11-18,33.286380767822266
2015-11-19,32.643917083740234
2015-11-20,32.348731994628906
2015-11-23,32.409507751464844
2015-11-24,33.52078628540039
2015-11-25,33.06065368652344
2015-11-27,32.4268684387207
2015-11-30,32.41819381713867
2015-12-01,32.748111724853516
2015-12-02,32.58989334106445
2015-12-03,32.56352233886719
2015-12-04,32.15923309326172
2015-12-07,30.445356369018555
2015-12-08,29.44340705871582
2015-12-09,29.75102996826172
2015-12-10,29.707088470458984
2015-12-11,29.258834838867188
2015-12-14,29.496150970458984
2015-12-15,30.462936401367188
2015-12-16,30.164112091064453
2015-12-17,29.59282875061035
2015-12-18,29.24126625061035
2015-12-21,29.794973373413086
2015-12-22,30.18169593811035
2015-12-23,31.051809310913086
2015-12-24,30.586000442504883
2015-12-28,30.01470375061035
2015-12-29,30.093799591064453
