Date,OGN
2021-05-14,27.139217376708984
2021-05-17,27.832998275756836
2021-05-18,30.608137130737305
2021-05-19,30.608137130737305
2021-05-20,30.812192916870117
2021-05-21,30.689756393432617
2021-05-24,31.016244888305664
2021-05-25,30.159217834472656
2021-05-26,30.0612735748291
2021-05-27,28.975698471069336
2021-05-28,29.179752349853516
2021-06-01,29.383811950683594
2021-06-02,28.779808044433594
2021-06-03,30.200027465820312
2021-06-04,27.87381362915039
2021-06-07,25.645532608032227
2021-06-08,23.59682846069336
2021-06-09,23.221376419067383
2021-06-10,24.755861282348633
2021-06-11,24.200834274291992
2021-06-14,24.715049743652344
2021-06-15,25.963865280151367
2021-06-16,25.057863235473633
2021-06-17,25.678184509277344
2021-06-18,24.470184326171875
2021-06-21,24.004941940307617
2021-06-22,24.102886199951172
2021-06-23,24.078399658203125
2021-06-24,24.298778533935547
2021-06-25,24.641590118408203
2021-06-28,25.25375747680664
2021-06-29,24.935426712036133
2021-06-30,24.698720932006836
2021-07-01,25.155805587768555
2021-07-02,25.18845558166504
2021-07-06,25.302724838256836
2021-07-07,24.584455490112305
2021-07-08,24.200834274291992
2021-07-09,24.568130493164062
2021-07-12,24.2742919921875
2021-07-13,23.75191307067871
2021-07-14,23.947805404663086
2021-07-15,23.59682846069336
2021-07-16,23.564184188842773
2021-07-19,23.78455924987793
2021-07-20,24.168184280395508
2021-07-21,24.861968994140625
2021-07-22,25.237430572509766
2021-07-23,24.32326316833496
2021-07-26,24.208993911743164
2021-07-27,23.768238067626953
2021-07-28,24.2742919921875
2021-07-29,23.85801887512207
2021-07-30,23.67845344543457
2021-08-02,24.102886199951172
2021-08-03,24.08656120300293
2021-08-04,23.3682918548584
2021-08-05,24.12737464904785
2021-08-06,24.078399658203125
2021-08-09,23.75191307067871
2021-08-10,24.772186279296875
2021-08-11,24.429370880126953
2021-08-12,27.343271255493164
2021-08-13,27.922779083251953
2021-08-16,28.020732879638672
2021-08-17,28.877761840820312
2021-08-18,27.41672706604004
2021-08-19,27.832998275756836
2021-08-20,27.339214324951172
2021-08-23,27.355676651000977
2021-08-24,27.289831161499023
2021-08-25,27.405048370361328
2021-08-26,27.94821548461914
2021-08-27,28.186880111694336
2021-08-30,27.750703811645508
2021-08-31,27.890605926513672
2021-09-01,28.441999435424805
2021-09-02,29.306123733520508
2021-09-03,29.306123733520508
2021-09-07,29.330810546875
2021-09-08,28.779422760009766
2021-09-09,28.540760040283203
2021-09-10,27.88237762451172
2021-09-13,27.841230392456055
2021-09-14,27.503807067871094
2021-09-15,27.750703811645508
2021-09-16,27.78362274169922
2021-09-17,28.005821228027344
2021-09-20,27.108783721923828
2021-09-21,27.067626953125
2021-09-22,26.870119094848633
2021-09-23,27.47089385986328
2021-09-24,27.726009368896484
2021-09-27,27.602569580078125
2021-09-28,27.191076278686523
2021-09-29,27.964675903320312
2021-09-30,26.985334396362305
2021-10-01,27.42974281311035
2021-10-04,27.108783721923828
2021-10-05,26.771360397338867
2021-10-06,27.21577262878418
2021-10-07,27.026485443115234
2021-10-08,26.804275512695312
2021-10-11,27.330984115600586
2021-10-12,27.026485443115234
2021-10-13,27.28160858154297
2021-10-14,27.68486213684082
2021-10-15,28.713577270507812
2021-10-18,28.639516830444336
2021-10-19,28.853485107421875
2021-10-20,29.4295654296875
2021-10-21,29.100383758544922
2021-10-22,29.347267150878906
2021-10-25,30.375988006591797
2021-10-26,30.21138572692871
2021-10-27,29.396652221679688
2021-10-28,30.05503273010254
2021-10-29,30.24431037902832
2021-11-01,30.557043075561523
2021-11-02,30.030344009399414
2021-11-03,30.301923751831055
2021-11-04,29.841054916381836
2021-11-05,29.857511520385742
2021-11-08,30.44182586669922
2021-11-09,30.15378761291504
2021-11-10,30.145559310913086
2021-11-11,28.573673248291016
2021-11-12,27.734243392944336
2021-11-15,27.47089385986328
2021-11-16,27.602569580078125
2021-11-17,27.117008209228516
2021-11-18,26.005992889404297
2021-11-19,25.94786834716797
2021-11-22,26.271699905395508
2021-11-23,25.906354904174805
2021-11-24,26.18866539001465
2021-11-26,25.848234176635742
2021-11-29,25.424762725830078
2021-11-30,24.270597457885742
2021-12-01,23.855436325073242
2021-12-02,24.63594627380371
2021-12-03,23.938465118408203
2021-12-06,24.33702850341797
2021-12-07,24.33702850341797
2021-12-08,24.353633880615234
2021-12-09,23.80561637878418
2021-12-10,23.863739013671875
2021-12-13,23.971683502197266
2021-12-14,23.955078125
2021-12-15,24.353633880615234
2021-12-16,25.1839656829834
2021-12-17,25.067718505859375
2021-12-20,24.378543853759766
2021-12-21,24.7355899810791
2021-12-22,24.918262481689453
2021-12-23,25.092626571655273
2021-12-27,24.98468589782715
2021-12-28,24.818620681762695
2021-12-29,24.760499954223633
2021-12-30,25.516096115112305
2021-12-31,25.283605575561523
2022-01-03,25.873140335083008
2022-01-04,26.172061920166016
2022-01-05,25.82332420349121
2022-01-06,26.163761138916016
2022-01-07,26.911056518554688
2022-01-10,26.74498748779297
2022-01-11,27.193368911743164
2022-01-12,27.077123641967773
2022-01-13,27.317920684814453
2022-01-14,27.284704208374023
2022-01-18,26.628747940063477
2022-01-19,26.769899368286133
