Date,OKE
2015-07-01,38.79999923706055
2015-07-02,39.220001220703125
2015-07-06,37.93000030517578
2015-07-07,39.119998931884766
2015-07-08,38.5099983215332
2015-07-09,39.13999938964844
2015-07-10,39.540000915527344
2015-07-13,41.20000076293945
2015-07-14,41.400001525878906
2015-07-15,40.630001068115234
2015-07-16,40.97999954223633
2015-07-17,40.38999938964844
2015-07-20,39.09000015258789
2015-07-21,39.47999954223633
2015-07-22,38.29999923706055
2015-07-23,38.66999816894531
2015-07-24,37.68000030517578
2015-07-27,37.869998931884766
2015-07-28,38.7599983215332
2015-07-29,40.0
2015-07-30,37.90999984741211
2015-07-31,37.790000915527344
2015-08-03,36.56999969482422
2015-08-04,35.689998626708984
2015-08-05,34.81999969482422
2015-08-06,35.310001373291016
2015-08-07,34.31999969482422
2015-08-10,35.70000076293945
2015-08-11,36.040000915527344
2015-08-12,37.7599983215332
2015-08-13,36.34000015258789
2015-08-14,36.279998779296875
2015-08-17,36.59000015258789
2015-08-18,35.619998931884766
2015-08-19,34.9900016784668
2015-08-20,34.880001068115234
2015-08-21,34.130001068115234
2015-08-24,32.16999816894531
2015-08-25,31.6299991607666
2015-08-26,32.560001373291016
2015-08-27,34.47999954223633
2015-08-28,35.630001068115234
2015-08-31,36.0099983215332
2015-09-01,34.939998626708984
2015-09-02,35.34000015258789
2015-09-03,35.66999816894531
2015-09-04,35.400001525878906
2015-09-08,36.43000030517578
2015-09-09,35.84000015258789
2015-09-10,36.15999984741211
2015-09-11,35.189998626708984
2015-09-14,34.5
2015-09-15,34.849998474121094
2015-09-16,36.06999969482422
2015-09-17,36.279998779296875
2015-09-18,35.7400016784668
2015-09-21,36.4900016784668
2015-09-22,36.709999084472656
2015-09-23,35.33000183105469
2015-09-24,34.83000183105469
2015-09-25,35.189998626708984
2015-09-28,33.0
2015-09-29,30.860000610351562
2015-09-30,32.20000076293945
2015-10-01,32.779998779296875
2015-10-02,34.599998474121094
2015-10-05,36.939998626708984
2015-10-06,37.84000015258789
2015-10-07,38.869998931884766
2015-10-08,39.099998474121094
2015-10-09,39.58000183105469
2015-10-12,38.79999923706055
2015-10-13,38.130001068115234
2015-10-14,37.810001373291016
2015-10-15,38.61000061035156
2015-10-16,38.83000183105469
2015-10-19,38.33000183105469
2015-10-20,38.130001068115234
2015-10-21,37.400001525878906
2015-10-22,36.68000030517578
2015-10-23,36.22999954223633
2015-10-26,34.599998474121094
2015-10-27,33.27000045776367
2015-10-28,33.63999938964844
2015-10-29,33.279998779296875
2015-10-30,33.91999816894531
2015-11-02,34.400001525878906
2015-11-03,34.06999969482422
2015-11-04,33.560001373291016
2015-11-05,31.3700008392334
