Date,CTSH
2015-07-01,54.794002532958984
2015-07-02,53.39152908325195
2015-07-06,52.88874816894531
2015-07-07,53.18864822387695
2015-07-08,52.068424224853516
2015-07-09,52.47417068481445
2015-07-10,52.66822052001953
2015-07-13,53.12691116333008
2015-07-14,53.46208953857422
2015-07-15,53.67377853393555
2015-07-16,53.95603561401367
2015-07-17,53.44444274902344
2015-07-20,53.35624694824219
2015-07-21,54.300048828125
2015-07-22,54.85575866699219
2015-07-23,54.91749572753906
2015-07-24,54.335330963134766
2015-07-27,53.58556365966797
2015-07-28,53.95603561401367
2015-07-29,54.91749572753906
2015-07-30,55.676063537597656
2015-07-31,55.658424377441406
2015-08-03,55.464385986328125
2015-08-04,55.82603073120117
2015-08-05,59.39841842651367
2015-08-06,59.16905975341797
2015-08-07,59.645362854003906
2015-08-10,60.368675231933594
2015-08-11,59.7865104675293
2015-08-12,59.51308059692383
2015-08-13,59.927635192871094
2015-08-14,59.24845886230469
2015-08-17,59.67182922363281
2015-08-18,59.83943176269531
2015-08-19,59.12495422363281
2015-08-20,57.95180892944336
2015-08-21,55.43791961669922
2015-08-24,52.774085998535156
2015-08-25,52.02430725097656
2015-08-26,54.82927703857422
2015-08-27,56.27587890625
2015-08-28,56.205318450927734
2015-08-31,55.517295837402344
2015-09-01,54.00896072387695
2015-09-02,55.16447448730469
2015-09-03,55.44674301147461
2015-09-04,54.46763229370117
2015-09-08,55.72017288208008
2015-09-09,54.80282974243164
2015-09-10,55.243858337402344
2015-09-11,55.3849983215332
2015-09-14,54.758731842041016
2015-09-15,55.36735153198242
2015-09-16,56.117103576660156
2015-09-17,55.47319412231445
2015-09-18,54.53819274902344
2015-09-21,55.41144561767578
2015-09-22,54.56467056274414
2015-09-23,54.90867233276367
2015-09-24,53.91194152832031
2015-09-25,54.061893463134766
2015-09-28,52.95930862426758
2015-09-29,53.435630798339844
2015-09-30,55.22621536254883
2015-10-01,55.808387756347656
2015-10-02,55.808387756347656
2015-10-05,57.43138122558594
2015-10-06,57.31672668457031
2015-10-07,58.207618713378906
2015-10-08,58.533966064453125
2015-10-09,59.04556655883789
2015-10-12,58.38402557373047
2015-10-13,57.19321823120117
2015-10-14,57.11384201049805
2015-10-15,57.24616241455078
2015-10-16,57.24616241455078
2015-10-19,57.37845993041992
2015-10-20,57.51078414916992
2015-10-21,57.307899475097656
2015-10-22,60.3598518371582
2015-10-23,60.71268081665039
2015-10-26,60.377498626708984
2015-10-27,60.209896087646484
2015-10-28,61.53300857543945
2015-10-29,60.756771087646484
2015-10-30,60.07758712768555
2015-11-02,60.3598518371582
2015-11-03,60.10403060913086
2015-11-04,58.93971252441406
2015-11-05,59.24845886230469
2015-11-06,60.90674591064453
2015-11-09,59.95409393310547
2015-11-10,60.0599365234375
2015-11-11,59.88351821899414
2015-11-12,59.195518493652344
2015-11-13,58.12822723388672
2015-11-16,58.09292984008789
2015-11-17,56.54932403564453
2015-11-18,57.56368637084961
2015-11-19,57.54604721069336
2015-11-20,57.44901657104492
2015-11-23,56.66399002075195
2015-11-24,56.963890075683594
2015-11-25,56.86687088012695
2015-11-27,57.09621047973633
2015-11-30,56.963890075683594
2015-12-01,57.51078414916992
2015-12-02,56.487571716308594
2015-12-03,54.39706802368164
2015-12-04,55.534942626953125
2015-12-07,54.68815612792969
2015-12-08,54.69697570800781
2015-12-09,53.215110778808594
2015-12-10,53.250389099121094
2015-12-11,51.42449951171875
2015-12-14,52.71232986450195
2015-12-15,53.37388229370117
2015-12-16,55.058624267578125
2015-12-17,53.29449462890625
2015-12-18,51.91845703125
2015-12-21,52.694679260253906
2015-12-22,53.012229919433594
2015-12-23,53.27684020996094
2015-12-24,53.567935943603516
2015-12-28,53.36506271362305
2015-12-29,54.16773986816406
2015-12-30,53.80609130859375
2015-12-31,52.94167709350586
2016-01-04,51.27456283569336
2016-01-05,51.27456283569336
2016-01-06,50.392486572265625
2016-01-07,49.960269927978516
2016-01-08,49.18405532836914
2016-01-11,49.50160598754883
2016-01-12,52.61529541015625
2016-01-13,50.95702362060547
2016-01-14,53.109249114990234
2016-01-15,51.78614807128906
2016-01-19,52.87109375
2016-01-20,52.26247787475586
2016-01-21,52.094879150390625
2016-01-22,53.37388229370117
2016-01-25,53.73553466796875
2016-01-26,54.63523483276367
2016-01-27,53.814910888671875
2016-01-28,54.10598373413086
2016-01-29,55.84367752075195
2016-02-01,54.97924041748047
2016-02-02,53.029869079589844
2016-02-03,53.59439468383789
2016-02-04,52.588836669921875
2016-02-05,51.63621520996094
2016-02-08,47.67573928833008
2016-02-09,46.158573150634766
2016-02-10,47.03181838989258
2016-02-11,45.96451187133789
2016-02-12,47.51694869995117
2016-02-16,48.52251052856445
2016-02-17,49.93381881713867
2016-02-18,49.40456771850586
2016-02-19,49.307552337646484
2016-02-22,49.951454162597656
2016-02-23,49.18405532836914
2016-02-24,49.563350677490234
2016-02-25,50.48952102661133
2016-02-26,50.31309509277344
2016-02-29,50.26018524169922
2016-03-01,51.34511947631836
2016-03-02,50.877628326416016
2016-03-03,50.98348617553711
2016-03-04,50.930545806884766
2016-03-07,50.27783203125
2016-03-08,49.334014892578125
2016-03-09,49.439857482910156
2016-03-10,48.88416290283203
2016-03-11,50.25136184692383
2016-03-14,51.26572799682617
2016-03-15,51.18635177612305
2016-03-16,51.962562561035156
2016-03-17,51.803802490234375
2016-03-18,52.26247787475586
