Date,ELV
2015-07-01,141.7236785888672
2015-07-02,139.939453125
2015-07-06,138.6184844970703
2015-07-07,137.52906799316406
2015-07-08,136.72276306152344
2015-07-09,136.02792358398438
2015-07-10,137.0143585205078
2015-07-13,134.2008514404297
2015-07-14,137.22027587890625
2015-07-15,136.90289306640625
2015-07-16,135.18734741210938
2015-07-17,136.03651428222656
2015-07-20,134.32098388671875
2015-07-21,133.6261749267578
2015-07-22,133.0428466796875
2015-07-23,133.13722229003906
2015-07-24,129.4058380126953
2015-07-27,129.95477294921875
2015-07-28,132.27081298828125
2015-07-29,133.18870544433594
2015-07-30,132.86270141601562
2015-07-31,132.33090209960938
2015-08-03,131.0527801513672
2015-08-04,130.81256103515625
2015-08-05,132.91416931152344
2015-08-06,130.76113891601562
2015-08-07,130.92410278320312
2015-08-10,130.66677856445312
2015-08-11,130.7440185546875
2015-08-12,128.2135009765625
2015-08-13,128.40225219726562
2015-08-14,128.06773376464844
2015-08-17,130.29788208007812
2015-08-18,131.4988250732422
2015-08-19,130.34085083007812
2015-08-20,126.83248901367188
2015-08-21,125.76882934570312
2015-08-24,120.67354583740234
2015-08-25,118.4947509765625
2015-08-26,121.94308471679688
2015-08-27,121.94308471679688
2015-08-28,120.57059478759766
2015-08-31,120.9909439086914
2015-09-01,118.42616271972656
2015-09-02,120.493408203125
2015-09-03,122.6207275390625
2015-09-04,121.84873962402344
2015-09-08,126.1608657836914
2015-09-09,125.44585418701172
2015-09-10,124.0156021118164
2015-09-11,126.72959899902344
2015-09-14,125.67845916748047
2015-09-15,127.7203598022461
2015-09-16,130.22755432128906
2015-09-17,129.46939086914062
2015-09-18,126.53138732910156
2015-09-21,128.8662872314453
2015-09-22,128.0822296142578
2015-09-23,128.61643981933594
2015-09-24,126.7037353515625
2015-09-25,122.2665786743164
2015-09-28,117.44172668457031
2015-09-29,118.6565933227539
2015-09-30,120.62094116210938
2015-10-01,119.70770263671875
2015-10-02,122.21488189697266
2015-10-05,123.07648468017578
2015-10-06,120.15570831298828
2015-10-07,120.11264038085938
2015-10-08,118.32058715820312
2015-10-09,121.04312896728516
2015-10-12,123.94664764404297
2015-10-13,126.24710083007812
2015-10-14,123.50727081298828
2015-10-15,125.12702941894531
2015-10-16,126.69507598876953
2015-10-19,128.2115020751953
2015-10-20,127.7203598022461
2015-10-21,123.02477264404297
2015-10-22,120.11264038085938
2015-10-23,121.43948364257812
2015-10-26,122.1201400756836
2015-10-27,124.66177368164062
2015-10-28,122.17182159423828
2015-10-29,121.7754898071289
2015-10-30,119.88864135742188
2015-11-02,120.50037384033203
2015-11-03,118.079345703125
