Date,O
2015-07-01,43.7015495300293
2015-07-02,43.98255920410156
2015-07-06,44.50581359863281
2015-07-07,44.893409729003906
2015-07-08,44.835269927978516
2015-07-09,44.52519226074219
2015-07-10,44.922481536865234
2015-07-13,44.72868347167969
2015-07-14,45.00968933105469
2015-07-15,45.261627197265625
2015-07-16,45.73643493652344
2015-07-17,45.5329475402832
2015-07-20,45.72674560546875
2015-07-21,45.54263687133789
2015-07-22,45.804264068603516
2015-07-23,45.3294563293457
2015-07-24,45.620155334472656
2015-07-27,45.75581359863281
2015-07-28,45.94961166381836
2015-07-29,46.34689712524414
2015-07-30,46.13372039794922
2015-07-31,46.79263687133789
2015-08-03,47.26744079589844
2015-08-04,46.64728546142578
2015-08-05,45.91085433959961
2015-08-06,46.05620193481445
2015-08-07,45.988372802734375
2015-08-10,45.89147186279297
2015-08-11,45.97868347167969
2015-08-12,46.143409729003906
2015-08-13,46.06589126586914
2015-08-14,46.356590270996094
2015-08-17,46.531009674072266
2015-08-18,46.95736312866211
2015-08-19,46.56007766723633
2015-08-20,46.60852813720703
2015-08-21,46.143409729003906
2015-08-24,44.39922332763672
2015-08-25,43.09108352661133
2015-08-26,44.06007766723633
2015-08-27,44.922481536865234
2015-08-28,44.5155029296875
2015-08-31,43.304264068603516
2015-09-01,42.577518463134766
2015-09-02,42.85852813720703
2015-09-03,42.80038833618164
2015-09-04,42.03488540649414
2015-09-08,42.9360466003418
2015-09-09,42.606590270996094
2015-09-10,42.8294563293457
2015-09-11,43.68217086791992
2015-09-14,43.94379806518555
2015-09-15,44.379844665527344
2015-09-16,44.8449592590332
2015-09-17,45.4360466003418
2015-09-18,46.01744079589844
2015-09-21,46.19186019897461
2015-09-22,45.67829513549805
2015-09-23,45.862403869628906
2015-09-24,45.51356506347656
2015-09-25,45.60077667236328
2015-09-28,45.19379806518555
2015-09-29,45.64922332763672
2015-09-30,45.9205436706543
2015-10-01,45.88178253173828
2015-10-02,44.57364273071289
2015-10-05,45.64922332763672
2015-10-06,45.5329475402832
2015-10-07,45.95930099487305
2015-10-08,46.172481536865234
2015-10-09,46.288761138916016
2015-10-12,46.66666793823242
2015-10-13,46.58914566040039
2015-10-14,46.2015495300293
2015-10-15,47.00581359863281
2015-10-16,47.10271453857422
2015-10-19,47.364341735839844
2015-10-20,47.44186019897461
2015-10-21,47.364341735839844
2015-10-22,48.63372039794922
2015-10-23,48.35271453857422
2015-10-26,48.69186019897461
2015-10-27,48.75
2015-10-28,49.031009674072266
2015-10-29,48.13953399658203
2015-10-30,47.92635726928711
2015-11-02,49.02131652832031
2015-11-03,48.585269927978516
2015-11-04,47.91666793823242
2015-11-05,48.44961166381836
2015-11-06,45.99806213378906
2015-11-09,44.9515495300293
2015-11-10,45.4844970703125
2015-11-11,45.968990325927734
2015-11-12,45.968990325927734
2015-11-13,45.968990325927734
2015-11-16,46.695735931396484
2015-11-17,46.937984466552734
2015-11-18,47.69379806518555
2015-11-19,47.83914566040039
2015-11-20,48.129844665527344
2015-11-23,48.17829513549805
2015-11-24,47.91666793823242
2015-11-25,48.07170486450195
2015-11-27,48.47868347167969
2015-11-30,48.08139419555664
2015-12-01,49.05038833618164
2015-12-02,48.07170486450195
2015-12-03,47.26744079589844
2015-12-04,48.45930099487305
2015-12-07,48.711238861083984
2015-12-08,48.585269927978516
2015-12-09,48.08139419555664
2015-12-10,47.422481536865234
2015-12-11,47.14147186279297
2015-12-14,47.81007766723633
2015-12-15,48.39147186279297
2015-12-16,49.64147186279297
2015-12-17,49.41860580444336
2015-12-18,49.496124267578125
2015-12-21,49.496124267578125
2015-12-22,49.593021392822266
2015-12-23,49.91279220581055
2015-12-24,49.70930099487305
2015-12-28,50.145347595214844
2015-12-29,50.562015533447266
2015-12-30,50.31007766723633
2015-12-31,50.02907180786133
2016-01-04,49.593021392822266
2016-01-05,50.66860580444336
2016-01-06,50.968990325927734
2016-01-07,50.08720779418945
2016-01-08,49.58333206176758
2016-01-11,50.64922332763672
2016-01-12,50.804264068603516
2016-01-13,50.23255920410156
2016-01-14,50.629844665527344
2016-01-15,50.57170486450195
2016-01-19,51.36627960205078
2016-01-20,50.261627197265625
2016-01-21,50.89147186279297
2016-01-22,52.364341735839844
2016-01-25,52.218990325927734
2016-01-26,53.488372802734375
2016-01-27,53.372093200683594
2016-01-28,53.16860580444336
2016-01-29,54.06007766723633
2016-02-01,54.893409729003906
2016-02-02,55.445735931396484
2016-02-03,55.57170486450195
2016-02-04,55.69767379760742
2016-02-05,54.156978607177734
2016-02-08,54.42829513549805
2016-02-09,54.612403869628906
2016-02-10,55.019378662109375
2016-02-11,58.25581359863281
2016-02-12,58.604652404785156
2016-02-16,57.96511459350586
2016-02-17,57.95542526245117
2016-02-18,58.57558059692383
2016-02-19,58.35271453857422
2016-02-22,57.86821746826172
2016-02-23,57.85852813720703
2016-02-24,57.68410873413086
2016-02-25,58.25581359863281
2016-02-26,56.812015533447266
2016-02-29,56.72480773925781
2016-03-01,57.00581359863281
2016-03-02,57.20930099487305
2016-03-03,57.18992233276367
2016-03-04,56.356590270996094
2016-03-07,55.95930099487305
2016-03-08,56.82170486450195
2016-03-09,57.10271453857422
2016-03-10,57.41279220581055
2016-03-11,57.781009674072266
2016-03-14,57.89728546142578
2016-03-15,58.003875732421875
2016-03-16,58.99224853515625
2016-03-17,59.66085433959961
2016-03-18,59.34108352661133
2016-03-21,58.885658264160156
2016-03-22,58.99224853515625
2016-03-23,59.50581359863281
2016-03-24,59.554264068603516
2016-03-28,60.18410873413086
2016-03-29,60.9205436706543
2016-03-30,60.281009674072266
2016-03-31,60.57170486450195
2016-04-01,60.319766998291016
2016-04-04,60.23255920410156
2016-04-05,60.91085433959961
2016-04-06,61.01744079589844
2016-04-07,60.70736312866211
2016-04-08,61.046512603759766
2016-04-11,61.046512603759766
2016-04-12,61.76356506347656
2016-04-13,61.12403106689453
2016-04-14,60.72674560546875
2016-04-15,61.05620193481445
2016-04-18,61.19186019897461
2016-04-19,61.327518463134766
2016-04-20,59.651161193847656
2016-04-21,57.19961166381836
2016-04-22,57.52907180786133
2016-04-25,58.44961166381836
2016-04-26,57.75193786621094
2016-04-27,57.606590270996094
2016-04-28,57.62596893310547
2016-04-29,57.364341735839844
2016-05-02,57.95542526245117
2016-05-03,58.827518463134766
2016-05-04,60.445735931396484
2016-05-05,60.47480773925781
2016-05-06,61.60852813720703
2016-05-09,62.054264068603516
2016-05-10,62.22868347167969
2016-05-11,61.30813980102539
2016-05-12,62.151161193847656
2016-05-13,61.64728546142578
2016-05-16,61.92829513549805
2016-05-17,60.562015533447266
2016-05-18,58.98255920410156
2016-05-19,57.218990325927734
2016-05-20,57.354652404785156
2016-05-23,57.218990325927734
2016-05-24,57.58720779418945
2016-05-25,57.538761138916016
2016-05-26,58.04263687133789
2016-05-27,58.04263687133789
2016-05-31,58.22674560546875
2016-06-01,58.96317672729492
2016-06-02,59.64147186279297
2016-06-03,61.0949592590332
2016-06-06,60.629844665527344
2016-06-07,61.230621337890625
2016-06-08,61.54069900512695
2016-06-09,61.996124267578125
2016-06-10,62.30620193481445
2016-06-13,62.13178253173828
2016-06-14,62.3449592590332
2016-06-15,62.40310287475586
2016-06-16,63.05232620239258
2016-06-17,62.13178253173828
2016-06-20,61.77325439453125
2016-06-21,62.335269927978516
2016-06-22,62.364341735839844
2016-06-23,62.5
2016-06-24,63.711238861083984
2016-06-27,64.8934097290039
2016-06-28,66.08527374267578
2016-06-29,66.33721160888672
2016-06-30,67.20930480957031
2016-07-01,67.48062133789062
2016-07-05,69.25387573242188
2016-07-06,69.00193786621094
2016-07-07,66.99612426757812
2016-07-08,67.74224853515625
2016-07-11,68.33333587646484
2016-07-12,67.89728546142578
2016-07-13,68.60465240478516
2016-07-14,68.1589126586914
2016-07-15,67.6744155883789
2016-07-18,67.8100814819336
2016-07-19,68.11046600341797
2016-07-20,67.63565826416016
2016-07-21,67.90697479248047
2016-07-22,68.22674560546875
2016-07-25,68.13953399658203
2016-07-26,67.93605041503906
2016-07-27,67.43217468261719
2016-07-28,68.48837280273438
2016-07-29,69.25387573242188
2016-08-01,69.9030990600586
2016-08-02,67.83914947509766
2016-08-03,67.03488159179688
2016-08-04,67.38372039794922
2016-08-05,66.43411254882812
2016-08-08,66.31782531738281
2016-08-09,66.79263305664062
2016-08-10,67.06394958496094
2016-08-11,66.06588745117188
2016-08-12,66.51162719726562
2016-08-15,65.88178253173828
2016-08-16,64.86434173583984
2016-08-17,65.51356506347656
2016-08-18,65.70736694335938
2016-08-19,64.72868347167969
2016-08-22,65.36821746826172
2016-08-23,65.2034912109375
2016-08-24,64.6124038696289
2016-08-25,64.60271453857422
2016-08-26,63.69186019897461
2016-08-29,64.32170867919922
2016-08-30,63.41085433959961
2016-08-31,63.69186019897461
2016-09-01,63.7015495300293
2016-09-02,64.21511840820312
2016-09-06,65.0969009399414
2016-09-07,65.88178253173828
2016-09-08,65.32946014404297
2016-09-09,62.26744079589844
2016-09-12,63.50775146484375
2016-09-13,61.569766998291016
2016-09-14,62.00581359863281
2016-09-15,62.335269927978516
2016-09-16,62.47092819213867
2016-09-19,63.19767379760742
2016-09-20,63.55620193481445
2016-09-21,64.6899185180664
2016-09-22,65.77519226074219
2016-09-23,65.9399185180664
2016-09-26,66.55038452148438
2016-09-27,66.06588745117188
2016-09-28,66.68605041503906
2016-09-29,65.50387573242188
2016-09-30,64.85465240478516
2016-10-03,63.35271453857422
2016-10-04,61.71511459350586
2016-10-05,60.0
2016-10-06,59.680233001708984
2016-10-07,59.554264068603516
2016-10-10,60.18410873413086
2016-10-11,58.92441940307617
2016-10-12,59.75775146484375
2016-10-13,60.7655029296875
2016-10-14,60.11627960205078
2016-10-17,60.70736312866211
2016-10-18,60.7170524597168
2016-10-19,60.60077667236328
2016-10-20,60.51356506347656
