Date,FOXA
2016-01-04,25.916391503197
2016-01-05,25.916391503197
2016-01-06,26.04309819351
2016-01-07,25.234124709205
2016-01-08,25.234124709205
2016-01-11,25.22437804072
2016-01-12,25.750698138942
2016-01-13,25.219504706477
2016-01-14,25.88715149774
2016-01-15,25.438804747403
2016-01-19,25.692218128028
2016-01-20,24.990457997065
2016-01-21,24.873497975238
2016-01-22,25.711711464999
2016-01-25,25.341338062547
2016-01-26,26.228284894736
2016-01-27,25.906644834711
2016-01-28,25.468044752859
2016-01-29,26.286764905649
2016-02-01,26.286764905649
2016-02-02,25.341338062547
2016-02-03,25.818924818341
2016-02-04,25.414438076189
2016-02-05,24.434897893386
2016-02-08,23.967057806078
2016-02-09,23.523584389983
2016-02-10,23.713644425452
2016-02-11,24.054777822448
2016-02-12,23.928071132135
2016-02-16,24.961217991609
2016-02-17,25.79943148137
2016-02-18,25.731204801971
2016-02-19,25.945631508654
2016-02-22,26.657138308102
2016-02-23,26.267271568678
2016-02-24,26.627898302645
2016-02-25,26.686378313559
2016-02-26,26.393978258991
2016-02-29,26.335498248077
2016-03-01,27.095738389954
2016-03-02,26.891058351756
2016-03-03,27.134725063896
2016-03-04,27.095738389954
2016-03-07,27.339405102094
2016-03-08,26.898446955286
2016-03-09,27.143423703512
2016-03-10,26.898446955286
2016-03-11,27.359003241952
2016-03-14,27.261012542661
2016-03-15,27.27081161259
2016-03-16,27.554984640533
2016-03-17,27.613779060108
2016-03-18,27.662774409753
2016-03-21,27.407998591597
2016-03-22,27.398199521668
2016-03-23,27.231615332874
2016-03-24,27.192419053158
2016-03-28,27.329606032165
2016-03-29,27.27081161259
2016-03-30,27.349204172023
2016-03-31,27.319806962236
2016-04-01,28.015540927199
2016-04-04,28.00574185727
2016-04-05,27.780363248902
2016-04-06,28.299713955142
2016-04-07,27.976344647483
2016-04-08,28.015540927199
2016-04-11,27.956746507625
2016-04-12,28.701475822234
2016-04-13,29.201228388616
2016-04-14,29.250223738262
2016-04-15,29.407008857127
2016-04-18,29.779373514431
2016-04-19,29.691181885069
2016-04-20,29.485401416559
2016-04-21,29.720579094857
2016-04-22,30.308523290601
2016-04-25,30.435911199678
2016-04-26,30.337920500388
2016-04-27,30.21053259131
2016-04-28,30.083144682232
2016-04-29,29.651985605353
2016-05-02,29.749976304644
2016-05-03,29.358013507481
2016-05-04,29.201228388616
2016-05-05,29.240424668332
2016-05-06,28.917055360673
2016-05-09,28.819064661383
2016-05-10,29.1620321089
2016-05-11,28.819064661383
2016-05-12,28.495695353723
2016-05-13,28.407503724362
2016-05-16,28.348709304787
2016-05-17,28.11353162649
2016-05-18,27.58438185032
2016-05-19,27.359003241952
2016-05-20,27.574582780391
2016-05-23,27.623578130037
2016-05-24,27.995942787341
2016-05-25,28.319312095
2016-05-26,28.182125115993
2016-05-27,28.348709304787
2016-05-31,28.299713955142
2016-06-01,28.760270241808
2016-06-02,28.95625164039
2016-06-03,28.789667451595
2016-06-06,28.84846187117
2016-06-07,28.711274892163
2016-06-08,28.84846187117
2016-06-09,28.730873032021
2016-06-10,28.348709304787
2016-06-13,28.329111164929
2016-06-14,28.289914885213
2016-06-15,28.378106514575
2016-06-16,28.544690703369
2016-06-17,28.22132139571
2016-06-20,28.603485122943
2016-06-21,28.22132139571
2016-06-22,28.338910234858
2016-06-23,28.613284192872
2016-06-24,26.398694388903
2016-06-27,25.840147402947
2016-06-28,26.11452136096
2016-06-29,26.457488808478
