Date,COR
2015-07-01,79.30673217773438
2015-07-02,78.85761260986328
2015-07-06,79.5423812866211
2015-07-07,79.984130859375
2015-07-08,79.3951187133789
2015-07-09,80.15348052978516
2015-07-10,80.59528350830078
2015-07-13,81.04442596435547
2015-07-14,81.28740692138672
2015-07-15,81.38309478759766
2015-07-16,82.37710571289062
2015-07-17,83.3490219116211
2015-07-20,84.4976577758789
2015-07-21,84.01168060302734
2015-07-22,84.6375503540039
2015-07-23,81.08121490478516
2015-07-24,80.0577621459961
2015-07-27,79.05641174316406
2015-07-28,79.52027893066406
2015-07-29,79.35831451416016
2015-07-30,76.9211196899414
2015-07-31,77.86359405517578
2015-08-03,77.91515350341797
2015-08-04,78.2022933959961
2015-08-05,78.96805572509766
2015-08-06,77.12728881835938
2015-08-07,76.84017944335938
2015-08-10,77.05364990234375
2015-08-11,76.95059204101562
2015-08-12,76.8548812866211
2015-08-13,76.6998062133789
2015-08-14,76.74412536621094
2015-08-17,77.24620056152344
2015-08-18,77.48986053466797
2015-08-19,78.36849975585938
2015-08-20,76.32325744628906
2015-08-21,75.16404724121094
2015-08-24,72.74964141845703
2015-08-25,71.92269897460938
2015-08-26,74.28543090820312
2015-08-27,74.68413543701172
2015-08-28,74.47737121582031
2015-08-31,73.86455535888672
2015-09-01,73.29602813720703
2015-09-02,74.04177856445312
2015-09-03,73.83500671386719
2015-09-04,73.08927917480469
2015-09-08,74.61030578613281
2015-09-09,74.38878631591797
2015-09-10,75.3338623046875
2015-09-11,77.03945922851562
2015-09-14,77.24620056152344
2015-09-15,77.94022369384766
2015-09-16,78.47920989990234
2015-09-17,78.84102630615234
2015-09-18,78.33894348144531
2015-09-21,77.73347473144531
2015-09-22,76.24942779541016
2015-09-23,75.91718292236328
2015-09-24,75.28953552246094
2015-09-25,73.71685028076172
2015-09-28,71.02189636230469
2015-09-29,70.18019104003906
2015-09-30,70.13591003417969
2015-10-01,69.78147888183594
2015-10-02,70.07681274414062
2015-10-05,70.13591003417969
2015-10-06,68.68873596191406
2015-10-07,68.62227630615234
2015-10-08,69.06527709960938
2015-10-09,68.54843139648438
2015-10-12,69.19820404052734
2015-10-13,69.51567840576172
2015-10-14,68.68873596191406
2015-10-15,69.45660400390625
2015-10-16,70.18753814697266
2015-10-19,69.98822021484375
2015-10-20,68.79949951171875
2015-10-21,68.45245361328125
2015-10-22,68.5188980102539
2015-10-23,68.76254272460938
2015-10-26,69.1317138671875
2015-10-27,72.01868438720703
2015-10-28,71.98912048339844
2015-10-29,71.48707580566406
2015-10-30,71.25817108154297
2015-11-02,72.23280334472656
2015-11-03,72.1146469116211
2015-11-04,71.96701049804688
2015-11-05,72.2770767211914
2015-11-06,72.07037353515625
2015-11-09,71.91529846191406
2015-11-10,73.00068664550781
2015-11-11,72.53549194335938
