Date,URI
2015-07-01,80.78491973876953
2015-07-02,81.4420166015625
2015-07-06,80.44670867919922
2015-07-07,80.50466918945312
2015-07-08,77.35447692871094
2015-07-09,78.63001251220703
2015-07-10,78.64932250976562
2015-07-13,79.24847412109375
2015-07-14,79.54800415039062
2015-07-15,77.43177032470703
2015-07-16,79.02619171142578
2015-07-17,78.52371978759766
2015-07-20,76.53307342529297
2015-07-21,76.1175537109375
2015-07-22,75.01593780517578
2015-07-23,64.72456359863281
2015-07-24,62.540672302246094
2015-07-27,62.96585464477539
2015-07-28,64.67626190185547
2015-07-29,64.62793731689453
2015-07-30,64.29937744140625
2015-07-31,64.7342300415039
2015-08-03,63.08181381225586
2015-08-04,63.294395446777344
2015-08-05,63.26541519165039
2015-08-06,63.44902420043945
2015-08-07,61.661312103271484
2015-08-10,64.46365356445312
2015-08-11,63.62294387817383
2015-08-12,64.03846740722656
2015-08-13,62.144466400146484
2015-08-14,63.13014221191406
2015-08-17,63.3717155456543
2015-08-18,63.30406188964844
2015-08-19,63.352386474609375
2015-08-20,62.37639236450195
2015-08-21,59.58371353149414
2015-08-24,58.86863327026367
2015-08-25,58.781654357910156
2015-08-26,61.37141799926758
2015-08-27,66.00012969970703
2015-08-28,64.80187225341797
2015-08-31,66.99543762207031
2015-09-01,63.139793395996094
2015-09-02,65.09176635742188
2015-09-03,65.54593658447266
2015-09-04,63.85487747192383
2015-09-08,65.7005615234375
2015-09-09,66.8891372680664
2015-09-10,66.6572265625
2015-09-11,67.11138916015625
2015-09-14,65.35266876220703
2015-09-15,67.47859191894531
2015-09-16,69.8460922241211
2015-09-17,67.25633239746094
2015-09-18,64.8695068359375
2015-09-21,65.33335876464844
2015-09-22,64.4539794921875
2015-09-23,61.168487548828125
2015-09-24,59.72865295410156
2015-09-25,60.68532180786133
2015-09-28,57.47711181640625
2015-09-29,57.92162322998047
2015-09-30,58.02791976928711
2015-10-01,57.82499694824219
2015-10-02,57.641395568847656
2015-10-05,62.241111755371094
2015-10-06,63.516658782958984
2015-10-07,65.61357879638672
2015-10-08,68.155029296875
2015-10-09,68.37726593017578
2015-10-12,67.17903900146484
2015-10-13,67.65254974365234
2015-10-14,67.83613586425781
2015-10-15,66.93743896484375
2015-10-16,64.63760375976562
2015-10-19,63.1880989074707
2015-10-20,63.98050308227539
2015-10-21,64.93714141845703
2015-10-22,71.41155242919922
2015-10-23,71.46952056884766
2015-10-26,71.36322784423828
2015-10-27,69.55619812011719
2015-10-28,72.17495727539062
2015-10-29,71.75941467285156
2015-10-30,72.33922576904297
2015-11-02,73.47949981689453
2015-11-03,74.378173828125
2015-11-04,73.98198699951172
2015-11-05,75.7020263671875
2015-11-06,77.15151977539062
2015-11-09,74.89032745361328
2015-11-10,75.10291290283203
2015-11-11,74.39749908447266
2015-11-12,71.01534271240234
2015-11-13,71.64347076416016
2015-11-16,72.23291778564453
2015-11-17,73.1122817993164
2015-11-18,74.39749908447266
2015-11-19,73.0156478881836
2015-11-20,73.03497314453125
2015-11-23,73.57613372802734
2015-11-24,74.8033676147461
2015-11-25,75.25752258300781
2015-11-27,74.561767578125
2015-11-30,76.02092742919922
2015-12-01,75.76968383789062
2015-12-02,73.64376068115234
2015-12-03,72.66776275634766
2015-12-04,71.64347076416016
2015-12-07,68.08738708496094
2015-12-08,65.64257049560547
2015-12-09,68.67683410644531
2015-12-10,68.64784240722656
2015-12-11,65.2850570678711
2015-12-14,63.903194427490234
2015-12-15,65.30436706542969
2015-12-16,66.8988037109375
2015-12-17,64.64727783203125
2015-12-18,64.9178466796875
2015-12-21,66.72486114501953
2015-12-22,69.62384033203125
2015-12-23,72.3005599975586
2015-12-24,72.08798217773438
2015-12-28,70.02970123291016
2015-12-29,70.85107421875
2015-12-30,70.23261260986328
2015-12-31,70.09734344482422
2016-01-04,68.37726593017578
2016-01-05,67.69120025634766
2016-01-06,64.4539794921875
2016-01-07,60.2601318359375
2016-01-08,59.72865295410156
2016-01-11,58.90727996826172
2016-01-12,59.21650314331055
2016-01-13,55.795711517333984
2016-01-14,55.21590805053711
2016-01-15,53.051334381103516
2016-01-19,52.1816520690918
2016-01-20,52.57783508300781
2016-01-21,53.44752883911133
2016-01-22,55.795711517333984
2016-01-25,52.80009460449219
2016-01-26,54.97432327270508
2016-01-27,53.95969009399414
2016-01-28,44.04517364501953
2016-01-29,46.296714782714844
2016-02-01,47.18574142456055
2016-02-02,44.219112396240234
2016-02-03,46.79920196533203
2016-02-04,47.04078674316406
2016-02-05,46.57695007324219
2016-02-08,45.040489196777344
2016-02-09,43.272117614746094
2016-02-10,43.96786880493164
2016-02-11,41.88059997558594
2016-02-12,43.919551849365234
2016-02-16,45.95850372314453
2016-02-17,46.557621002197266
2016-02-18,48.19071960449219
2016-02-19,46.77021789550781
2016-02-22,49.87212371826172
2016-02-23,48.19071960449219
2016-02-24,48.007110595703125
2016-02-25,48.664215087890625
2016-02-26,49.79481506347656
2016-02-29,49.833465576171875
2016-03-01,50.70316696166992
2016-03-02,52.48120880126953
2016-03-03,54.65544128417969
2016-03-04,55.55413055419922
2016-03-07,57.83464813232422
2016-03-08,54.9260139465332
2016-03-09,56.27887725830078
2016-03-10,55.96964645385742
2016-03-11,57.641395568847656
2016-03-14,57.98927307128906
2016-03-15,57.53510284423828
2016-03-16,59.68034362792969
2016-03-17,61.23612594604492
2016-03-18,60.7916145324707
2016-03-21,61.40040969848633
2016-03-22,61.622657775878906
2016-03-23,59.52572250366211
2016-03-24,59.9025993347168
2016-03-28,59.603031158447266
2016-03-29,60.45340347290039
2016-03-30,60.675655364990234
2016-03-31,60.095855712890625
2016-04-01,58.762332916259766
2016-04-04,57.46745300292969
2016-04-05,56.51079177856445
