Date,SNA
2015-07-01,161.5
2015-07-02,160.7899932861328
2015-07-06,159.9199981689453
2015-07-07,160.83999633789062
2015-07-08,159.85000610351562
2015-07-09,159.4499969482422
2015-07-10,160.8699951171875
2015-07-13,162.60000610351562
2015-07-14,163.35000610351562
2015-07-15,162.60000610351562
2015-07-16,161.69000244140625
2015-07-17,162.58999633789062
2015-07-20,163.97000122070312
2015-07-21,162.5500030517578
2015-07-22,162.1300048828125
2015-07-23,162.07000732421875
2015-07-24,159.74000549316406
2015-07-27,157.08999633789062
2015-07-28,161.1300048828125
2015-07-29,164.22000122070312
2015-07-30,164.3800048828125
2015-07-31,164.8000030517578
2015-08-03,163.61000061035156
2015-08-04,165.5800018310547
2015-08-05,167.38999938964844
2015-08-06,165.8800048828125
2015-08-07,166.07000732421875
2015-08-10,167.50999450683594
2015-08-11,165.13999938964844
2015-08-12,165.11000061035156
2015-08-13,166.52999877929688
2015-08-14,168.07000732421875
2015-08-17,169.50999450683594
2015-08-18,169.99000549316406
2015-08-19,169.47999572753906
2015-08-20,166.69000244140625
2015-08-21,160.9199981689453
2015-08-24,154.25999450683594
2015-08-25,151.47999572753906
2015-08-26,155.69000244140625
2015-08-27,160.0500030517578
2015-08-28,159.88999938964844
2015-08-31,159.77000427246094
2015-09-01,154.44000244140625
2015-09-02,155.4199981689453
2015-09-03,157.41000366210938
2015-09-04,154.39999389648438
2015-09-08,159.74000549316406
2015-09-09,157.66000366210938
2015-09-10,157.63999938964844
2015-09-11,157.86000061035156
2015-09-14,157.9199981689453
2015-09-15,158.5399932861328
2015-09-16,159.08999633789062
2015-09-17,159.14999389648438
2015-09-18,155.5800018310547
2015-09-21,156.99000549316406
2015-09-22,155.2899932861328
2015-09-23,153.77000427246094
2015-09-24,152.3699951171875
2015-09-25,153.72999572753906
2015-09-28,150.63999938964844
2015-09-29,148.89999389648438
2015-09-30,150.94000244140625
2015-10-01,149.61000061035156
2015-10-02,151.30999755859375
2015-10-05,155.17999267578125
2015-10-06,154.57000732421875
2015-10-07,157.3000030517578
2015-10-08,161.72000122070312
2015-10-09,161.88999938964844
2015-10-12,163.60000610351562
2015-10-13,161.7899932861328
2015-10-14,158.9499969482422
2015-10-15,160.60000610351562
2015-10-16,159.97000122070312
2015-10-19,159.77999877929688
2015-10-20,159.33999633789062
2015-10-21,160.0800018310547
2015-10-22,164.11000061035156
2015-10-23,164.0
2015-10-26,162.36000061035156
2015-10-27,160.89999389648438
2015-10-28,164.8300018310547
2015-10-29,164.8000030517578
2015-10-30,165.88999938964844
2015-11-02,166.8300018310547
2015-11-03,167.8000030517578
2015-11-04,169.00999450683594
2015-11-05,169.4499969482422
2015-11-06,170.1699981689453
2015-11-09,169.3300018310547
2015-11-10,170.3300018310547
2015-11-11,169.80999755859375
2015-11-12,166.8300018310547
2015-11-13,165.8800048828125
2015-11-16,165.89999389648438
