Date,CPT
2015-07-01,49.88400650024414
2015-07-02,50.212730407714844
2015-07-06,50.35734176635742
2015-07-07,50.73208236694336
2015-07-08,50.54142761230469
2015-07-09,50.75838851928711
2015-07-10,50.988460540771484
2015-07-13,50.98191452026367
2015-07-14,51.18569564819336
2015-07-15,51.284297943115234
2015-07-16,51.51438522338867
2015-07-17,51.566986083984375
2015-07-20,51.862823486328125
2015-07-21,51.573551177978516
2015-07-22,51.88254165649414
2015-07-23,51.448665618896484
2015-07-24,51.89569091796875
2015-07-27,51.88254165649414
2015-07-28,51.68532180786133
2015-07-29,51.68532180786133
2015-07-30,51.7379150390625
2015-07-31,52.34929275512695
2015-08-03,52.428192138671875
2015-08-04,52.046897888183594
2015-08-05,51.836517333984375
2015-08-06,51.935142517089844
2015-08-07,52.34273147583008
2015-08-10,52.4150390625
2015-08-11,52.50050735473633
2015-08-12,52.65171432495117
2015-08-13,52.59254455566406
2015-08-14,52.67142868041992
2015-08-17,53.085594177246094
2015-08-18,53.433998107910156
2015-08-19,52.730587005615234
2015-08-20,51.935142517089844
2015-08-21,50.922725677490234
2015-08-24,47.83291244506836
2015-08-25,46.98486328125
2015-08-26,47.59625244140625
2015-08-27,48.48374557495117
2015-08-28,48.6218147277832
2015-08-31,47.35300827026367
2015-09-01,46.51808547973633
2015-09-02,46.76134490966797
2015-09-03,46.735042572021484
2015-09-04,45.6766242980957
2015-09-08,46.5312385559082
2015-09-09,45.656883239746094
2015-09-10,45.88699722290039
2015-09-11,46.49838638305664
2015-09-14,46.37347412109375
2015-09-15,47.04401397705078
2015-09-16,47.55023193359375
2015-09-17,47.79347610473633
2015-09-18,47.91181564331055
2015-09-21,48.12874984741211
2015-09-22,47.73429870605469
2015-09-23,48.05643081665039
2015-09-24,47.38587951660156
2015-09-25,47.609397888183594
2015-09-28,47.257568359375
2015-09-29,48.6383056640625
2015-09-30,49.05654525756836
2015-10-01,49.20256805419922
2015-10-02,49.55438995361328
2015-10-05,50.019081115722656
2015-10-06,49.653968811035156
2015-10-07,50.49703598022461
2015-10-08,51.07455062866211
2015-10-09,50.98161697387695
2015-10-12,51.34670639038086
2015-10-13,51.02143478393555
2015-10-14,50.656349182128906
2015-10-15,51.3931884765625
2015-10-16,51.52595901489258
2015-10-19,52.46857452392578
2015-10-20,52.27606201171875
2015-10-21,52.149940490722656
2015-10-22,52.4088249206543
2015-10-23,51.851234436035156
2015-10-26,51.48613357543945
2015-10-27,51.49940490722656
2015-10-28,50.921871185302734
2015-10-29,50.70280838012695
2015-10-30,48.9835090637207
