Date,LUMN
2020-07-01,9.869999885559082
2020-07-02,9.789999961853027
2020-07-06,9.979999542236328
2020-07-07,9.899999618530273
2020-07-08,9.800000190734863
2020-07-09,9.630000114440918
2020-07-10,9.90999984741211
2020-07-13,9.680000305175781
2020-07-14,9.890000343322754
2020-07-15,9.710000038146973
2020-07-16,9.930000305175781
2020-07-17,9.800000190734863
2020-07-20,9.640000343322754
2020-07-21,9.729999542236328
2020-07-22,9.819999694824219
2020-07-23,9.989999771118164
2020-07-24,10.09000015258789
2020-07-27,9.699999809265137
2020-07-28,9.890000343322754
2020-07-29,9.84000015258789
2020-07-30,9.739999771118164
2020-07-31,9.649999618530273
2020-08-03,9.800000190734863
2020-08-04,9.880000114440918
2020-08-05,9.84000015258789
2020-08-06,10.5600004196167
2020-08-07,10.489999771118164
2020-08-10,10.859999656677246
2020-08-11,11.039999961853027
2020-08-12,10.789999961853027
2020-08-13,10.850000381469727
2020-08-14,11.069999694824219
2020-08-17,10.800000190734863
2020-08-18,10.899999618530273
2020-08-19,11.289999961853027
2020-08-20,11.0
2020-08-21,11.010000228881836
2020-08-24,11.420000076293945
2020-08-25,11.210000038146973
2020-08-26,11.229999542236328
2020-08-27,11.34000015258789
2020-08-28,10.989999771118164
2020-08-31,10.75
2020-09-01,10.649999618530273
2020-09-02,10.920000076293945
2020-09-03,10.770000457763672
2020-09-04,10.760000228881836
2020-09-08,10.649999618530273
2020-09-09,10.859999656677246
2020-09-10,10.550000190734863
2020-09-11,10.649999618530273
2020-09-14,10.869999885559082
2020-09-15,10.989999771118164
2020-09-16,11.0
2020-09-17,11.0
2020-09-18,10.770000457763672
2020-09-21,10.260000228881836
2020-09-22,10.260000228881836
2020-09-23,10.050000190734863
2020-09-24,10.140000343322754
2020-09-25,10.210000038146973
2020-09-28,10.279999732971191
2020-09-29,10.220000267028809
2020-09-30,10.09000015258789
2020-10-01,9.949999809265137
2020-10-02,10.029999732971191
2020-10-05,10.0600004196167
2020-10-06,9.890000343322754
2020-10-07,10.079999923706055
2020-10-08,10.130000114440918
