Date,ZBH
2015-07-01,97.0492935180664
2015-07-02,96.14287567138672
2015-07-06,96.67606353759766
2015-07-07,97.54694366455078
2015-07-08,95.92071533203125
2015-07-09,94.94319915771484
2015-07-10,94.91653442382812
2015-07-13,95.6452407836914
2015-07-14,95.44085693359375
2015-07-15,95.20088958740234
2015-07-16,95.7696304321289
2015-07-17,95.52970886230469
2015-07-20,96.0007095336914
2015-07-21,96.2051010131836
2015-07-22,96.45391845703125
2015-07-23,95.84072875976562
2015-07-24,94.78324127197266
2015-07-27,94.00123596191406
2015-07-28,94.64104461669922
2015-07-29,95.08538055419922
2015-07-30,93.1747817993164
2015-07-31,92.48165893554688
2015-08-03,92.71269226074219
2015-08-04,91.64631652832031
2015-08-05,92.31278228759766
2015-08-06,90.36664581298828
2015-08-07,90.40218353271484
2015-08-10,91.91292572021484
2015-08-11,92.57054138183594
2015-08-12,92.13506317138672
2015-08-13,92.73934173583984
2015-08-14,93.77906799316406
2015-08-17,94.54328155517578
2015-08-18,94.17008209228516
2015-08-19,94.32113647460938
2015-08-20,93.20145416259766
2015-08-21,92.73934173583984
2015-08-24,88.48272705078125
2015-08-25,87.11420440673828
2015-08-26,89.77125549316406
2015-08-27,91.8951416015625
2015-08-28,92.74822998046875
2015-08-31,92.0284194946289
2015-09-01,89.44244384765625
2015-09-02,90.31336212158203
2015-09-03,90.72209930419922
2015-09-04,89.27362823486328
2015-09-08,91.25530242919922
2015-09-09,89.9578857421875
2015-09-10,88.95369720458984
2015-09-11,89.04257202148438
2015-09-14,88.01176452636719
2015-09-15,88.83817291259766
2015-09-16,89.52244567871094
2015-09-17,89.65571594238281
2015-09-18,88.1539077758789
2015-09-21,87.25639343261719
2015-09-22,86.71431732177734
2015-09-23,86.50991821289062
2015-09-24,84.97256469726562
2015-09-25,83.92395782470703
2015-09-28,82.31173706054688
2015-09-29,83.54094696044922
2015-09-30,83.6656494140625
2015-10-01,83.69237518310547
2015-10-02,84.85921478271484
2015-10-05,85.06407165527344
2015-10-06,83.7190933227539
2015-10-07,84.52073669433594
2015-10-08,85.01065063476562
2015-10-09,85.91027069091797
2015-10-12,85.96373748779297
2015-10-13,85.5896224975586
2015-10-14,84.78795623779297
2015-10-15,87.21963500976562
2015-10-16,87.77188873291016
2015-10-19,87.46012878417969
2015-10-20,87.0325698852539
2015-10-21,86.31109619140625
2015-10-22,84.07540893554688
2015-10-23,84.22679901123047
2015-10-26,84.32475280761719
2015-10-27,84.78795623779297
2015-10-28,87.17507934570312
2015-10-29,93.41014862060547
2015-10-30,93.1429443359375
2015-11-02,95.26286315917969
2015-11-03,94.7729721069336
2015-11-04,96.01109313964844
2015-11-05,96.06454467773438
2015-11-06,95.55677795410156
2015-11-09,95.23614501953125
2015-11-10,95.53901672363281
2015-11-11,94.97782135009766
2015-11-12,93.21420288085938
2015-11-13,92.89354705810547
2015-11-16,94.0514907836914
2015-11-17,93.30325317382812
2015-11-18,93.49922943115234
2015-11-19,92.69756317138672
2015-11-20,92.40363311767578
2015-11-23,91.61092376708984
2015-11-24,90.78252410888672
2015-11-25,90.22136688232422
2015-11-27,89.9630355834961
2015-11-30,89.97196197509766
2015-12-01,91.49508666992188
2015-12-02,91.08538055419922
2015-12-03,88.50225830078125
2015-12-04,89.56224822998047
2015-12-07,89.4375228881836
2015-12-08,88.8763656616211
2015-12-09,89.07233428955078
2015-12-10,89.04559326171875
2015-12-11,88.14598846435547
2015-12-14,88.61808013916016
2015-12-15,90.01651000976562
2015-12-16,90.79142761230469
2015-12-17,89.70475006103516
2015-12-18,88.14598846435547
2015-12-21,89.27721405029297
2015-12-22,90.6133041381836
2015-12-23,91.53962707519531
2015-12-24,91.66436004638672
2015-12-28,91.07645416259766
2015-12-29,91.73699951171875
2015-12-30,91.4692153930664
2015-12-31,91.57635498046875
2016-01-04,90.8801040649414
2016-01-05,92.77249908447266
2016-01-06,93.17417907714844
2016-01-07,91.03185272216797
2016-01-08,90.64798736572266
2016-01-11,89.08586120605469
2016-01-12,91.82628631591797
2016-01-13,90.33556365966797
2016-01-14,91.674560546875
2016-01-15,90.22844696044922
2016-01-19,88.58599090576172
2016-01-20,87.7290267944336
2016-01-21,87.63978576660156
2016-01-22,88.5056381225586
2016-01-25,88.42530822753906
2016-01-26,90.81759643554688
2016-01-27,90.72834777832031
2016-01-28,87.07740020751953
2016-01-29,88.6038589477539
2016-02-01,88.39854431152344
2016-02-02,87.51482391357422
2016-02-03,86.81857299804688
2016-02-04,87.07740020751953
2016-02-05,84.81011962890625
2016-02-08,82.15001678466797
2016-02-09,82.03397369384766
2016-02-10,82.93553924560547
2016-02-11,81.83761596679688
2016-02-12,81.92684936523438
2016-02-16,83.5693588256836
2016-02-17,85.13146209716797
2016-02-18,84.88153076171875
2016-02-19,84.61371612548828
2016-02-22,84.92616271972656
2016-02-23,83.51577758789062
2016-02-24,84.2209701538086
2016-02-25,86.48828125
2016-02-26,87.0595703125
2016-02-29,86.4168701171875
2016-03-01,86.93460083007812
2016-03-02,86.97921752929688
2016-03-03,88.27355194091797
2016-03-04,88.63060760498047
2016-03-07,89.87140655517578
2016-03-08,89.75536346435547
2016-03-09,89.60358428955078
2016-03-10,90.03208923339844
2016-03-11,93.37055969238281
2016-03-14,93.7722396850586
2016-03-15,93.11167907714844
2016-03-16,93.06707763671875
2016-03-17,92.468994140625
2016-03-18,93.29020690917969
2016-03-21,93.17417907714844
2016-03-22,93.20096588134766
2016-03-23,93.21881103515625
2016-03-24,92.60289764404297
2016-03-28,93.13848114013672
2016-03-29,94.69526672363281
2016-03-30,95.46468353271484
2016-03-31,95.40206146240234
