Date,AMGN
2015-07-01,113.24043273925781
2015-07-02,111.97643280029297
2015-07-06,112.88240051269531
2015-07-07,113.53267669677734
2015-07-08,111.2823257446289
2015-07-09,110.55169677734375
2015-07-10,112.59014892578125
2015-07-13,113.8030014038086
2015-07-14,116.40406036376953
2015-07-15,117.22966766357422
2015-07-16,119.12200164794922
2015-07-17,119.29006958007812
2015-07-20,120.07179260253906
2015-07-21,119.6042251586914
2015-07-22,120.00601959228516
2015-07-23,119.89645385742188
2015-07-24,115.87068176269531
2015-07-27,120.9485855102539
2015-07-28,126.2091293334961
2015-07-29,125.28121185302734
2015-07-30,125.44195556640625
2015-07-31,129.0220489501953
2015-08-03,128.29139709472656
2015-08-04,127.7142333984375
2015-08-05,128.91249084472656
2015-08-06,123.95877838134766
2015-08-07,125.89495849609375
2015-08-10,124.64554595947266
2015-08-11,123.15508270263672
2015-08-12,124.66023254394531
2015-08-13,123.74266815185547
2015-08-14,123.11138153076172
2015-08-17,124.63084411621094
2015-08-18,123.11138153076172
2015-08-19,122.26725769042969
2015-08-20,118.28878784179688
2015-08-21,113.91400146484375
2015-08-24,108.37208557128906
2015-08-25,106.57369232177734
2015-08-26,113.02583312988281
2015-08-27,114.30302429199219
2015-08-28,114.42780303955078
2015-08-31,111.41094207763672
2015-09-01,108.23995208740234
2015-09-02,111.78532409667969
2015-09-03,109.53915405273438
2015-09-04,107.9169921875
2015-09-08,113.4515609741211
2015-09-09,110.89714813232422
2015-09-10,112.40921020507812
2015-09-11,112.46057891845703
2015-09-14,110.83842468261719
2015-09-15,111.67523956298828
2015-09-16,110.97054290771484
2015-09-17,112.97442626953125
2015-09-18,110.53742980957031
2015-09-21,107.96836853027344
2015-09-22,107.11688995361328
2015-09-23,106.96273803710938
2015-09-24,105.34053039550781
2015-09-25,101.68506622314453
2015-09-28,97.06802368164062
2015-09-29,98.2278060913086
2015-09-30,101.53089904785156
2015-10-01,102.93289947509766
2015-10-02,104.57715606689453
2015-10-05,105.55339813232422
2015-10-06,103.65960693359375
2015-10-07,108.67301940917969
2015-10-08,110.03097534179688
2015-10-09,109.80343627929688
2015-10-12,112.32848358154297
2015-10-13,108.32804870605469
2015-10-14,108.49688720703125
2015-10-15,111.96881866455078
2015-10-16,112.02017211914062
2015-10-19,113.38548278808594
2015-10-20,110.43470764160156
2015-10-21,110.1704330444336
2015-10-22,111.79996490478516
2015-10-23,114.32501220703125
2015-10-26,116.40232849121094
2015-10-27,118.89806365966797
2015-10-28,119.404541015625
2015-10-29,117.87043762207031
2015-10-30,116.10870361328125
2015-11-02,119.14025115966797
2015-11-03,119.2503662109375
2015-11-04,118.82466888427734
2015-11-05,118.34019470214844
2015-11-06,117.78230285644531
2015-11-09,117.17310333251953
2015-11-10,116.2481460571289
2015-11-11,115.13982391357422
2015-11-12,111.38472747802734
2015-11-13,111.8051986694336
2015-11-16,113.98159790039062
2015-11-17,116.26856231689453
2015-11-18,118.71784973144531
2015-11-19,117.66291809082031
2015-11-20,117.97274017333984
2015-11-23,119.86140441894531
2015-11-24,120.09008026123047
2015-11-25,120.9532699584961
2015-11-27,120.6360092163086
2015-11-30,118.85069274902344
2015-12-01,119.49990844726562
2015-12-02,118.42276763916016
2015-12-03,114.09222412109375
2015-12-04,119.09412384033203
2015-12-07,116.78498077392578
2015-12-08,117.55962371826172
2015-12-09,116.48252868652344
2015-12-10,117.795654296875
2015-12-11,114.46110534667969
2015-12-14,116.64479064941406
2015-12-15,119.97207641601562
2015-12-16,121.41799926757812
2015-12-17,119.09412384033203
2015-12-18,117.15386199951172
2015-12-21,117.50796508789062
2015-12-22,119.7359848022461
2015-12-23,120.04581451416016
2015-12-24,120.65815734863281
2015-12-28,119.31543731689453
2015-12-29,121.31474304199219
2015-12-30,120.46632385253906
2015-12-31,119.75810241699219
2016-01-04,116.81451416015625
2016-01-05,116.68909454345703
2016-01-06,115.61934661865234
2016-01-07,112.8602066040039
2016-01-08,111.1855239868164
2016-01-11,108.95753479003906
2016-01-12,111.24452209472656
2016-01-13,107.31234741210938
2016-01-14,112.99298858642578
2016-01-15,111.62075805664062
2016-01-19,111.62075805664062
2016-01-20,114.36518096923828
2016-01-21,112.7126235961914
2016-01-22,115.14720916748047
2016-01-25,113.19219970703125
2016-01-26,113.45038604736328
2016-01-27,111.00843048095703
2016-01-28,109.44445037841797
2016-01-29,112.67576599121094
2016-02-01,112.69053649902344
2016-02-02,110.7428970336914
2016-02-03,111.17073059082031
2016-02-04,110.59532165527344
2016-02-05,107.00248718261719
2016-02-08,105.49750518798828
2016-02-09,105.61553955078125
2016-02-10,106.83281707763672
2016-02-11,105.0870361328125
2016-02-12,107.50881958007812
2016-02-16,109.31401062011719
2016-02-17,112.22611999511719
2016-02-18,110.91119384765625
2016-02-19,111.52037048339844
2016-02-22,110.36143493652344
2016-02-23,109.39570617675781
2016-02-24,109.2842788696289
2016-02-25,109.01683044433594
2016-02-26,109.64830780029297
2016-02-29,105.69621276855469
2016-03-01,110.23515319824219
2016-03-02,109.56661224365234
2016-03-03,108.3408432006836
2016-03-04,108.44483184814453
2016-03-07,109.432861328125
2016-03-08,107.44197082519531
2016-03-09,104.67105102539062
2016-03-10,104.7676010131836
2016-03-11,107.39739227294922
2016-03-14,107.43455505371094
2016-03-15,106.38710021972656
2016-03-16,106.95909881591797
2016-03-17,107.07051086425781
2016-03-18,108.09569549560547
2016-03-21,109.2099838256836
2016-03-22,111.89176940917969
2016-03-23,110.51005554199219
2016-03-24,110.86661529541016
2016-03-28,110.2203140258789
2016-03-29,111.0523681640625
2016-03-30,111.04493713378906
2016-03-31,111.37919616699219
2016-04-01,114.52154541015625
2016-04-04,114.89301300048828
2016-04-05,113.62266540527344
2016-04-06,118.60735321044922
2016-04-07,116.91361999511719
2016-04-08,116.23021697998047
2016-04-11,116.1781997680664
2016-04-12,117.81993103027344
2016-04-13,118.90453338623047
2016-04-14,118.94911193847656
2016-04-15,118.95657348632812
2016-04-18,120.12281036376953
2016-04-19,120.42000579833984
2016-04-20,120.91026306152344
2016-04-21,122.09144592285156
2016-04-22,121.229736328125
2016-04-25,121.4302978515625
2016-04-26,120.97716522216797
2016-04-27,119.60284423828125
2016-04-28,119.27598571777344
2016-04-29,117.59706115722656
2016-05-02,118.1096420288086
2016-05-03,116.14845275878906
2016-05-04,114.53643798828125
2016-05-05,114.58843994140625
2016-05-06,113.80101776123047
2016-05-09,115.4501953125
2016-05-10,116.80962371826172
2016-05-11,114.53643798828125
2016-05-12,113.58555603027344
2016-05-13,113.92203521728516
2016-05-16,114.6099853515625
2016-05-17,112.24707794189453
2016-05-18,112.78544616699219
2016-05-19,111.17025756835938
2016-05-20,112.29937744140625
2016-05-23,111.64136505126953
2016-05-24,114.19869232177734
2016-05-25,116.32984161376953
2016-05-26,116.31487274169922
2016-05-27,117.20476531982422
2016-05-31,118.10954284667969
2016-06-01,118.18431091308594
2016-06-02,119.54521942138672
2016-06-03,119.03677368164062
2016-06-06,119.78453063964844
2016-06-07,118.8124008178711
2016-06-08,118.14688873291016
2016-06-09,117.2346420288086
2016-06-10,115.73912048339844
2016-06-13,114.46794128417969
2016-06-14,114.400634765625
2016-06-15,113.58552551269531
2016-06-16,113.88462829589844
2016-06-17,111.88063049316406
2016-06-20,112.65084075927734
2016-06-21,111.73106384277344
2016-06-22,112.02275085449219
2016-06-23,113.86222839355469
2016-06-24,109.51023864746094
2016-06-27,108.11190032958984
2016-06-28,110.98334503173828
2016-06-29,112.23959350585938
2016-06-30,113.77246856689453
2016-07-01,115.3652114868164
2016-07-05,115.35770416259766
2016-07-06,116.68882751464844
2016-07-07,117.0925521850586
2016-07-08,120.46498107910156
2016-07-11,119.77705383300781
2016-07-12,121.10807037353516
2016-07-13,120.0312728881836
2016-07-14,121.69133758544922
2016-07-15,122.0950927734375
2016-07-18,121.8333969116211
2016-07-19,121.50438690185547
2016-07-20,122.07267761230469
2016-07-21,122.77554321289062
2016-07-22,123.88232421875
2016-07-25,124.54776000976562
2016-07-26,125.3778305053711
2016-07-27,127.62857055664062
2016-07-28,128.07723999023438
2016-07-29,128.63804626464844
2016-08-01,130.23077392578125
2016-08-02,130.22332763671875
2016-08-03,129.6849365234375
2016-08-04,129.11663818359375
2016-08-05,129.85691833496094
2016-08-08,128.8699188232422
2016-08-09,128.6754913330078
2016-08-10,128.0398712158203
2016-08-11,128.93716430664062
2016-08-12,129.37835693359375
2016-08-15,131.30377197265625
2016-08-16,129.48367309570312
2016-08-17,131.1006622314453
2016-08-18,131.43162536621094
2016-08-19,130.5817413330078
2016-08-22,131.13082885742188
2016-08-23,131.16836547851562
2016-08-24,128.49081420898438
2016-08-25,128.03207397460938
2016-08-26,129.3407745361328
2016-08-29,128.9947967529297
2016-08-30,128.43072509765625
2016-08-31,127.90425872802734
2016-09-01,127.95683288574219
2016-09-02,127.68609619140625
2016-09-06,128.49081420898438
2016-09-07,128.33291625976562
2016-09-08,128.58863830566406
2016-09-09,125.26429748535156
2016-09-12,129.39341735839844
2016-09-13,127.3326416015625
2016-09-14,127.96438598632812
2016-09-15,129.8446044921875
2016-09-16,130.08529663085938
2016-09-19,128.89706420898438
2016-09-20,130.40126037597656
