Date,WRK
2016-01-04,25.65999984741211
2016-01-05,25.65999984741211
2016-01-06,25.65999984741211
2016-01-07,25.65999984741211
2016-01-08,25.65999984741211
2016-01-11,25.65999984741211
2016-01-12,25.65999984741211
2016-01-13,25.65999984741211
2016-01-14,24.459999084472656
2016-01-15,24.459999084472656
2016-01-19,24.459999084472656
2016-01-20,24.459999084472656
2016-01-21,23.0
2016-01-22,23.0
2016-01-25,23.0
2016-01-26,23.0
2016-01-27,23.0
2016-01-28,23.0
2016-01-29,23.0
2016-02-01,23.0
2016-02-02,21.469999313354492
2016-02-03,21.469999313354492
2016-02-04,21.469999313354492
2016-02-05,21.469999313354492
2016-02-08,21.270000457763672
2016-02-09,21.270000457763672
2016-02-10,23.059999465942383
2016-02-11,23.059999465942383
2016-02-12,23.709999084472656
2016-02-16,23.709999084472656
2016-02-17,23.709999084472656
2016-02-18,23.709999084472656
2016-02-19,23.709999084472656
2016-02-22,23.709999084472656
2016-02-23,23.670000076293945
2016-02-24,23.110000610351562
2016-02-25,23.1299991607666
2016-02-26,23.1299991607666
2016-02-29,23.1299991607666
2016-03-01,23.1299991607666
2016-03-02,23.1299991607666
2016-03-03,23.1299991607666
2016-03-04,23.1299991607666
2016-03-07,24.530000686645508
2016-03-08,24.530000686645508
2016-03-09,25.170000076293945
2016-03-10,25.170000076293945
2016-03-11,25.170000076293945
2016-03-14,25.389999389648438
2016-03-15,25.389999389648438
2016-03-16,25.389999389648438
2016-03-17,25.389999389648438
2016-03-18,25.389999389648438
2016-03-21,25.329999923706055
2016-03-22,25.0
2016-03-23,25.350000381469727
2016-03-24,25.350000381469727
2016-03-28,25.239999771118164
2016-03-29,25.8799991607666
2016-03-30,25.8799991607666
2016-03-31,26.0
2016-04-01,26.0
2016-04-04,25.75
2016-04-05,25.200000762939453
2016-04-06,25.200000762939453
2016-04-07,25.200000762939453
2016-04-08,26.0
2016-04-11,26.0
2016-04-12,26.0
2016-04-13,26.0
2016-04-14,26.0
2016-04-15,26.760000228881836
2016-04-18,26.760000228881836
2016-04-19,26.90999984741211
2016-04-20,26.90999984741211
2016-04-21,26.90999984741211
2016-04-22,26.829999923706055
2016-04-25,26.829999923706055
2016-04-26,26.829999923706055
2016-04-27,26.829999923706055
2016-04-28,26.829999923706055
2016-04-29,26.829999923706055
2016-05-02,26.829999923706055
2016-05-03,26.829999923706055
2016-05-04,26.829999923706055
2016-05-05,26.829999923706055
2016-05-06,26.829999923706055
2016-05-09,26.829999923706055
2016-05-10,26.829999923706055
2016-05-11,26.829999923706055
2016-05-12,26.829999923706055
2016-05-13,26.829999923706055
2016-05-16,26.829999923706055
2016-05-17,26.829999923706055
2016-05-18,26.829999923706055
2016-05-19,26.59000015258789
2016-05-20,26.59000015258789
2016-05-23,26.59000015258789
2016-05-24,26.59000015258789
2016-05-25,26.59000015258789
2016-05-26,27.68000030517578
2016-05-27,27.68000030517578
2016-05-31,27.68000030517578
2016-06-01,27.68000030517578
2016-06-02,27.68000030517578
2016-06-03,27.68000030517578
2016-06-06,27.229999542236328
2016-06-07,27.229999542236328
2016-06-08,27.229999542236328
2016-06-09,27.229999542236328
2016-06-10,27.229999542236328
2016-06-13,26.5
2016-06-14,24.18000030517578
2016-06-15,24.899999618530273
2016-06-16,24.899999618530273
2016-06-17,24.899999618530273
2016-06-20,25.479999542236328
