Date,CRWD
2024-01-02,246.88999938964844
2024-01-03,244.36000061035156
2024-01-04,245.64999389648438
2024-01-05,247.4600067138672
2024-01-08,261.2799987792969
2024-01-09,273.7699890136719
2024-01-10,282.0400085449219
2024-01-11,284.5199890136719
2024-01-12,283.3500061035156
2024-01-16,286.2900085449219
2024-01-17,276.2699890136719
2024-01-18,283.1099853515625
2024-01-19,290.5400085449219
2024-01-22,298.6600036621094
2024-01-23,297.2699890136719
2024-01-24,300.2799987792969
2024-01-25,293.4599914550781
2024-01-26,290.30999755859375
2024-01-29,300.6700134277344
2024-01-30,301.3500061035156
2024-01-31,292.5
2024-02-01,299.3699951171875
2024-02-02,303.57000732421875
2024-02-05,302.489990234375
2024-02-06,302.1099853515625
2024-02-07,317.7799987792969
2024-02-08,323.0400085449219
2024-02-09,329.3399963378906
2024-02-12,321.2900085449219
2024-02-13,322.44000244140625
2024-02-14,334.54998779296875
2024-02-15,331.3800048828125
2024-02-16,329.239990234375
2024-02-20,323.7099914550781
2024-02-21,292.3599853515625
2024-02-22,310.9100036621094
2024-02-23,311.489990234375
2024-02-26,321.0299987792969
2024-02-27,321.2099914550781
2024-02-28,320.94000244140625
2024-02-29,324.1499938964844
2024-03-01,314.6000061035156
2024-03-04,313.80999755859375
2024-03-05,297.55999755859375
2024-03-06,329.57000732421875
2024-03-07,329.67999267578125
2024-03-08,322.8500061035156
2024-03-11,317.3699951171875
2024-03-12,329.2699890136719
2024-03-13,332.1700134277344
2024-03-14,328.5899963378906
2024-03-15,315.6499938964844
2024-03-18,321.05999755859375
2024-03-19,320.8599853515625
2024-03-20,326.8699951171875
2024-03-21,329.4599914550781
2024-03-22,327.5799865722656
2024-03-25,324.760009765625
2024-03-26,330.010009765625
2024-03-27,322.25
2024-03-28,320.5899963378906
2024-04-01,319.5899963378906
2024-04-02,319.54998779296875
2024-04-03,320.0400085449219
2024-04-04,309.19000244140625
2024-04-05,315.5
2024-04-08,313.7300109863281
2024-04-09,310.7699890136719
2024-04-10,312.5299987792969
2024-04-11,317.79998779296875
2024-04-12,309.04998779296875
2024-04-15,299.5
2024-04-16,299.1499938964844
2024-04-17,293.69000244140625
2024-04-18,294.1000061035156
2024-04-19,282.6400146484375
2024-04-22,289.1499938964844
2024-04-23,299.6499938964844
2024-04-24,297.6199951171875
2024-04-25,298.0199890136719
2024-04-26,304.07000732421875
2024-04-29,304.0400085449219
2024-04-30,292.5400085449219
2024-05-01,295.44000244140625
2024-05-02,303.5400085449219
2024-05-03,310.2099914550781
2024-05-06,317.80999755859375
2024-05-07,312.54998779296875
2024-05-08,313.760009765625
2024-05-09,317.94000244140625
2024-05-10,320.760009765625
2024-05-13,319.17999267578125
2024-05-14,329.54998779296875
2024-05-15,343.1199951171875
2024-05-16,339.05999755859375
2024-05-17,345.92999267578125
2024-05-20,348.75
2024-05-21,349.32000732421875
2024-05-22,345.4200134277344
2024-05-23,342.3500061035156
2024-05-24,351.4700012207031
2024-05-28,346.82000732421875
2024-05-29,349.5199890136719
2024-05-30,315.9200134277344
2024-05-31,313.6700134277344
2024-06-03,308.69000244140625
2024-06-04,305.5799865722656
2024-06-05,342.17999267578125
2024-06-06,340.489990234375
2024-06-07,349.1199951171875
2024-06-10,374.57000732421875
2024-06-11,384.6300048828125
2024-06-12,387.3699951171875
2024-06-13,382.80999755859375
2024-06-14,385.43499755859375
2024-06-17,390.42999267578125
2024-06-18,389.510009765625
2024-06-20,382.1400146484375
2024-06-21,380.6300048828125
2024-06-24,377.92999267578125
