Date,JCI
2015-07-01,28.36754035949707
2015-07-02,28.053482055664062
2015-07-06,27.90741539001465
2015-07-07,28.257984161376953
2015-07-08,27.586048126220703
2015-07-09,27.73213005065918
2015-07-10,27.54953384399414
2015-07-13,27.848981857299805
2015-07-14,27.834360122680664
2015-07-15,27.878183364868164
2015-07-16,28.155731201171875
2015-07-17,28.046173095703125
2015-07-20,27.980449676513672
2015-07-21,27.812463760375977
2015-07-22,27.309452056884766
2015-07-23,27.221336364746094
2015-07-24,26.758705139160156
2015-07-27,26.648563385009766
2015-07-28,26.758705139160156
2015-07-29,27.015724182128906
2015-07-30,27.1185245513916
2015-07-31,27.89690399169922
2015-08-03,28.036428451538086
2015-08-04,28.102519989013672
2015-08-05,28.1098690032959
2015-08-06,28.146581649780273
2015-08-07,27.889570236206055
2015-08-10,28.293441772460938
2015-08-11,27.786762237548828
2015-08-12,27.8308162689209
2015-08-13,27.51506233215332
2015-08-14,27.617855072021484
2015-08-17,27.882230758666992
2015-08-18,27.95565414428711
2015-08-19,27.470989227294922
2015-08-20,26.986345291137695
2015-08-21,26.384206771850586
2015-08-24,25.414897918701172
2015-08-25,25.517698287963867
2015-08-26,26.0831356048584
2015-08-27,26.744016647338867
2015-08-28,26.714649200439453
2015-08-31,26.648563385009766
2015-09-01,26.01703453063965
2015-09-02,26.43561363220215
2015-09-03,26.56043243408203
2015-09-04,26.002355575561523
2015-09-08,26.714649200439453
2015-09-09,26.33279800415039
2015-09-10,26.23733901977539
2015-09-11,26.406238555908203
2015-09-14,26.464981079101562
2015-09-15,26.890892028808594
2015-09-16,27.089157104492188
2015-09-17,26.751361846923828
2015-09-18,26.0831356048584
2015-09-21,26.075790405273438
2015-09-22,25.635190963745117
2015-09-23,25.4222412109375
2015-09-24,25.128517150878906
2015-09-25,25.312091827392578
2015-09-28,24.636520385742188
2015-09-29,24.519023895263672
2015-09-30,24.57042121887207
2015-10-01,24.871498107910156
2015-10-02,25.25334930419922
2015-10-05,25.605823516845703
2015-10-06,25.82611656188965
2015-10-07,26.1271915435791
2015-10-08,26.604496002197266
2015-10-09,26.6999568939209
2015-10-12,26.494352340698242
2015-10-13,26.244686126708984
2015-10-14,26.47966766357422
2015-10-15,26.77338981628418
2015-10-16,26.780738830566406
2015-10-19,26.545751571655273
2015-10-20,26.898231506347656
