Date,D
2015-07-01,67.06999969482422
2015-07-02,67.9000015258789
2015-07-06,67.8499984741211
2015-07-07,69.33000183105469
2015-07-08,69.43000030517578
2015-07-09,68.6500015258789
2015-07-10,68.95999908447266
2015-07-13,69.08999633789062
2015-07-14,69.19999694824219
2015-07-15,69.5199966430664
2015-07-16,70.18000030517578
2015-07-17,69.6500015258789
2015-07-20,69.29000091552734
2015-07-21,68.7699966430664
2015-07-22,68.7300033569336
2015-07-23,68.2300033569336
2015-07-24,68.58999633789062
2015-07-27,69.13999938964844
2015-07-28,70.12999725341797
2015-07-29,70.6500015258789
2015-07-30,71.05000305175781
2015-07-31,71.69999694824219
2015-08-03,71.72000122070312
2015-08-04,70.25
2015-08-05,71.16000366210938
2015-08-06,71.33000183105469
2015-08-07,72.33999633789062
2015-08-10,72.3499984741211
2015-08-11,72.68000030517578
2015-08-12,74.48999786376953
2015-08-13,74.93000030517578
2015-08-14,75.37000274658203
2015-08-17,76.22000122070312
2015-08-18,76.08999633789062
2015-08-19,76.13999938964844
2015-08-20,75.72000122070312
2015-08-21,75.4000015258789
2015-08-24,72.36000061035156
2015-08-25,70.2300033569336
2015-08-26,70.62000274658203
2015-08-27,71.20999908447266
2015-08-28,71.02999877929688
2015-08-31,69.75
2015-09-01,67.80000305175781
2015-09-02,68.08999633789062
2015-09-03,68.08999633789062
2015-09-04,67.2300033569336
2015-09-08,68.72000122070312
2015-09-09,68.08000183105469
2015-09-10,67.2699966430664
2015-09-11,67.76000213623047
2015-09-14,68.11000061035156
2015-09-15,68.08000183105469
2015-09-16,68.75
2015-09-17,69.45999908447266
2015-09-18,69.0
2015-09-21,69.31999969482422
2015-09-22,69.08000183105469
2015-09-23,69.22000122070312
2015-09-24,69.41999816894531
2015-09-25,70.05999755859375
2015-09-28,69.43000030517578
2015-09-29,69.29000091552734
2015-09-30,70.37999725341797
2015-10-01,69.16000366210938
2015-10-02,69.3499984741211
2015-10-05,70.31999969482422
2015-10-06,69.77999877929688
2015-10-07,69.77999877929688
2015-10-08,70.70999908447266
2015-10-09,71.0199966430664
2015-10-12,72.0
2015-10-13,71.9000015258789
2015-10-14,72.08999633789062
2015-10-15,72.80000305175781
2015-10-16,73.13999938964844
2015-10-19,73.37000274658203
2015-10-20,73.69000244140625
2015-10-21,73.91999816894531
2015-10-22,74.48999786376953
2015-10-23,73.08000183105469
2015-10-26,72.83999633789062
2015-10-27,72.36000061035156
2015-10-28,71.5199966430664
2015-10-29,70.87999725341797
2015-10-30,71.43000030517578
2015-11-02,70.7300033569336
2015-11-03,70.70999908447266
2015-11-04,70.56999969482422
2015-11-05,70.23999786376953
