Date,SYY
2015-07-01,35.9900016784668
2015-07-02,35.91999816894531
2015-07-06,35.68000030517578
2015-07-07,36.029998779296875
2015-07-08,36.04999923706055
2015-07-09,36.0
2015-07-10,36.04999923706055
2015-07-13,36.119998931884766
2015-07-14,36.16999816894531
2015-07-15,36.029998779296875
2015-07-16,36.13999938964844
2015-07-17,36.349998474121094
2015-07-20,36.27000045776367
2015-07-21,36.29999923706055
2015-07-22,36.220001220703125
2015-07-23,36.13999938964844
2015-07-24,36.0
2015-07-27,35.779998779296875
2015-07-28,36.02000045776367
2015-07-29,36.25
2015-07-30,36.060001373291016
2015-07-31,36.310001373291016
2015-08-03,36.27000045776367
2015-08-04,36.45000076293945
2015-08-05,36.7599983215332
2015-08-06,36.25
2015-08-07,36.93000030517578
2015-08-10,37.59000015258789
2015-08-11,37.970001220703125
2015-08-12,38.630001068115234
2015-08-13,38.52000045776367
2015-08-14,41.380001068115234
2015-08-17,41.150001525878906
2015-08-18,41.150001525878906
2015-08-19,40.959999084472656
2015-08-20,40.54999923706055
2015-08-21,39.70000076293945
2015-08-24,39.2599983215332
2015-08-25,39.040000915527344
2015-08-26,39.95000076293945
2015-08-27,40.29999923706055
2015-08-28,39.90999984741211
2015-08-31,39.869998931884766
2015-09-01,39.08000183105469
2015-09-02,39.77000045776367
2015-09-03,39.90999984741211
2015-09-04,39.56999969482422
2015-09-08,40.06999969482422
2015-09-09,39.599998474121094
2015-09-10,39.369998931884766
2015-09-11,39.95000076293945
2015-09-14,39.880001068115234
2015-09-15,39.459999084472656
2015-09-16,39.529998779296875
2015-09-17,39.5099983215332
2015-09-18,39.47999954223633
2015-09-21,39.849998474121094
2015-09-22,39.349998474121094
2015-09-23,39.45000076293945
2015-09-24,39.709999084472656
2015-09-25,39.72999954223633
2015-09-28,38.720001220703125
2015-09-29,38.93000030517578
2015-09-30,38.970001220703125
2015-10-01,38.61000061035156
2015-10-02,39.400001525878906
2015-10-05,40.209999084472656
