Date,PFE
2015-07-01,20.104961395263672
2015-07-02,19.91399383544922
2015-07-06,19.84238624572754
2015-07-07,20.12883186340332
2015-07-08,19.961732864379883
2015-07-09,20.20640754699707
2015-07-10,20.504789352416992
2015-07-13,20.7793025970459
2015-07-14,20.934457778930664
2015-07-15,20.874788284301758
2015-07-16,20.946395874023438
2015-07-17,20.928491592407227
2015-07-20,21.029937744140625
2015-07-21,20.970264434814453
2015-07-22,20.815107345581055
2015-07-23,20.755430221557617
2015-07-24,20.445110321044922
2015-07-27,20.492849349975586
2015-07-28,21.095582962036133
2015-07-29,21.340255737304688
2015-07-30,21.32234764099121
2015-07-31,21.519289016723633
2015-08-03,21.572988510131836
2015-08-04,21.54912567138672
2015-08-05,21.543109893798828
2015-08-06,21.15218162536621
2015-08-07,21.164209365844727
2015-08-10,21.266448974609375
2015-08-11,21.12211036682129
2015-08-12,21.27246856689453
2015-08-13,21.266448974609375
2015-08-14,21.242401123046875
2015-08-17,21.350656509399414
2015-08-18,21.362688064575195
2015-08-19,21.21232795715332
2015-08-20,20.779294967651367
2015-08-21,20.171859741210938
2015-08-24,19.32384490966797
2015-08-25,18.848718643188477
2015-08-26,19.504274368286133
2015-08-27,20.003459930419922
2015-08-28,19.64259910583496
2015-08-31,19.37796974182129
2015-09-01,18.860746383666992
2015-09-02,19.227615356445312
2015-09-03,19.17949867248535
2015-09-04,18.866758346557617
2015-09-08,19.56441307067871
2015-09-09,19.22161102294922
2015-09-10,19.618547439575195
2015-09-11,19.829042434692383
2015-09-14,19.67266845703125
2015-09-15,19.949325561523438
2015-09-16,19.95534324645996
2015-09-17,20.135772705078125
2015-09-18,19.756872177124023
2015-09-21,19.498258590698242
2015-09-22,19.40203285217285
2015-09-23,19.618547439575195
2015-09-24,19.666658401489258
2015-09-25,19.17949867248535
2015-09-28,18.53597640991211
2015-09-29,18.65626335144043
2015-09-30,18.890817642211914
2015-10-01,19.14942741394043
2015-10-02,19.895198822021484
2015-10-05,20.135772705078125
2015-10-06,19.72079086303711
2015-10-07,20.021495819091797
2015-10-08,19.90121841430664
2015-10-09,19.991436004638672
2015-10-12,19.979400634765625
2015-10-13,19.835058212280273
2015-10-14,19.871143341064453
2015-10-15,20.496627807617188
2015-10-16,20.695098876953125
2015-10-19,20.749225616455078
2015-10-20,20.448514938354492
2015-10-21,20.123743057250977
2015-10-22,20.045551300048828
2015-10-23,20.478588104248047
2015-10-26,20.544742584228516
2015-10-27,21.04392433166504
2015-10-28,21.32058334350586
2015-10-29,20.91161346435547
2015-10-30,20.340259552001953
2015-11-02,21.086027145385742
2015-11-03,21.03189468383789
2015-11-04,20.69843864440918
2015-11-05,20.70450782775879
2015-11-06,20.571121215820312
2015-11-09,20.401365280151367
2015-11-10,20.486242294311523
2015-11-11,20.455930709838867
2015-11-12,20.243730545043945
2015-11-13,20.170976638793945
2015-11-16,20.10428810119629
2015-11-17,19.928464889526367
2015-11-18,20.19523048400879
2015-11-19,19.576826095581055
2015-11-20,19.510129928588867
2015-11-23,18.994792938232422
2015-11-24,19.382816314697266
2015-11-25,19.928464889526367
2015-11-27,19.87996482849121
2015-11-30,19.867835998535156
2015-12-01,20.3831729888916
2015-12-02,19.946657180786133
2015-12-03,19.6374454498291
2015-12-04,19.886024475097656
2015-12-07,19.801145553588867
2015-12-08,19.722332000732422
2015-12-09,19.576826095581055
2015-12-10,19.6192626953125
2015-12-11,19.4373779296875
2015-12-14,19.510129928588867
2015-12-15,19.558635711669922
2015-12-16,19.752643585205078
2015-12-17,19.60107421875
2015-12-18,19.394935607910156
2015-12-21,19.679893493652344
2015-12-22,19.716264724731445
2015-12-23,19.740524291992188
2015-12-24,19.77689552307129
2015-12-28,19.655637741088867
2015-12-29,19.904216766357422
2015-12-30,19.855712890625
2015-12-31,19.570758819580078
2016-01-04,19.370689392089844
2016-01-05,19.510129928588867
2016-01-06,19.164554595947266
2016-01-07,19.037229537963867
2016-01-08,18.794719696044922
2016-01-11,18.837154388427734
2016-01-12,18.794719696044922
2016-01-13,18.412763595581055
2016-01-14,18.86141014099121
2016-01-15,18.679527282714844
2016-01-19,18.606775283813477
2016-01-20,18.588584899902344
2016-01-21,18.54008674621582
2016-01-22,18.618900299072266
2016-01-25,18.49158477783203
2016-01-26,18.594650268554688
2016-01-27,18.503704071044922
2016-01-28,18.3096981048584
2016-01-29,18.485515594482422
2016-02-01,18.291507720947266
2016-02-02,18.273319244384766
2016-02-03,18.169212341308594
2016-02-04,17.758928298950195
2016-02-05,17.77728843688965
2016-02-08,17.489473342895508
2016-02-09,17.820159912109375
2016-02-10,18.058984756469727
2016-02-11,17.83852767944336
2016-02-12,17.979379653930664
2016-02-16,18.254945755004883
2016-02-17,18.144718170166016
2016-02-18,18.095733642578125
2016-02-19,18.058984756469727
2016-02-22,18.401912689208984
2016-02-23,18.346803665161133
2016-02-24,18.383544921875
2016-02-25,18.732601165771484
2016-02-26,18.512147903442383
2016-02-29,18.169212341308594
2016-03-01,18.395795822143555
2016-03-02,18.35904884338379
2016-03-03,18.303936004638672
2016-03-04,18.193706512451172
2016-03-07,18.242704391479492
2016-03-08,17.979379653930664
2016-03-09,18.212078094482422
2016-03-10,18.120227813720703
2016-03-11,18.677490234375
2016-03-14,18.43253517150879
2016-03-15,18.08960723876953
2016-03-16,17.783416748046875
2016-03-17,17.967126846313477
2016-03-18,18.03449249267578
2016-03-21,18.414169311523438
2016-03-22,18.604000091552734
2016-03-23,18.487651824951172
2016-03-24,18.420289993286133
2016-03-28,18.236572265625
2016-03-29,18.401912689208984
2016-03-30,18.414169311523438
2016-03-31,18.150840759277344
2016-04-01,18.395795822143555
2016-04-04,18.812211990356445
2016-04-05,19.204132080078125
2016-04-06,20.165559768676758
2016-04-07,20.06146240234375
2016-04-08,19.902236938476562
2016-04-11,19.528688430786133
2016-04-12,19.57155990600586
2016-04-13,19.926740646362305
2016-04-14,19.994098663330078
2016-04-15,19.902236938476562
2016-04-18,19.9695987701416
2016-04-19,20.141067504882812
2016-04-20,20.349273681640625
2016-04-21,20.355398178100586
2016-04-22,20.37376594543457
2016-04-25,20.337032318115234
2016-04-26,20.239049911499023
2016-04-27,20.208431243896484
2016-04-28,20.15330696105957
2016-04-29,20.030839920043945
2016-05-02,20.085952758789062
2016-05-03,20.637088775634766
2016-05-04,20.453378677368164
2016-05-05,20.557479858398438
2016-05-06,20.563602447509766
2016-05-09,20.71057891845703
2016-05-10,20.698326110839844
2016-05-11,20.488256454467773
2016-05-12,20.506793975830078
2016-05-13,20.506793975830078
2016-05-16,20.624183654785156
2016-05-17,20.407939910888672
2016-05-18,20.49443244934082
2016-05-19,20.624183654785156
2016-05-20,20.846616744995117
2016-05-23,20.803363800048828
2016-05-24,21.069042205810547
2016-05-25,21.223506927490234
2016-05-26,21.272939682006836
2016-05-27,21.3841552734375
2016-05-31,21.439760208129883
2016-06-01,21.470653533935547
2016-06-02,21.544797897338867
2016-06-03,21.433582305908203
2016-06-06,21.581863403320312
2016-06-07,21.526264190673828
2016-06-08,21.779586791992188
2016-06-09,21.81665802001953
2016-06-10,21.804296493530273
2016-06-13,21.464473724365234
2016-06-14,21.61894416809082
2016-06-15,21.49537467956543
2016-06-16,21.470653533935547
2016-06-17,21.1431941986084
2016-06-20,21.31618881225586
2016-06-21,21.470653533935547
2016-06-22,21.297657012939453
2016-06-23,21.37179946899414
2016-06-24,20.988723754882812
2016-06-27,20.883686065673828
2016-06-28,21.279117584228516
2016-06-29,21.63129425048828
2016-06-30,21.754871368408203
2016-07-01,21.977294921875
2016-07-05,22.125587463378906
2016-07-06,22.156476974487305
2016-07-07,22.100872039794922
2016-07-08,22.31713104248047
2016-07-11,22.335655212402344
2016-07-12,22.391265869140625
2016-07-13,22.43451499938965
2016-07-14,22.81141471862793
2016-07-15,22.71873664855957
2016-07-18,22.63840675354004
2016-07-19,22.63840675354004
2016-07-20,22.663129806518555
2016-07-21,22.68166160583496
2016-07-22,22.700193405151367
2016-07-25,22.72492218017578
2016-07-26,22.75580596923828
2016-07-27,22.768159866333008
2016-07-28,22.65694808959961
2016-07-29,22.79288101196289
2016-08-01,23.05238151550293
2016-08-02,22.483945846557617
2016-08-03,21.985546112060547
2016-08-04,21.898330688476562
2016-08-05,22.078998565673828
2016-08-08,21.76126480102539
2016-08-09,21.854717254638672
2016-08-10,21.885875701904297
2016-08-11,21.898330688476562
2016-08-12,21.792421340942383
2016-08-15,21.873411178588867
2016-08-16,21.674057006835938
2016-08-17,21.892093658447266
2016-08-18,21.923248291015625
2016-08-19,21.792421340942383
2016-08-22,21.705202102661133
2016-08-23,21.860950469970703
2016-08-24,21.69273567199707
2016-08-25,21.661590576171875
2016-08-26,21.69273567199707
2016-08-29,21.873411178588867
2016-08-30,21.730119705200195
2016-08-31,21.680280685424805
2016-09-01,21.605520248413086
2016-09-02,21.661590576171875
2016-09-06,21.661590576171875
2016-09-07,21.705202102661133
2016-09-08,21.63044548034668
2016-09-09,21.24418067932129
2016-09-12,21.586833953857422
2016-09-13,21.206806182861328
2016-09-14,21.144506454467773
2016-09-15,21.269102096557617
2016-09-16,21.144506454467773
2016-09-19,20.96383285522461
2016-09-20,21.06351661682129
2016-09-21,21.356319427490234
2016-09-22,21.27533531188965
2016-09-23,21.343862533569336
2016-09-26,20.957605361938477
2016-09-27,21.075979232788086
2016-09-28,21.175655364990234
2016-09-29,20.75824737548828
2016-09-30,21.100894927978516
2016-10-03,20.982524871826172
2016-10-04,21.007444381713867
2016-10-05,21.119586944580078
2016-10-06,20.96383285522461
2016-10-07,20.90776824951172
2016-10-10,20.93891716003418
2016-10-11,20.639877319335938
2016-10-12,20.602497100830078
2016-10-13,20.409372329711914
2016-10-14,20.347064971923828
2016-10-17,20.247390747070312
