Date,EMC
2016-01-04,25.59
2016-01-05,25.51
2016-01-06,25.25
2016-01-07,24.85
2016-01-08,24.47
2016-01-11,24.42
2016-01-12,24.66
2016-01-13,24.19
2016-01-14,24.67
2016-01-15,25.01
2016-01-19,24.35
2016-01-20,24.11
2016-01-21,23.98
2016-01-22,24.45
2016-01-25,23.98
2016-01-26,24.3
2016-01-27,23.9
2016-01-28,24.22
2016-01-29,24.77
2016-02-01,24.52
2016-02-02,24.3
2016-02-03,24.47
2016-02-04,24.75
2016-02-05,24.55
2016-02-08,24.2
2016-02-09,24.17
2016-02-10,24.55
2016-02-11,24.16
2016-02-12,24.13
2016-02-16,24.6
2016-02-17,24.98
2016-02-18,25.12
2016-02-19,25.03
2016-02-22,25.3
2016-02-23,25.28
2016-02-24,25.43
2016-02-25,25.93
2016-02-26,26.05
2016-02-29,26.13
2016-03-01,26.55
2016-03-02,26.28
2016-03-03,26.32
2016-03-04,26.31
2016-03-07,26.5
2016-03-08,26.35
2016-03-09,26.28
2016-03-10,26.23
2016-03-11,26.24
2016-03-14,26.21
2016-03-15,26.17
2016-03-16,26.28
2016-03-17,26.45
2016-03-18,26.5
2016-03-21,26.48
2016-03-22,26.43
2016-03-23,26.5
2016-03-24,26.48
2016-03-28,26.57
2016-03-29,26.71
2016-03-30,26.7
2016-03-31,26.65
2016-04-01,26.83
2016-04-04,26.76
2016-04-05,26.39
2016-04-06,26.41
2016-04-07,26.02
2016-04-08,25.69
2016-04-11,25.78
2016-04-12,25.65
2016-04-13,25.74
2016-04-14,25.63
2016-04-15,25.55
2016-04-18,25.54
2016-04-19,25.55
2016-04-20,26.37
2016-04-21,26.44
2016-04-22,26.57
2016-04-25,26.5
2016-04-26,26.48
2016-04-27,26.47
2016-04-28,26.19
2016-04-29,26.11
2016-05-02,26.45
2016-05-03,26.16
2016-05-04,26.19
2016-05-05,26.27
2016-05-06,26.44
2016-05-09,26.86
2016-05-10,27.07
2016-05-11,27.14
2016-05-12,27.04
2016-05-13,27.37
2016-05-16,27.78
2016-05-17,27.66
2016-05-18,27.73
2016-05-19,27.65
2016-05-20,27.81
2016-05-23,27.7
2016-05-24,27.87
2016-05-25,27.82
2016-05-26,27.84
2016-05-27,27.83
2016-05-31,27.95
2016-06-01,27.95
2016-06-02,27.93
2016-06-03,27.91
2016-06-06,27.97
2016-06-07,28.01
2016-06-08,27.94
2016-06-09,27.87
2016-06-10,27.71
2016-06-13,27.67
2016-06-14,27.61
2016-06-15,27.62
2016-06-16,27.68
2016-06-17,27.4
2016-06-20,27.72
2016-06-21,27.74
2016-06-22,27.65
2016-06-23,27.86
2016-06-24,27.29
2016-06-27,27.04
2016-06-28,27.18
2016-06-29,27.15
2016-06-30,27.17
2016-07-01,27.35
2016-07-05,27.29
2016-07-06,27.3
2016-07-07,27.33
2016-07-08,27.51
2016-07-11,27.51
2016-07-12,27.61
2016-07-13,27.53
2016-07-14,27.53
2016-07-15,27.55
2016-07-18,27.54
2016-07-19,28.11
2016-07-20,28.17
2016-07-21,28.21
2016-07-22,28.41
2016-07-25,28.56
2016-07-26,28.4
2016-07-27,28.34
2016-07-28,28.34
2016-07-29,28.28
2016-08-01,28.36
2016-08-02,28.13
2016-08-03,28.2
2016-08-04,28.2
2016-08-05,28.43
2016-08-08,28.45
2016-08-09,28.58
2016-08-10,28.36
2016-08-11,28.49
2016-08-12,28.48
2016-08-15,28.47
2016-08-16,28.69
2016-08-17,28.57
2016-08-18,28.54
2016-08-19,28.71
2016-08-22,28.63
2016-08-23,28.63
2016-08-24,28.74
2016-08-25,28.69
2016-08-26,28.7
2016-08-29,28.67
2016-08-30,28.99
2016-08-31,28.99
2016-09-01,28.86
2016-09-02,28.77
2016-09-06,29.05
