Date,STE
2015-07-01,57.58812713623047
2015-07-02,57.481239318847656
2015-07-06,57.64155960083008
2015-07-07,57.57029724121094
2015-07-08,57.650482177734375
2015-07-09,57.96219253540039
2015-07-10,59.27141189575195
2015-07-13,60.05514907836914
2015-07-14,60.500484466552734
2015-07-15,60.2867431640625
2015-07-16,60.79438781738281
2015-07-17,60.749874114990234
2015-07-20,61.212989807128906
2015-07-21,61.32877731323242
2015-07-22,61.809722900390625
2015-07-23,61.212989807128906
2015-07-24,60.36688995361328
2015-07-27,60.500484466552734
2015-07-28,60.776580810546875
2015-07-29,61.106101989746094
2015-07-30,61.17734909057617
2015-07-31,61.56924819946289
2015-08-03,61.106101989746094
2015-08-04,60.38469314575195
2015-08-05,61.56032180786133
2015-08-06,60.643001556396484
2015-08-07,59.921573638916016
2015-08-10,60.54501724243164
2015-08-11,60.224365234375
2015-08-12,60.6786003112793
2015-08-13,60.37580108642578
2015-08-14,61.212989807128906
2015-08-17,61.60484313964844
2015-08-18,61.35548400878906
2015-08-19,60.500484466552734
2015-08-20,58.39861297607422
2015-08-21,57.504554748535156
2015-08-24,55.39461898803711
2015-08-25,55.403568267822266
2015-08-26,56.235015869140625
2015-08-27,58.15721130371094
2015-08-28,57.83534622192383
2015-08-31,57.26316452026367
2015-09-01,55.70753860473633
2015-09-02,57.021766662597656
2015-09-03,57.42410659790039
2015-09-04,56.77145767211914
2015-09-08,58.17508316040039
2015-09-09,57.08436584472656
2015-09-10,57.83534622192383
2015-09-11,57.80854415893555
2015-09-14,57.28105545043945
2015-09-15,57.307861328125
2015-09-16,57.01284408569336
2015-09-17,57.06647491455078
2015-09-18,56.79826736450195
2015-09-21,56.95025634765625
2015-09-22,56.32442092895508
2015-09-23,56.288665771484375
2015-09-24,60.79460144042969
2015-09-25,60.25821304321289
2015-09-28,57.871116638183594
2015-09-29,57.558189392089844
2015-09-30,58.08567810058594
2015-10-01,58.380706787109375
2015-10-02,58.380706787109375
2015-10-05,59.16747283935547
2015-10-06,58.28236770629883
2015-10-07,59.58766174316406
2015-10-08,60.17772674560547
2015-10-09,59.57872772216797
2015-10-12,60.06148910522461
2015-10-13,59.19427490234375
2015-10-14,58.318145751953125
2015-10-15,59.78434371948242
2015-10-16,59.81117248535156
2015-10-19,60.195594787597656
2015-10-20,61.38468551635742
2015-10-21,61.509857177734375
