Date,PPL
2015-07-01,18.37725067138672
2015-07-02,18.5327205657959
2015-07-06,18.669538497924805
2015-07-07,19.235471725463867
2015-07-08,19.185720443725586
2015-07-09,19.05512046813965
2015-07-10,19.297658920288086
2015-07-13,19.260345458984375
2015-07-14,19.272783279418945
2015-07-15,19.42203712463379
2015-07-16,19.540203094482422
2015-07-17,19.341197967529297
2015-07-20,19.30388832092285
2015-07-21,19.21681022644043
2015-07-22,19.26656723022461
2015-07-23,19.098655700683594
2015-07-24,19.092435836791992
2015-07-27,19.31631851196289
2015-07-28,19.415822982788086
2015-07-29,19.465576171875
2015-07-30,19.59617805480957
2015-07-31,19.782747268676758
2015-08-03,19.826276779174805
2015-08-04,19.608619689941406
2015-08-05,19.732995986938477
2015-08-06,19.956880569458008
2015-08-07,20.124797821044922
2015-08-10,20.155887603759766
2015-08-11,20.305145263671875
2015-08-12,20.67828941345215
2015-08-13,20.616098403930664
2015-08-14,20.746700286865234
2015-08-17,20.88351821899414
2015-08-18,20.790225982666016
2015-08-19,20.84619903564453
2015-08-20,20.752914428710938
2015-08-21,20.460620880126953
2015-08-24,19.509111404418945
2015-08-25,18.99293327331543
2015-08-26,19.453144073486328
2015-08-27,19.745431900024414
2015-08-28,19.509111404418945
2015-08-31,19.272783279418945
2015-09-01,18.657102584838867
2015-09-02,18.750391006469727
2015-09-03,18.818790435791016
2015-09-04,18.45187759399414
2015-09-08,18.82227325439453
2015-09-09,18.526199340820312
2015-09-10,18.595497131347656
2015-09-11,18.68998908996582
2015-09-14,18.803369522094727
2015-09-15,18.94825553894043
2015-09-16,19.10573959350586
2015-09-17,19.401809692382812
2015-09-18,19.502595901489258
2015-09-21,19.735666275024414
2015-09-22,19.552993774414062
2015-09-23,19.57819175720215
2015-09-24,19.89315414428711
2015-09-25,20.138824462890625
2015-09-28,20.094730377197266
2015-09-29,20.290006637573242
2015-09-30,20.718360900878906
2015-10-01,20.535673141479492
2015-10-02,20.812843322753906
2015-10-05,21.09001922607422
2015-10-06,20.82544708251953
2015-10-07,20.55457878112793
2015-10-08,20.844345092773438
2015-10-09,20.806549072265625
