Date,RE
2017-01-03,178.32313537597656
2017-01-04,179.77589416503906
2017-01-05,179.75938415527344
2017-01-06,180.61785888671875
2017-01-09,179.09080505371094
2017-01-10,181.11309814453125
2017-01-11,181.6661376953125
2017-01-12,181.41026306152344
2017-01-13,180.9727783203125
2017-01-17,179.83367919921875
2017-01-18,182.5658264160156
2017-01-19,181.08834838867188
2017-01-20,180.45274353027344
2017-01-23,180.8902130126953
2017-01-24,180.25473022460935
2017-01-25,181.50929260253903
2017-01-26,183.12710571289065
2017-01-27,182.51634216308597
2017-01-30,181.9550018310547
2017-01-31,181.53404235839844
2017-02-01,181.1790771484375
2017-02-02,183.3995361328125
2017-02-03,182.9207763671875
2017-02-06,183.32521057128903
2017-02-07,188.0713806152344
2017-02-08,189.4002685546875
2017-02-09,189.6726531982422
2017-02-10,190.4320831298828
2017-02-13,192.3882751464844
2017-02-14,192.79275512695312
2017-02-15,193.23851013183597
2017-02-16,194.3940277099609
2017-02-17,194.0721435546875
2017-02-21,193.09817504882807
2017-02-22,193.89878845214844
2017-02-23,194.2866973876953
2017-02-24,193.99783325195312
2017-02-27,192.34701538085935
2017-02-28,194.0886383056641
2017-03-01,197.3986053466797
2017-03-02,195.7724609375
2017-03-03,194.4848175048828
2017-03-06,193.06591796875
2017-03-07,192.0452117919922
2017-03-08,193.3894805908203
2017-03-09,193.13226318359372
2017-03-10,194.99932861328125
2017-03-13,195.00759887695312
2017-03-14,194.76698303222656
2017-03-15,196.06979370117188
2017-03-16,195.5636444091797
2017-03-17,195.8291473388672
2017-03-20,195.14871215820312
2017-03-21,193.7379913330078
2017-03-22,194.53469848632807
2017-03-23,194.21096801757807
2017-03-24,193.679931640625
2017-03-27,192.32730102539065
2017-03-28,194.0201416015625
2017-03-29,193.70480346679688
2017-03-30,194.9163360595703
2017-03-31,194.0201416015625
2017-04-03,194.0118408203125
2017-04-04,195.92874145507807
2017-04-05,194.0118408203125
2017-04-06,193.87905883789065
2017-04-07,193.03265380859372
2017-04-10,193.89569091796875
2017-04-11,194.4682464599609
2017-04-12,193.6384429931641
2017-04-13,191.3813018798828
2017-04-17,194.6425018310547
2017-04-18,194.1031646728516
2017-04-19,193.52227783203125
2017-04-20,194.96617126464844
2017-04-21,193.95372009277344
2017-04-24,198.64224243164065
2017-04-25,209.0481414794922
2017-04-26,213.18899536132807
2017-04-27,210.6995391845703
2017-04-28,208.87396240234372
2017-05-01,207.7287750244141
2017-05-02,205.78704833984372
2017-05-03,206.35955810546875
2017-05-04,206.11062622070312
2017-05-05,204.48422241210935
2017-05-08,204.29331970214844
2017-05-09,201.69598388671875
2017-05-10,202.4759979248047
2017-05-11,202.82455444335935
2017-05-12,202.43450927734372
2017-05-15,203.05686950683597
2017-05-16,202.9241180419922
2017-05-17,200.5259704589844
2017-05-18,202.3515472412109
2017-05-19,202.4262542724609
2017-05-22,202.4511260986328
2017-05-23,204.35971069335935
2017-05-24,205.46339416503903
2017-05-25,206.63340759277344
2017-05-26,207.384033203125
2017-05-30,207.05877685546875
2017-05-31,212.37969970703125
2017-06-01,213.1720123291016
2017-06-02,213.1136474609375
2017-06-05,211.9043426513672
2017-06-06,210.23629760742188
2017-06-07,210.52825927734372
2017-06-08,211.1453857421875
2017-06-09,213.1470489501953
2017-06-12,215.273681640625
2017-06-13,212.888427734375
2017-06-14,210.48648071289065
2017-06-15,210.2447052001953
2017-06-16,213.1636657714844
2017-06-19,214.6065368652344
2017-06-20,212.5548858642578
2017-06-21,213.9893493652344
2017-06-22,214.12277221679688
2017-06-23,211.82095336914065
2017-06-26,211.9626922607422
2017-06-27,211.34556579589844
2017-06-28,212.73004150390625
2017-06-29,212.8050994873047
2017-06-30,212.32969665527344
2017-07-03,220.13601684570312
2017-07-05,219.13519287109372
2017-07-06,217.94256591796875
2017-07-07,219.518798828125
2017-07-10,221.4953765869141
2017-07-11,218.70982360839844
2017-07-12,219.1101531982422
2017-07-13,220.03587341308597
2017-07-14,219.96917724609372
2017-07-17,220.8949279785156
2017-07-18,222.95494079589844
2017-07-19,224.38113403320312
2017-07-20,224.43946838378903
2017-07-21,225.2818298339844
2017-07-24,226.1157684326172
2017-07-25,222.45448303222656
2017-07-26,216.85833740234372
2017-07-27,216.4496612548828
2017-07-28,216.72488403320312
2017-07-31,218.83493041992188
2017-08-01,220.16932678222656
2017-08-02,221.29522705078125
2017-08-03,221.89573669433597
2017-08-04,221.5705108642578
2017-08-07,221.5037384033203
2017-08-08,222.0041656494141
2017-08-09,224.1141662597656
2017-08-10,224.5979156494141
2017-08-11,221.0701141357422
2017-08-14,224.2976531982422
2017-08-15,223.0216064453125
2017-08-16,222.60459899902344
2017-08-17,218.9266662597656
2017-08-18,219.36036682128903
2017-08-21,218.90164184570312
2017-08-22,219.91079711914065
2017-08-23,219.16851806640625
2017-08-24,214.84841918945312
2017-08-25,217.04180908203125
2017-08-28,210.91189575195312
2017-08-29,210.5782470703125
2017-08-30,209.9611053466797
2017-08-31,210.56993103027344
2017-09-01,208.18116760253903
2017-09-05,193.77330017089844
2017-09-06,190.57986450195312
2017-09-07,177.63877868652344
2017-09-08,186.4729461669922
2017-09-11,194.41864013671875
2017-09-12,195.49989318847656
2017-09-13,195.55856323242188
2017-09-14,192.1807861328125
2017-09-15,194.16720581054688
2017-09-18,189.9848480224609
2017-09-19,189.3227081298828
